	ENG_k	FR_k	eng_stem	fr_stem	ratio_similarity
67	bulwark	rempart	bulwark	rempart	29
68	bunk	couchette	bunk	couchet	18
69	burdock	bardane	burdock	bardan	46
70	busk	busk	busk	busk	100
71	buttermilk	Babeurre	buttermilk	babeurr	35
72	buttock	fesse	buttock	fess	0
73	camerawork	travail de caméra	camerawork	travail de camer	38
74	candlestick	chandelier	candlestick	chandeli	63
75	carsick	malade en voiture	carsick	malade en voitur	17
76	casebook	cahier de cas	casebook	cahier de c	32
77	casework	gestion des dossiers	casework	gestion des dossi	24
78	cask	fût	cask	fût	0
79	cassock	soutane	cassock	soutan	31
80	catwalk	passerelle	catwalk	passerel	27
81	chalk	craie	chalk	crai	44
82	check	Chèque	check	chequ	60
83	cheek	joue	cheek	jou	0
84	chequebook	Carnet de chèque	chequebook	carnet de chequ	40
85	chick	poussin	chick	poussin	17
86	chink	fente	chink	fent	22
87	chipmunk	tamia	chipmunk	tami	17
88	chock	cale	chock	cal	25
89	chockablock	choquer	chockablock	choqu	38
90	chuck	mandrin	chuck	mandrin	0
91	chunk	tronçon	chunk	tronçon	17
92	clank	cliquetis	clank	cliquet	33
93	clerk	employé de bureau	clerk	employé de bureau	27
94	click	Cliquez sur	click	cliquez sur	38
95	clink	choquer	clink	choqu	20
96	cloak	manteau	cloak	manteau	17
97	clock	l'horloge	clock	l'horlog	31
98	clockwork	horloge	clockwork	horlog	27
99	cluck	glousser	cluck	glouss	36
100	coachwork	carrosserie	coachwork	carrosser	33
101	coalblack	charbon noir	coalblack	charbon noir	19
102	cock	coq	cock	coq	57
103	comeback	revenir	comeback	reven	15
104	conk	pif	conk	pif	0
105	cook	cuisiner	cook	cuisin	20
106	cookbook	livre de recettes	cookbook	livre de recet	9
107	cork	Liège	cork	lieg	0
108	counterattack	contre-attaque	counterattack	contre-attaqu	69
109	coursebook	livre de cours	coursebook	livre de cour	35
110	coursework	cours	coursework	cour	57
111	crack	fissure	crack	fissur	18
112	crank	manivelle	crank	manivel	33
113	creak	craquer	creak	craqu	60
114	creek	ruisseau	creek	ruisseau	31
115	crick	crampe	crick	cramp	40
116	croak	crever	croak	crev	44
117	crock	cruche	crock	cruch	60
118	crook	escroc	crook	escroc	55
119	crosscheck	recoupement	crosscheck	recoup	38
120	crosstalk	diaphonie	crosstalk	diaphon	12
121	cutback	réduire	cutback	réduir	15
122	cyberpunk	cyberpunk	cyberpunk	cyberpunk	100
123	damask	damassé	damask	damass	83
124	dank	humide	dank	humid	22
125	dark	foncé	dark	fonc	0
126	daybreak	aube	daybreak	aub	36
127	deadlock	impasse	deadlock	impass	14
128	debark	écorcer	debark	écorc	18
129	debunk	discréditer	debunk	discrédit	13
130	deck	plate-forme	deck	plate-form	14
131	deklerk	Deklerk	deklerk	deklerk	100
132	denmark	Danemark	denmark	danemark	80
133	derrick	derrick	derrick	derrick	100
134	desk	pupitre	desk	pupitr	0
135	dipstick	jauge	dipstick	jaug	0
136	disembark	débarquer	disembark	débarqu	50
137	dock	quai	dock	quai	0
138	doubletalk	doubletalk	doubletalk	doubletalk	100
139	drank	buvait	drank	buv	0
140	drawback	inconvénient	drawback	inconvénient	10
141	drink	boire	drink	boir	22
142	drunk	ivre	drunk	ivre	22
143	duck	canard	duck	canard	20
144	dumbstruck	sidéré	dumbstruck	sider	27
145	dunkirk	Dunkerque	dunkirk	dunkerqu	67
146	dusk	crépuscule	dusk	crépuscul	31
147	earmark	marque	earmark	marqu	50
148	earthwork	terrassement	earthwork	terrass	25
149	elk	wapiti	elk	wapit	0
150	embank	remuer	embank	remu	40
151	embark	embarquer	embark	embarqu	77
152	feedback	retour d'information	feedback	retour d'inform	9
153	feedstock	matière première	feedstock	matière premi	18
154	fetlock	boulet	fetlock	boulet	31
155	fieldwork	travail sur le terrain	fieldwork	travail sur le terrain	19
156	fightback	se défendre	fightback	se défendr	11
157	firework	feu d'artifice	firework	feu d'artific	19
158	fishhook	hameçon	fishhook	hameçon	27
159	flack	flack	flack	flack	100
160	flak	flak	flak	flak	100
161	flank	flanc	flank	flanc	80
162	flapjack	flapjack	flapjack	flapjack	100
163	flashback	retour en arrière	flashback	retour en arri	9
164	flask	ballon	flask	ballon	18
165	fleck	tache	fleck	tach	22
166	flick	feuilleter	flick	feuillet	31
167	flintlock	silex	flintlock	silex	14
168	flock	troupeau	flock	troupeau	15
169	fogbank	brouillard	fogbank	brouillard	24
170	folk	populaire	folk	populair	33
171	footwork	jeu de jambes	footwork	jeu de jamb	0
172	foredeck	pont avant	foredeck	pont av	13
173	forelock	mèche	forelock	mech	33
174	fork	fourchette	fork	fourchet	50
175	forsook	abandonner	forsook	abandon	14
176	framework	cadre	framework	cadr	15
177	frank	franc	frank	franc	80
178	freak	Freak	freak	freak	100
179	fretwork	chantournage	fretwork	chantournag	11
180	frisk	fouiller	frisk	fouill	36
181	frock	robe	frock	rob	50
182	fullback	arrière	fullback	arrier	14
183	funk	trouille	funk	trouill	18
184	gangplank	passerelle de débarquement	gangplank	passerelle de débarqu	20
185	gawk	rester bouche bée	gawk	rester bouche b	0
186	gdansk	Gdansk	gdansk	gdansk	100
187	gearstick	levier de vitesse	gearstick	levier de vitess	24
188	geek	geek	geek	geek	100
189	gemsbok	gemsbok	gemsbok	gemsbok	100
190	gentlefolk	gentilhomme	gentlefolk	gentilhomm	60
191	getrichquick	getrichquick	getrichquick	getrichquick	100
192	gimcrack	de pacotille	gimcrack	de pacotill	21
193	gimmick	truc	gimmick	truc	18
194	gobbledegook	gobbledegook	gobbledegook	gobbledegook	100
195	gobbledygook	charabia	gobbledygook	charabi	11
196	greek	grec	greek	grec	67
197	gridlock	embouteillage	gridlock	embouteillag	10
198	groundwork	travail de fond	groundwork	travail de fond	32
199	guesswork	conjectures	guesswork	conjectur	22
200	guidebook	guide	guidebook	guid	62
201	gunk	crasse	gunk	crass	0
202	hack	pirater	hack	pirat	22
203	haddock	églefin	haddock	églefin	0
204	hallmark	poinçonner	hallmark	poinçon	0
205	hammock	hamac	hammock	hamac	67
206	handbook	manuel	handbook	manuel	29
207	handiwork	ouvrage	handiwork	ouvrag	13
208	hardback	relié	hardback	reli	17
209	hark	écoute	hark	écout	0
210	hatchback	berline	hatchback	berlin	13
211	hatrack	porte-chapeaux	hatrack	porte-chapeau	30
212	hattrick	tour de chapeau	hattrick	tour de chapeau	17
213	haversack	musette	haversack	muset	14
214	hawk	faucon	hawk	faucon	20
215	haystack	meule de foin	haystack	meule de foin	0
216	headlock	prise de tête	headlock	prise de têt	20
217	headstock	poupée	headstock	poup	15
218	headwork	travail de tête	headwork	travail de têt	9
219	heartbreak	peine d'amour	heartbreak	peine d'amour	26
220	heck	Zut	heck	zut	0
221	hemlock	ciguë	hemlock	cigu	18
222	henpeck	henpeck	henpeck	henpeck	100
223	hideandseek	cache-cache	hideandseek	cache-cach	29
224	highjack	highjack	highjack	highjack	100
225	hijack	détourner	hijack	détourn	0
226	hillock	butte	hillock	butt	0
227	hock	jarret	hock	jarret	0
228	homesick	le mal du pays	homesick	le mal du pay	10
229	homework	devoirs	homework	devoir	29
230	honk	klaxonner	honk	klaxon	40
231	hoodwink	frauder	hoodwink	fraud	15
232	hook	accrocher	hook	accroch	18
233	horseback	à cheval	horseback	à cheval	35
234	housework	travaux ménagers	housework	travaux ménager	25
235	hulk	ponton	hulk	ponton	0
236	hummock	monticule	hummock	monticul	40
237	humpback	à bosse	humpback	à boss	14
238	hunchback	bossu	hunchback	bossu	14
239	hunk	gros morceau	hunk	gros morceau	12
240	husk	décortiquer	husk	décortiqu	15
241	hymnbook	recueil de chants	hymnbook	recueil de ch	10
242	icepack	pack de glace	icepack	pack de glac	42
243	icepick	pic à glace	icepick	pic à glac	35
244	ilk	acabit	ilk	acab	0
245	ink	encrer	ink	encrer	22
246	interbank	interbancaire	interbank	interbancair	76
247	interlock	verrouillage	interlock	verrouillag	30
248	irk	contrarier	irk	contrari	18
249	ironwork	ferronnerie	ironwork	ferronner	47
250	jack	jack	jack	jack	100
251	jaywalk	marcher sur la chaussée	jaywalk	marcher sur la chauss	14
252	jerk	secousse	jerk	secouss	18
253	jock	jock	jock	jock	100
254	joystick	manette	joystick	manet	15
255	junk	déchet	junk	déchet	0
256	kayak	kayak	kayak	kayak	100
257	kick	coup	kick	coup	25
258	kickback	rebond	kickback	rebond	14
259	kinfolk	parents	kinfolk	parent	15
260	kink	entortiller	kink	entortill	15
261	kinsfolk	parenté	kinsfolk	parent	14
262	kiosk	kiosque	kiosk	kiosqu	73
263	kirk	église	kirk	églis	22
264	klick	klick	klick	klick	100
265	knack	truc	knack	truc	22
266	knapsack	sac à dos	knapsack	sac à dos	35
267	knock	frappe	knock	frapp	0
268	lacework	dentelle	lacework	dentel	14
269	lack	manquer de	lack	manquer d	15
270	landmark	repère	landmark	reper	15
271	lank	grêle	lank	grêl	25
272	lark	alouette	lark	alouet	20
273	leak	fuir	leak	fuir	0
274	leek	poireau	leek	poireau	18
275	legwork	travail de jambe	legwork	travail de jamb	18
276	lick	lécher	lick	lech	50
277	lifework	le travail de la vie	lifework	le travail de la v	23
278	limerick	Limerick	limerick	limerick	100
279	link	lien	link	lien	75
280	lipstick	rouge à lèvres	lipstick	rouge à levr	10
281	livestock	bétail	livestock	bétail	13
282	lock	fermer à clé	lock	fermer à cl	13
283	logbook	registre	logbook	registr	14
284	look	voir	look	voir	25
285	lovesick	Malade d'amour	lovesick	malade d'amour	18
286	lovestruck	amoureux	lovestruck	amour	27
287	luck	la chance	luck	la chanc	33
288	lumberjack	bûcheron	lumberjack	bûcheron	33
289	lunchpack	déjeuner	lunchpack	déjeun	27
290	lurk	se cacher	lurk	se cach	0
291	mark	marque	mark	marqu	67
292	mask	masquer	mask	masqu	67
293	masterwork	chef-d'œuvre	masterwork	chef-d'œuvr	19
294	matchstick	allumette	matchstick	allumet	24
295	maverick	Maverick	maverick	maverick	100
296	meek	doux	meek	doux	0
297	menfolk	hommes	menfolk	homm	18
298	metalwork	ferronnerie	metalwork	ferronner	33
299	midweek	milieu de la semaine	midweek	milieu de la semain	38
300	milk	Lait	milk	lait	25
301	mink	vison	mink	vison	44
302	mistook	trompé	mistook	tromp	17
303	mock	moquer	mock	moqu	50
304	monk	moine	monk	moin	75
305	muck	boue	muck	bou	29
306	murk	obscurité	murk	obscur	40
307	musk	musc	musk	musc	75
308	muzak	muzak	muzak	muzak	100
309	neck	cou	neck	cou	29
310	needlework	travaux d'aiguille	needlework	travaux d'aiguill	15
311	network	réseau	network	réseau	15
312	newlook	nouveau look	newlook	nouveau look	63
313	nick	pseudo	nick	pseudo	0
314	nook	coin	nook	coin	25
315	notebook	carnet	notebook	carnet	29
316	oak	chêne	oak	chên	0
317	obelisk	obélisque	obelisk	obélisqu	67
318	oink	oink	oink	oink	100
319	ok	d'accord	ok	d'accord	20
320	outback	outback	outback	outback	100
321	outbreak	épidémie	outbreak	épidem	14
322	outflank	déborder	outflank	débord	14
323	outlook	perspectives	outlook	perspect	13
324	outrank	dépasser	outrank	dépass	15
325	outwork	travail à domicile	outwork	travail à domicil	8
326	overcook	trop cuire	overcook	trop cuir	24
327	overlook	négliger	overlook	néglig	14
328	overtook	a dépassé	overtook	a dépass	0
329	overwork	surmenage	overwork	surmenag	12
330	pack	pack	pack	pack	100
331	paddock	paddock	paddock	paddock	100
332	padlock	cadenas	padlock	caden	33
333	paintwork	peinture	paintwork	peintur	62
334	paperback	broché	paperback	broch	29
335	paperwork	formalités administratives	paperwork	formalités administr	14
336	park	se garer	park	se gar	40
337	partook	a participé	partook	a particip	47
338	passmark	moyenne	passmark	moyen	15
339	patchwork	patchwork	patchwork	patchwork	100
340	payback	remboursement	payback	rembours	13
341	peacock	paon	peacock	paon	55
342	peak	de pointe	peak	de point	17
343	peck	picorer	peck	picor	44
344	peek	coup d'oeil	peek	coup d'oeil	27
345	perk	avantage	perk	avantag	0
346	phrasebook	guide de conversation	phrasebook	guide de convers	15
347	pick	prendre	pick	prendr	20
348	piecework	travail à la pièce	piecework	travail à la piec	31
349	piggyback	ferroutage	piggyback	ferroutag	11
350	pink	rose	pink	ros	0
351	pinprick	piqûre	pinprick	piqûr	46
352	pipework	tuyauterie	pipework	tuyauter	25
353	pitchdark	obscurité totale	pitchdark	obscurité total	25
354	pitchfork	fourche	pitchfork	fourch	27
355	plank	planche	plank	planch	73
356	plasterwork	plâtrerie	plasterwork	plâtrer	56
357	playback	relecture	playback	relectur	25
358	pluck	cueillir	pluck	cueil	20
359	pock	pock	pock	pock	100
360	pocketbook	portefeuille	pocketbook	portefeuill	29
361	pointblank	pointillé	pointblank	pointill	67
362	poloneck	col roulé	poloneck	col roul	38
363	poppycock	Balivernes	poppycock	balivern	0
364	pork	porc	pork	porc	75
365	postmark	cachet de la poste	postmark	cachet de la post	32
366	prank	blague	prank	blagu	20
367	prayerbook	Livre de prière	prayerbook	livre de pri	18
368	prick	piquer	prick	piqu	44
369	punk	punk	punk	punk	100
370	quack	charlatan	quack	charlatan	14
371	quark	quark	quark	quark	100
372	quarterback	stratège	quarterback	strateg	33
373	quick	vite-fait	quick	vite-f	18
374	quirk	bizarrerie	quirk	bizarrer	31
375	racetrack	piste de course	racetrack	piste de cours	9
376	rack	étagère	rack	étager	20
377	rank	rang	rank	rang	75
378	ransack	saccager	ransack	saccag	46
379	realpolitik	realpolitik	realpolitik	realpolitik	100
380	rebook	changer de réservation	rebook	changer de réserv	17
381	recheck	revérifier	recheck	revérifi	27
382	redneck	redneck	redneck	redneck	100
383	reek	puanteur	reek	puanteur	17
384	relink	relier	relink	reli	80
385	remark	remarque	remark	remarqu	77
386	repack	remballer	repack	remball	46
387	restock	réapprovisionner	restock	réapprovision	30
388	rethink	repenser	rethink	repens	46
389	retook	repris	retook	repr	40
390	rework	retravailler	rework	retravaill	38
391	rick	meule	rick	meul	0
392	rink	patinoire	rink	patinoir	33
393	risk	risque	risk	risqu	67
394	roadblock	barrage routier	roadblock	barrage routi	18
395	rock	Roche	rock	roch	75
396	roebuck	chevreuil	roebuck	chevreuil	38
397	rook	tour	rook	tour	25
398	roundtheclock	rondelle	roundtheclock	rondel	63
399	ruck	mêlée ouverte	ruck	mêlée ouvert	12
400	rucksack	sac à dos	rucksack	sac à dos	35
401	rulebook	livret de règles	rulebook	livret de regl	18
402	rusk	biscotte	rusk	biscott	18
403	sack	sac	sack	sac	86
404	sadsack	triste	sadsack	trist	17
405	sandbank	banc de sable	sandbank	banc de s	35
406	sank	coulé	sank	coul	0
407	scrapbook	album	scrapbook	album	29
408	seasick	mal de mer	seasick	mal de m	13
409	seek	chercher	seek	cherch	20
410	setback	revers	setback	rever	17
411	shack	cabane	shack	caban	20
412	shamrock	trèfle	shamrock	trefl	15
413	shank	jarret	shank	jarret	18
414	shark	requin	shark	requin	18
415	sheik	cheik	sheik	cheik	80
416	sherlock	Sherlock	sherlock	sherlock	100
417	shipwreck	Naufrage	shipwreck	naufrag	12
418	shirk	se dérober	shirk	se dérob	31
419	shock	choc	shock	choc	67
420	shook	secoué	shook	secou	40
421	shrank	rétréci	shrank	rétrec	17
422	shriek	cri	shriek	cri	44
423	shrink	rétrécir	shrink	rétrec	17
424	shrunk	rétréci	shrunk	rétrec	17
425	shuttlecock	volant	shuttlecock	vol	14
426	sick	malade	sick	malad	0
427	sidekick	acolyte	sidekick	acolyt	14
428	sidetrack	dérouter	sidetrack	dérout	27
429	sidewalk	trottoir	sidewalk	trottoir	12
430	silk	soie	silk	soi	57
431	sink	évier	sink	évi	29
432	sjambok	sjambok	sjambok	sjambok	100
433	sketchbook	carnet de croquis	sketchbook	carnet de croqu	32
434	skulk	skulk	skulk	skulk	100
435	skunk	moufette	skunk	moufet	18
436	skylark	alouette	skylark	alouet	15
437	slack	mou	slack	mou	0
438	slapstick	slapstick	slapstick	slapstick	100
439	sleek	lisse	sleek	liss	22
440	sleepwalk	somnambule	sleepwalk	somnambul	22
441	slick	nappe	slick	napp	0
442	slink	slink	slink	slink	100
443	slovak	slovaque	slovak	slovaqu	77
444	slunk	slunk	slunk	slunk	100
445	smack	claque	smack	claqu	20
446	smalltalk	petite conversation	smalltalk	petite convers	9
447	smirk	petit sourire satisfait	smirk	petit sourire satisf	24
448	smock	blouse	smock	blous	20
449	smokestack	cheminée	smokestack	chemin	12
450	snack	goûter	snack	goût	0
451	sneak	se faufiler	sneak	se faufil	43
452	snick	petite entaille	snick	petite entaill	21
453	snoek	snoek	snoek	snoek	100
454	soak	tremper	soak	tremp	0
455	sock	chaussette	sock	chausset	17
456	songbook	recueil de chansons	songbook	recueil de chanson	23
457	souk	souk	souk	souk	100
458	soundcheck	Sound check	soundcheck	sound check	95
459	soundtrack	bande sonore	soundtrack	bande sonor	38
460	spadework	spadework	spadework	spadework	100
461	spank	donner une fessée à	spank	donner une fessée à	8
462	spark	étincelle	spark	étincel	0
463	sparrowhawk	épervier	sparrowhawk	épervi	24
464	speak	parler	speak	parl	44
465	speck	grain	speck	grain	0
466	spook	effrayer	spook	effrai	0
467	springbok	Springbok	springbok	springbok	100
468	sputnik	spoutnik	sputnik	spoutnik	93
469	squawk	brailler	squawk	braill	17
470	squeak	grincer	squeak	grinc	0
471	stack	empiler	stack	empil	0
472	stalk	traquer	stalk	traqu	40
473	stank	puait	stank	pu	0
474	stark	rigide	stark	rigid	20
475	starstruck	starstruck	starstruck	starstruck	100
476	steak	bifteck	steak	bifteck	50
477	steelwork	charpente métallique	steelwork	charpente métall	24
478	steeplejack	steeplejack	steeplejack	steeplejack	100
479	stick	coller	stick	coll	22
480	stickleback	épinoche	stickleback	épinoch	22
481	stink	puer	stink	pu	0
482	stock	Stock	stock	stock	100
483	stonework	maçonnerie	stonework	maçonner	47
484	stopcock	robinet	stopcock	robinet	13
485	stork	cigogne	stork	cigogn	18
486	storybook	livre de contes	storybook	livre de cont	9
487	streak	traînée	streak	traîn	55
488	struck	frappé	struck	frapp	18
489	stuck	bloqué	stuck	bloqu	20
490	suck	sucer	suck	suc	86
491	sulk	bouder	sulk	boud	25
492	sunblock	crème solaire	sunblock	crème solair	20
493	sunk	coulé	sunk	coul	25
494	switchback	retour en arrière	switchback	retour en arri	8
495	tack	clouer	tack	clou	25
496	talk	parler	talk	parl	50
497	talkback	Répondre	talkback	répondr	0
498	tank	Char	tank	char	25
499	task	tâche	task	tâch	25
500	teak	teck	teak	teck	75
501	teamwork	travail en équipe	teamwork	travail en équip	17
502	textbook	cahier de texte	textbook	cahier de text	36
503	thank	remercier	thank	remerci	0
504	thick	épais	thick	épais	20
505	think	pense	think	pens	22
506	thinktank	thinktank	thinktank	thinktank	100
507	throwback	retour	throwback	retour	27
508	thunderstruck	abasourdi	thunderstruck	abasourd	19
509	thwack	claquement	thwack	claqu	18
510	tick	cocher	tick	coch	25
511	tiebreak	jeu décisif	tiebreak	jeu décis	12
512	tokamak	tokamak	tokamak	tokamak	100
513	tomahawk	tomahawk	tomahawk	tomahawk	100
514	tongueincheek	langue	tongueincheek	langu	33
515	took	pris	took	pris	0
516	toothpick	cure-dent	toothpick	cure-dent	11
517	townsfolk	citadins	townsfolk	citadin	25
518	track	Piste	track	pist	22
519	trademark	marque déposée	trademark	marque dépos	29
520	trek	randonnée	trek	randon	20
521	trick	tour	trick	tour	44
522	truck	un camion	truck	un camion	29
523	trunk	tronc	trunk	tronc	60
524	tuck	replier	tuck	repli	0
525	turk	Turc	turk	turc	75
526	turtleneck	col roulé	turtleneck	col roul	22
527	tusk	défense	tusk	défens	20
528	tussock	touffe	tussock	touff	33
529	tweak	tordre	tweak	tordr	20
530	unblock	Débloquer	unblock	débloqu	43
531	undertook	entrepris	undertook	entrepr	38
532	unhook	décrocher	unhook	décroch	15
533	unlink	dissocier	unlink	dissoci	15
534	unlock	ouvrir	unlock	ouvr	20
535	unmask	démasquer	unmask	démasqu	46
536	unpack	déballer	unpack	déball	17
537	unpick	défaire	unpick	défair	17
538	unstack	décompresser	unstack	décompress	12
539	unstuck	décollé	unstuck	décoll	15
540	uplink	liaison montante	uplink	liaison mont	33
541	walk	marcher	walk	march	22
542	warlock	démoniste	warlock	démon	17
543	watermark	filigrane	watermark	filigran	12
544	waxwork	cire	waxwork	cir	20
545	weak	faible	weak	faibl	22
546	weathercock	girouette	weathercock	girouet	22
547	wedlock	mariage	wedlock	mariag	0
548	week	semaine	week	semain	20
549	whack	battre	whack	battr	20
550	whelk	buccin	whelk	buccin	0
551	whisk	fouet	whisk	fouet	0
552	wick	mèche	wick	mech	25
553	wickerwork	vannerie	wickerwork	vanner	25
554	windbreak	brise-vent	windbreak	brise-vent	32
555	windsock	manche à air	windsock	manche à air	10
556	wink	clin d'œil	wink	clin d'œil	29
557	wok	wok	wok	wok	100
558	womenfolk	femmes	womenfolk	femm	15
559	woodcock	bécasse	woodcock	bec	18
560	woodwork	boiseries	woodwork	boiser	29
561	work	travailler	work	travaill	17
562	workbook	classeur	workbook	classeur	12
563	workweek	semaine de travail	workweek	semaine de travail	8
564	wrack	varech	wrack	varech	36
565	wreak	assouvir	wreak	assouv	18
566	wreck	épave	wreck	épav	0
567	yak	yak	yak	yak	100
568	yalelock	yalelock	yalelock	yalelock	100
569	yank	coup sec	yank	coup sec	0
570	yardstick	l'indicateur	yardstick	l'indiqu	24
571	yearbook	annuaire	yearbook	annuair	27
572	yolk	Jaune d'œuf	yolk	jaune d'œuf	0
573	york	York	york	york	100
574	yuck	beurk	yuck	beurk	44
