	ENG_or	FR_or	eng_stem	fr_stem	ratio_similarity
130	equator	équateur	equat	équateur	62
131	error	Erreur	error	erreur	73
132	escalator	escalier mécanique	escal	escalier mécan	53
133	estimator	estimateur	estim	estim	100
134	evaluator	évaluateur	evalu	évalu	80
135	evaporator	évaporateur	evapor	évapor	83
136	excavator	excavatrice	excav	excav	100
137	excelsior	excelsior	excelsior	excelsior	100
138	executor	exécuteur	executor	exécuteur	71
139	exhibitor	exposant	exhibitor	expos	43
140	exterior	extérieur	exterior	extérieur	71
141	exterminator	exterminateur	extermin	extermin	100
142	extractor	extracteur	extractor	extracteur	84
143	fabricator	fabricant	fabric	fabric	100
144	facilitator	facilitateur	facilit	facilit	100
145	factor	facteur	factor	facteur	77
146	flexor	fléchisseur	flexor	fléchisseur	47
147	floor	étage	floor	étag	0
148	fluor	fluor	fluor	fluor	100
149	for	pour	for	pour	57
150	formulator	formulateur	formul	formul	100
151	fornicator	fornicateur	fornic	forniqu	77
152	franchisor	franchiseur	franchisor	franchiseur	86
153	generator	Générateur	gener	géner	80
154	gladiator	gladiateur	gladiat	gladiateur	82
155	governor	gouverneur	governor	gouverneur	78
156	guarantor	garant	guarantor	gar	50
157	hector	Hector	hector	hector	100
158	horror	horreur	horror	horreur	77
159	illustrator	illustrateur	illustr	illustr	100
160	imitator	imitateur	imit	imit	100
161	impersonator	imitateur	imperson	imit	33
162	impostor	imposteur	impostor	imposteur	82
163	incinerator	incinérateur	inciner	inciner	100
164	incisor	incisive	incisor	incis	83
165	incubator	incubateur	incub	incub	100
166	indicator	indicateur	indic	indiqu	73
167	indoctrinator	endoctrinateur	indoctrin	endoctrin	89
168	indoor	intérieur	indoor	intérieur	40
169	inductor	inducteur	inductor	inducteur	82
170	inferior	inférieur	inferior	inférieur	71
171	infiltrator	agent infiltré	infiltr	agent infiltr	70
172	inheritor	héritier	inheritor	hériti	53
173	inhibitor	inhibiteur	inhibitor	inhibiteur	84
174	initiator	initiateur	initi	initi	100
175	injector	injecteur	injector	injecteur	82
176	innovator	innovateur	innov	innov	100
177	inquisitor	inquisiteur	inquisitor	inquisiteur	86
178	inspector	inspecteur	inspector	inspecteur	84
179	instigator	instigateur	instig	instig	100
180	instructor	instructeur	instructor	instructeur	86
181	insulator	isolant	insul	isol	67
182	integrator	intégrateur	integr	integr	100
183	interceptor	intercepteur	interceptor	intercepteur	87
184	interior	intérieur	interior	intérieur	71
185	interlocutor	interlocuteur	interlocutor	interlocuteur	88
186	interrogator	interrogateur	interrog	interrog	100
187	inventor	inventeur	inventor	inventeur	82
188	investigator	enquêteur	investig	enquêteur	24
189	investor	investisseur	investor	investisseur	70
190	invigilator	surveillant	invigil	surveil	43
191	isolator	isolateur	isol	isol	100
192	janitor	concierge	janitor	concierg	40
193	junior	junior	junior	junior	100
194	juror	juré	juror	jur	75
195	languor	langueur	languor	langueur	80
196	lector	lecteur	lector	lecteur	77
197	legator	testateur	legat	testateur	43
198	legislator	législateur	legisl	législ	83
199	lessor	bailleur	lessor	bailleur	43
200	liberator	libérateur	liber	liber	100
201	liquidator	liquidateur	liquid	liquid	100
202	liquor	alcool	liquor	alcool	33
203	locator	localisateur	locat	localis	67
204	luxor	louxor	luxor	louxor	91
205	major	Majeur	major	majeur	73
206	malefactor	malfaiteur	malefactor	malfaiteur	70
207	manipulator	manipulateur	manipul	manipul	100
208	manor	manoir	manor	manoir	91
209	matador	matador	matador	matador	100
210	mayor	maire	mayor	mair	67
211	mediator	médiateur	mediat	médiateur	67
212	meditator	méditant	medit	médit	80
213	mentor	mentor	mentor	mentor	100
214	metaphor	métaphore	metaphor	métaphor	88
215	meteor	météore	meteor	météor	67
216	microprocessor	microprocesseur	microprocessor	microprocesseur	90
217	minedetector	détecteur de mines	minedetector	détecteur de min	43
218	minor	mineur	minor	mineur	73
219	mirror	miroir	mirror	miroir	67
220	moderator	modérateur	moder	moder	100
221	modulator	modulateur	modul	modul	100
222	monitor	surveiller	monitor	surveil	14
223	moor	lande	moor	land	0
224	mortgagor	débiteur hypothécaire	mortgagor	débiteur hypothécair	14
225	motivator	motivateur	motiv	motiv	100
226	motor	moteur	motor	moteur	73
227	multiplexor	multiplexeur	multiplexor	multiplexeur	87
228	multiprocessor	multiprocesseur	multiprocessor	multiprocesseur	90
229	narrator	narrateur	narrat	narrateur	80
230	navigator	navigateur	navig	navig	100
231	negotiator	négociateur	negoti	négoci	67
232	nominator	proposant	nomin	propos	18
233	nor	ni	nor	ni	40
234	numerator	numérateur	numer	numer	100
235	objector	objecteur	objector	objecteur	82
236	operator	opérateur	oper	oper	100
237	oppressor	oppresseur	oppressor	oppresseur	84
238	or	ou	or	ou	50
239	orator	orateur	orat	orateur	73
240	orchestrator	orchestrateur	orchestr	orchestr	100
241	originator	auteur	origin	auteur	17
242	oscillator	oscillateur	oscil	oscill	91
243	outdoor	Extérieur	outdoor	extérieur	25
244	pallor	pâleur	pallor	pâleur	50
245	pastor	pasteur	pastor	pasteur	77
246	perambulator	landau	perambul	landau	29
247	percolator	percolateur	percol	percol	100
248	perpetrator	auteur	perpetr	auteur	31
249	persecutor	persécuteur	persecutor	persécuteur	76
250	phosphor	phosphore	phosphor	phosphor	100
251	photoreceptor	photorécepteur	photoreceptor	photorécepteur	81
252	pollinator	pollinisateur	pollin	pollinis	86
253	poor	pauvre	poor	pauvr	44
254	possessor	possesseur	possessor	possesseur	84
255	posterior	postérieur	posterior	postérieur	74
256	precursor	précurseur	precursor	précurseur	74
257	predator	prédateur	predat	prédateur	67
258	predecessor	prédécesseur	predecessor	prédécesseur	70
259	predictor	prédicteur	predictor	prédicteur	74
260	prestidigitator	prestidigitateur	prestidigit	prestidigit	100
261	pretor	préteur	pretor	préteur	62
262	prior	avant	prior	avant	0
263	processor	processeur	processor	processeur	84
264	procrastinator	procrastinateur	procrastin	procrastin	100
265	proctor	procureur	proctor	procureur	62
266	professor	professeur	professor	professeur	84
267	progenitor	ancêtre	progenitor	ancêtr	12
268	projector	projecteur	projector	projecteur	84
269	propagator	propagateur	propag	propag	100
270	proprietor	propriétaire	proprietor	propriétair	76
271	prosecutor	procureur	prosecutor	procureur	63
272	prospector	prospecteur	prospector	prospecteur	86
273	protector	protecteur	protector	protecteur	84
274	protestor	protestataire	protestor	protestatair	76
275	protractor	rapporteur	protractor	rapporteur	40
276	purveyor	fournisseur	purveyor	fournisseur	42
277	radiator	radiateur	radiat	radiateur	80
278	raptor	rapace	raptor	rapac	55
279	razor	rasoir	razor	rasoir	73
280	reactor	réacteur	reactor	réacteur	67
281	receptor	récepteur	receptor	récepteur	71
282	rector	recteur	rector	recteur	77
283	reflector	réflecteur	reflector	réflecteur	74
284	refrigerator	réfrigérateur	refriger	réfriger	88
285	regulator	régulateur	regul	régul	80
286	relator	relator	relat	relator	83
287	replicator	réplicateur	replic	répliqu	62
288	resistor	résistance	resistor	résist	71
289	resonator	résonateur	reson	réson	80
290	respirator	respirateur	respir	respir	100
291	rigor	rigueur	rigor	rigueur	67
292	rotator	rotateur	rotat	rotateur	77
293	rotor	rotor	rotor	rotor	100
294	sailor	marin	sailor	marin	36
295	scintillator	scintillateur	scintil	scintill	93
296	scissor	ciseaux	scissor	ciseau	46
297	sculptor	sculpteur	sculptor	sculpteur	82
298	sector	secteur	sector	secteur	77
299	selector	sélecteur	selector	sélecteur	71
300	semiconductor	semi-conducteur	semiconductor	semi-conducteur	86
301	senator	sénateur	senat	sénateur	62
302	senhor	senhor	senhor	senhor	100
303	senior	Sénior	senior	sénior	83
304	sensor	capteur	sensor	capteur	31
305	separator	séparateur	separ	sépar	80
306	signor	signataire	signor	signatair	67
307	simulator	simulateur	simul	simul	100
308	solicitor	solliciteur	solicitor	solliciteur	80
309	spectator	spectateur	spectat	spectateur	82
310	speculator	spéculateur	specul	spécul	83
311	sponsor	parrainer	sponsor	parrain	29
312	spoor	trace	spoor	trac	22
313	squalor	misère noire	squalor	misère noir	33
314	stator	stator	stator	stator	100
315	stentor	stentor	stentor	stentor	100
316	stimulator	stimulateur	stimul	stimul	100
317	stupor	stupeur	stupor	stupeur	77
318	subcontractor	sous-traitant	subcontractor	sous-trait	52
319	subeditor	sous-rédacteur	subeditor	sous-rédacteur	35
320	successor	successeur	successor	successeur	84
321	suitor	prétendant	suitor	prétend	15
322	superconductor	supraconducteur	superconductor	supraconducteur	83
323	superior	supérieur	superior	supérieur	71
324	supervisor	superviseur	supervisor	superviseur	86
325	suppressor	suppresseur	suppressor	suppresseur	86
326	surveyor	arpenteur	surveyor	arpenteur	24
327	survivor	survivant	survivor	surviv	86
328	tabulator	tabulatrice	tabul	tabul	100
329	tailor	tailleur	tailor	tailleur	71
330	taylor	taylor	taylor	taylor	100
331	tenor	ténor	tenor	ténor	80
332	tensor	tenseur	tensor	tenseur	77
333	terminator	terminateur	termin	termin	100
334	terror	la terreur	terror	la terreur	62
335	therefor	à cet effet	therefor	à cet effet	32
336	thor	Thor	thor	thor	100
337	thyristor	thyristor	thyristor	thyristor	100
338	tormentor	bourreau	tormentor	bourreau	35
339	torpor	torpeur	torpor	torpeur	77
340	tractor	tracteur	tractor	tracteur	80
341	traitor	traitre	traitor	traitr	92
342	transactor	transacteur	transactor	transacteur	86
343	transgressor	transgresseur	transgressor	transgresseur	88
344	transistor	transistor	transistor	transistor	100
345	translator	traducteur	translat	traducteur	44
346	trapdoor	trappe	trapdoor	trapp	62
347	tremor	tremblement	tremor	trembl	67
348	trisector	trisector	trisector	trisector	100
349	tutor	tuteur	tutor	tuteur	73
350	ulterior	ultérieur	ulterior	ultérieur	71
351	underfloor	au sol	underfloor	au sol	25
352	vector	vecteur	vector	vecteur	77
353	vendor	vendeur	vendor	vendeur	77
354	ventilator	ventilateur	ventil	ventil	100
355	vibrator	vibreur	vibrat	vibreur	62
356	vicechancellor	vice chancelier	vicechancellor	vice chanceli	81
357	victor	Victor	victor	victor	100
358	violator	violateur	violat	violateur	80
359	visitor	visiteur	visitor	visiteur	80
360	visor	visière	visor	visi	67
361	warrior	guerrier	warrior	guerri	46
362	windsor	Windsor	windsor	windsor	100
363	witchdoctor	sorcier	witchdoctor	sorci	25
