ENG_tion	FR_tion	eng_stem	fr_stem	ratio_similarity
cohabitation	cohabitation	cohabit	cohabit	100
collaboration	collaboration	collabor	collabor	100
collation	collation	collat	collat	100
collection	collection	collect	collect	100
collectivisation	collectivisation	collectivis	collectivis	100
collimation	collimation	collim	collim	100
collocation	collocation	colloc	colloc	100
colonisation	la colonisation	colonis	la colonis	82
colouration	coloration	colour	color	91
colourisation	coloration	colouris	color	77
combination	combinaison	combin	combinaison	71
combustion	la combustion	combust	la combust	82
commemoration	commemoration	commemor	commemor	88
commendation	recommandation	commend	recommand	75
commercialisation	commercialisation	commercialis	commercialis	100
commiseration	commiseration	commiser	commiser	100
commotion	agitation	commot	agit	20
communication	la communication	commun	la commun	80
commutation	commutation	commut	commut	100
compaction	compactage	compact	compactag	88
compartmentalisation	compartimentalisation	compartmentalis	compartimentalis	97
compensation	compensation	compens	compens	100
competition	competition	competit	competit	88
compilation	compilation	compil	compil	100
completion	achevement	complet	achev	33
complication	complication	complic	compliqu	80
composition	composition	composit	composit	100
compunction	scrupule	compunct	scrupul	40
computation	calcul	comput	calcul	33
computerisation	informatisation	computeris	informatis	50
concatenation	enchaînement	concaten	enchaîn	53
concentration	concentration	concentr	concentr	100
conception	conception	concept	concept	100
conceptualisation	conceptualisation	conceptualis	conceptualis	100
conciliation	conciliation	concili	concili	100
concoction	melange	concoct	melang	15
condemnation	condamnation	condemn	condamn	86
condensation	condensation	condens	condens	100
condition	etat	condit	etat	20
conduction	conduction	conduct	conduct	100
confection	confection	confect	confect	100
confederation	confederation	confeder	confeder	88
configuration	configuration	configur	configur	100
confirmation	confirmation	confirm	confirm	100
confiscation	confiscation	confisc	confisc	100
conflagration	incendie	conflagr	incend	29
conflation	confusion	conflat	confus	62
conformation	conformation	conform	conform	100
confrontation	affrontement	confront	affront	67
congestion	congestion	congest	congest	100
conglomeration	agglomeration	conglomer	agglomer	71
congratulation	felicitation	congratul	felicit	25
congregation	congregation	congreg	congreg	100
conjugation	conjugaison	conjug	conjugaison	71
conjunction	conjonction	conjunct	conjonct	88
connection	lien	connect	lien	18
connotation	connotation	connot	connot	100
conscription	service militaire	conscript	service militair	16
consecration	consecration	consecr	consecr	100
conservation	preservation	conserv	preserv	57
consideration	consideration	consider	consider	100
consolation	consolation	consol	consol	100
consolidation	consolidation	consolid	consolid	100
constellation	constellation	constel	constel	100
consternation	consternation	constern	constern	100
constipation	constipation	constip	constip	100
constitution	Constitution	constitut	constitu	94
constriction	constriction	constrict	constrict	100
construction	construction	construct	construct	100
consultation	consultation	consult	consult	100
consummation	accomplissement	consumm	accompl	43
consumption	consommation	consumpt	consomm	67
contamination	contamination	contamin	contamin	100
contemplation	contemplation	contempl	contempl	100
contention	contention	content	content	100
contextualisation	contextualisation	contextualis	contextualis	100
continuation	continuation	continu	continu	100
contortion	contorsion	contort	contors	86
contraception	la contraception	contracept	la contracept	87
contraction	contraction	contract	contract	100
contradiction	contradiction	contradict	contradict	100
contradistinction	contradiction	contradistinct	contradict	83
contraindication	contre-indication	contraind	contre-ind	84
contraption	bidule	contrapt	bidul	0
contravention	violation	contravent	violat	25
contribution	contribution	contribut	contribu	94
contrition	contrition	contrit	contrit	100
conurbation	agglomeration	conurb	agglomer	29
convection	convection	convect	convect	100
convention	convention	convent	convent	100
conversation	conversation	convers	convers	100
conviction	conviction	convict	convict	100
convocation	convocation	convoc	convoc	100
convolution	convolution	convolut	convolu	93
cooperation	la cooperation	cooper	la cooper	80
coordination	coordination	coordin	coordin	100
copulation	copulation	copul	copul	100
coronation	couronnement	coron	couron	91
corporation	societe	corpor	societ	17
correction	correction	correct	correct	100
correlation	correlation	correl	correl	100
corroboration	corroboration	corrobor	corrobor	100
corruption	la corruption	corrupt	la corrupt	82
counterrevolution	contre-revolution	counterrevolut	contre-revolu	74
creation	creation	creation	creation	88
cremation	incineration	cremat	inciner	31
crenellation	crenelage	crenel	crenelag	71
criminalisation	criminalisation	criminalis	criminalis	100
crossexamination	examen croise	crossexamin	examen crois	43
crossfertilisation	fertilisation croisee	crossfertilis	fertilisation crois	50
crosssection	la Coupe transversale	crosssect	la coupe transversal	28
crystallisation	cristallisation	crystallis	cristallis	90
culmination	culmination	culmin	culmin	100
cultivation	cultivation	cultiv	cultiv	100
customisation	personnalisation	customis	personnalis	42
damnation	damnation	damnat	damnat	100
deactivation	desactivation	deactiv	desactiv	80
decapitation	decapitation	decapit	decapit	86
deceleration	ralentissement	deceler	ralent	31
decentralisation	decentralisation	decentralis	decentralis	91
deception	tromperie	decept	tromper	15
decimalisation	decimalisation	decimalis	decimalis	89
decimation	decimation	decim	decim	80
declamation	declamation	declam	declam	83
declaration	declaration	declar	declar	83
declassification	declassification	declassif	declassif	89
declination	declinaison	declin	declinaison	59
decolonisation	decolonisation	decolonis	decolonis	89
decomposition	decomposition	decomposit	decomposit	90
deconstruction	deconstruction	deconstruct	deconstruct	91
decontamination	decontamination	decontamin	decontamin	90
deconvolution	deconvolution	deconvolut	deconvolu	84
decoration	decoration	decor	decor	80
decriminalisation	decriminalisation	decriminalis	decriminalis	92
decryption	decryptage	decrypt	decryptag	75
dedication	devouement	dedic	devou	20
deduction	deduction	deduct	deduct	83
defamation	diffamation	defam	diffam	73
defection	defection	defect	defect	83
defenestration	defenestration	defenestr	defenestr	89
definition	definition	definit	definit	86
deflation	deflation	deflat	deflat	83
deflection	deviation	deflect	deviat	31
defoliation	defoliation	defoli	defoli	83
deforestation	la deforestation	deforest	la deforest	74
deformation	deformation	deform	deform	83
defragmentation	defragmentation	defragment	defragment	90
degeneration	degenerescence	degener	degenerescent	40
degradation	degradation	degrad	degrad	83
dehydration	deshydratation	dehydr	deshydrat	67
deification	deification	deific	deifiqu	62
dejection	abattement	deject	abatt	18
delectation	delectation	delect	delect	83
delegation	delegation	deleg	deleg	80
deletion	effacement	delet	effac	20
deliberation	deliberation	deliber	deliber	86
delineation	delimitation	delin	delimit	50
demagnetisation	demagnetisation	demagnetis	demagnetis	80
demarcation	demarcation	demarc	demarc	83
demilitarisation	demilitarisation	demilitaris	demilitaris	91
demobilisation	demobilisation	demobilis	demobilis	89
democratisation	democratisation	democratis	democratis	90
demolition	demolition	demolit	demolit	86
demonstration	manifestation	demonstr	manifest	38
demoralisation	demoralisation	demoralis	demoralis	89
demotion	retrogradation	demot	retrograd	14
demystification	demystification	demystif	demystif	88
denationalisation	denationalisation	denationalis	denationalis	92
denigration	denigrement	denigr	denigr	83
denomination	denomination	denomin	denomin	86
denotation	denotation	denot	denot	80
dentition	dentition	dentit	dentit	100
denudation	denudation	denud	denud	80
denunciation	denonciation	denunci	denonci	71
depersonalisation	depersonnalisation	depersonalis	depersonnalis	88
depiction	representation	depict	represent	40
depletion	epuisement	deplet	epuis	18
depolarisation	depolarisation	depolaris	depolaris	89
depoliticisation	depolitisation	depoliticis	depolitis	80
depopulation	depeuplement	depopul	depeupl	57
deportation	deportation	deport	deport	83
deposition	deposition	deposit	deposit	86
deprecation	desapprobation	deprec	desapprob	40
depreciation	depreciation	depreci	depreci	71
depredation	depredation	depred	depred	83
deprivation	privation	depriv	privat	67
deputation	deputation	deput	deput	80
deregulation	dereglementation	deregul	dereglement	33
dereliction	abandon	derelict	abandon	13
derivation	derivation	deriv	deriv	80
derogation	derogation	derog	derog	80
desalination	dessalement	desalin	dessal	77
description	la description	descript	la descript	84
desecration	profanation	desecr	profan	17
desegregation	desegregation	desegreg	desegreg	75
desertification	desertification	desertif	desertif	88
desertion	desertion	desert	desert	83
desiccation	dessiccation	desicc	dessicc	92
designation	la designation	design	la design	67
desolation	desolation	desol	desol	80
desorption	desorption	desorpt	desorpt	86
desperation	desespoir	desper	desespoir	67
dessication	dessiccation	dessic	dessicc	92
destabilisation	destabilisation	destabilis	destabilis	90
destination	destination	destin	destin	100
destitution	misere	destitut	miser	15
destruction	destruction	destruct	destruct	100
detection	detection	detect	detect	83
detention	retenue	detent	retenu	67
deterioration	deterioration	deterior	deterior	75
determination	determination	determin	determin	88
detestation	haine	detest	hain	0
detonation	detonation	deton	deton	80
detoxification	desintoxication	detoxif	desintox	53
detraction	detraction	detract	detract	86
devaluation	devaluation	devalu	devalu	83
devastation	devastation	devast	devast	83
deviation	deviation	deviat	deviat	83
devolution	devolution	devolut	devolu	77
devotion	devouement	devot	devou	60
dictation	Dictation	dictat	dictat	100
diction	diction	diction	diction	100
differentiation	differenciation	differenti	differenci	80
diffraction	diffraction	diffract	diffract	100
digestion	digestion	digest	digest	100
digitisation	numerisation	digitis	numeris	29
dilapidation	delabrement	dilapid	delabr	46
dilatation	dilatation	dilat	dilat	100
dilation	dilatation	dilat	dilat	100
dilution	dilution	dilut	dilut	100
diminution	diminution	diminut	diminu	92
direction	direction	direct	direct	100
disaffection	desaffection	disaffect	desaffect	89
disaffiliation	desaffiliation	disaffili	desaffili	89
disaggregation	desagregation	disaggreg	desagreg	82
disambiguation	homonymie	disambigu	homonym	12
disapprobation	desapprobation	disapprob	desapprob	89
disassociation	dissociation	disassoci	dissoci	88
discolouration	decoloration	discolour	decolor	75
disconnection	coupure	disconnect	coupur	25
disconsolation	disconsolation	disconsol	disconsol	100
discontinuation	arret	discontinu	arret	13
discretion	discretion	discret	discret	100
discrimination	discrimination	discrimin	discrimin	100
disembarkation	debarquement	disembark	debarqu	50
disinclination	repugnance	disinclin	repugn	13
disinfection	desinfection	disinfect	desinfect	89
disinformation	desinformation	disinform	desinform	89
disintegration	desintegration	disintegr	desintegr	89
disjunction	disjonction	disjunct	disjonct	88
dislocation	dislocation	disloc	disloc	100
disorganisation	desorganisation	disorganis	desorganis	90
disorientation	desorientation	disorient	desorient	89
dispensation	dispense	dispens	dispens	100
disposition	disposition	disposit	disposit	100
disputation	dispute	disput	disput	100
disqualification	disqualification	disqualif	disqualif	100
disquisition	discours	disquisit	discour	50
disruption	perturbation	disrupt	perturb	29
dissatisfaction	insatisfaction	dissatisfact	insatisfact	87
dissection	dissection	dissect	dissect	100
dissemination	dissemination	dissemin	dissemin	88
dissertation	these	dissert	thes	18
dissimulation	dissimulation	dissimul	dissimul	100
dissipation	dissipation	dissip	dissip	100
dissociation	dissociation	dissoci	dissoci	100
dissolution	dissolution	dissolut	dissolu	93
distillation	distillation	distil	distill	92
distinction	distinction	distinct	distinct	100
distortion	Distorsion	distort	distors	86
distraction	distraction	distract	distract	100
distribution	Distribution	distribut	distribu	94
diversification	diversification	diversif	diversif	100
divination	divination	divin	divin	100
documentation	Documentation	document	document	100
domestication	domestication	domest	domest	100
domination	domination	domin	domin	100
donation	don	donat	don	75
dramatisation	dramatisation	dramatis	dramatis	100
duplication	reproduction	duplic	reproduct	40
duration	duree	durat	dur	75
dysfunction	dysfonctionnement	dysfunct	dysfonction	74
economisation	economisation	economis	economis	88
edification	edification	edif	edif	75
edition	edition	edit	edit	75
education	education	educ	educ	75
eduction	education	educt	educ	67
eigenfunction	fonction propre	eigenfunct	fonction propr	33
ejection	ejection	eject	eject	80
elaboration	elaboration	elabor	elabor	83
elation	allegresse	elat	allegress	15
election	election	elect	elect	80
electrification	electrification	electrif	electrif	88
electrocution	electrocution	electrocut	electrocu	84
elevation	elevation	elev	elev	75
elicitation	elicitation	elicit	elicit	83
elimination	elimination	elimin	elimin	83
elocution	elocution	elocut	elocu	73
elongation	elongation	elong	elong	80
elucidation	elucidation	elucid	elucid	83
elution	elution	elut	elut	75
emaciation	emaciation	emaci	emaci	80
emanation	emanation	eman	eman	75
emancipation	emancipation	emancip	emancip	86
emasculation	emasculation	emascul	emascul	86
embarkation	embarquement	embark	embarqu	77
embrocation	embrocation	embroc	embroc	100
emendation	correction	emend	correct	17
emigration	emigration	emigr	emigr	80
emotion	emotion	emot	emot	75
emulation	emulation	emul	emul	75
encapsulation	encapsulation	encapsul	encapsul	100
encrustation	incrustation	encrust	incrust	86
encryption	chiffrement	encrypt	chiffr	31
enumeration	enumeration	enumer	enumer	83
enunciation	enonciation	enunci	enonci	67
equalisation	egalisation	equalis	egalis	62
equation	equation	equat	equat	80
equilibration	equilibration	equilibr	equilibr	88
equipartition	equipartition	equipartit	equipartit	90
equivocation	equivoque	equivoc	equivoqu	67
eradication	eradication	erad	erad	75
erection	erection	erect	erect	80
erudition	erudition	erudit	erudit	83
eruption	eruption	erupt	erupt	80
escalation	escalade	escal	escalad	83
estimation	estimation	estim	estim	100
evacuation	evacuation	evacu	evacu	80
evaluation	evaluation	evalu	evalu	80
evangelisation	evangelisation	evangelis	evangelis	78
evaporation	evaporation	evapor	evapor	83
eviction	expulsion	evict	expuls	18
evocation	evocation	evoc	evoc	75
evolution	evolution	evolut	evolu	73
exacerbation	exacerbation	exacerb	exacerb	100
exaction	exaction	exact	exact	100
exaggeration	exageration	exagger	exager	92
exaltation	exaltation	exalt	exalt	100
examination	examen	examin	examen	83
exasperation	exasperation	exasper	exasper	100
excavation	les fouilles	excav	les fouill	13
exception	exception	except	except	100
excitation	excitation	excit	excit	100
exclamation	exclamation	exclam	exclam	100
excommunication	excommunication	excommun	excommun	100
excruciation	excruciation	excruci	excruci	100
execution	execution	execut	execu	73
exemplification	exemplification	exemplif	exemplif	100
exemption	exemption	exempt	exempt	100
exertion	effort	exert	effort	55
exfoliation	exfoliation	exfoli	exfoli	100
exhalation	exhalation	exhal	exhal	100
exhaustion	epuisement	exhaust	epuis	33
exhibition	exposition	exhibit	exposit	57
exhilaration	euphorie	exhilar	euphor	46
exhortation	exhortation	exhort	exhort	100
exhumation	exhumation	exhum	exhum	100
exoneration	exoneration	exoner	exoner	100
expectation	attente	expect	attent	33
expectoration	expectoration	expector	expector	100
expedition	expedition	expedit	expedit	86
experimentation	experimentation	experiment	experiment	90
expiation	expiation	expiat	expiat	100
expiration	expiration	expir	expir	100
explanation	explication	explan	expliqu	62
explication	explication	explic	expliqu	77
exploitation	exploitation	exploit	exploit	100
exploration	exploration	explor	explor	100
exponentiation	exponentiation	exponenti	exponenti	100
exposition	exposition	exposit	exposit	100
expostulation	expostulation	expostul	expostul	100
expropriation	expropriation	expropri	expropri	100
extenuation	attenuation	extenu	attenu	50
extermination	extermination	extermin	extermin	100
extinction	extinction	extinct	extinct	100
extirpation	extirpation	extirp	extirp	100
extortion	extorsion	extort	extors	83
extraction	extraction	extract	extract	100
extradition	extradition	extradit	extradit	100
extrapolation	extrapolation	extrapol	extrapol	100
extrication	desincarceration	extric	desincarcer	24
exultation	exultation	exult	exult	100
fabrication	fabrication	fabric	fabriqu	77
facilitation	facilitation	facilit	facilit	100
faction	faction	faction	faction	100
factorisation	factorisation	factoris	factoris	100
falsification	falsification	falsif	falsif	100
familiarisation	familiarisation	familiaris	familiaris	100
fascination	fascination	fascin	fascin	100
federation	federation	feder	feder	80
felicitation	felicitations	felicit	felicit	86
fermentation	fermentation	ferment	ferment	100
fertilisation	fertilisation	fertilis	fertilis	100
fibrillation	fibrillation	fibril	fibrill	92
fiction	fiction	fiction	fiction	100
figuration	figuration	figur	figur	100
filtration	filtration	filtrat	filtrat	100
finalisation	finalisation	finalis	finalis	100
fixation	fixation	fixat	fixat	100
flagellation	flagellation	flagel	flagel	100
flirtation	flirtation	flirtat	flirtat	100
flotation	flottation	flotat	flottat	92
fluctuation	fluctuation	fluctuat	fluctuat	100
fluoridation	fluoration	fluorid	fluorat	71
formalisation	formalisation	formalis	formalis	100
formation	formation	format	format	100
formulation	formulation	formul	formul	100
fornication	fornication	fornic	forniqu	77
fortification	fortification	fortif	fortif	100
foundation	fondation	foundat	fondat	92
fraction	fraction	fraction	fraction	100
fractionation	fractionnement	fraction	fraction	100
fragmentation	fragmentation	fragment	fragment	100
friction	friction	friction	friction	100
fruition	realisation	fruition	realis	29
frustration	frustration	frustrat	frustrat	100
fulmination	fulmination	fulmin	fulmin	100
fumigation	fumigation	fumig	fumig	100
function	une fonction	function	une fonct	47
generalisation	generalisation	generalis	generalis	78
generation	generation	gener	gener	80
gentrification	gentrification	gentrif	gentrif	100
germination	germination	germin	germin	100
gestation	gestation	gestat	gestat	100
gesticulation	gesticulation	gesticul	gesticul	100
glaciation	glaciation	glaciat	glaciat	100
globalisation	globalisation	globalis	globalis	100
glorification	glorification	glorif	glorif	100
gradation	gradation	gradat	gradat	100
graduation	l'obtention du diplôme	graduat	l'obtention du diplôm	14
granulation	granulation	granul	granul	100
gratification	gratification	gratif	gratif	100
gravitation	gravitation	gravit	gravit	100
gyration	giration	gyrat	girat	80
habitation	habitation	habit	habit	100
habituation	accoutumance	habitu	accoutum	43
hallucination	hallucination	hallucin	hallucin	100
harmonisation	harmonisation	harmonis	harmonis	100
hesitation	hesitation	hesit	hesit	80
hibernation	hibernation	hibern	hibern	100
homogenisation	homogeneisation	homogenis	homogeneis	84
hospitalisation	hospitalisation	hospitalis	hospitalis	100
humiliation	humiliation	humili	humili	100
hybridisation	hybridation	hybridis	hybrid	86
hydration	l'hydratation	hydrat	l'hydrat	86
hydrogenation	hydrogenation	hydrogen	hydrogen	100
hyperinflation	hyperinflation	hyperinfl	hyperinfl	100
hyperventilation	hyperventilation	hyperventil	hyperventil	100
hyphenation	cesure	hyphen	cesur	0
idealisation	idealisation	idealis	idealis	86
identification	identification	identif	identif	100
idolisation	idolisation	idolis	idolis	100
ignition	allumage	ignit	allumag	17
illumination	eclairage	illumin	eclairag	13
illustration	illustration	illustr	illustr	100
imagination	imagination	imagin	imagin	100
imitation	imitation	imit	imit	100
immigration	immigration	immigr	immigr	100
immobilisation	immobilisation	immobilis	immobilis	100
immolation	immolation	immol	immol	100
immunisation	immunisation	immunis	immunis	100
impaction	impaction	impact	impact	100
imperfection	imperfection	imperfect	imperfect	100
impersonation	imitation	imperson	imit	33
implantation	implantation	implant	implant	100
implementation	la mise en oeuvre	implement	la mise en oeuvr	32
implication	implication	implic	impliqu	77
importation	importation	import	import	100
imposition	imposition	imposit	imposit	100
imprecation	imprecation	imprec	imprec	100
impregnation	impregnation	impregn	impregn	100
improvisation	improvisation	improvis	improvis	100
imputation	imputation	imput	imput	100
inaction	inaction	inact	inact	100
inactivation	inactivation	inactiv	inactiv	100
inattention	inattention	inattent	inattent	100
inauguration	inauguration	inaugur	inaugur	100
incantation	incantation	incant	incant	100
incapacitation	incapacite	incapacit	incapac	88
incarceration	incarceration	incarcer	incarcer	100
incarnation	incarnation	incarn	incarn	100
inception	debut	incept	debut	18
incineration	incineration	inciner	inciner	100
inclination	inclination	inclin	inclin	100
incorporation	incorporation	incorpor	incorpor	100
incrementation	incrementation	increment	increment	89
incrimination	incrimination	incrimin	incrimin	100
incubation	incubation	incub	incub	100
inculcation	inculcation	inculc	inculc	100
indentation	echancrure	indent	echancrur	13
indexation	indexation	index	index	100
indication	indication	indic	indiqu	73
indigestion	indigestion	indigest	indigest	100
indignation	indignation	indign	indign	100
indirection	indirection	indirect	indirect	100
indiscretion	indiscretion	indiscret	indiscret	100
indisposition	indisposition	indisposit	indisposit	100
individuation	individualisation	individu	individualis	80
indoctrination	endoctrinement	indoctrin	endoctrin	89
induction	induction	induct	induct	100
industrialisation	industrialisation	industrialis	industrialis	100
inebriation	enivrement	inebri	enivr	36
infarction	infarctus	infarct	infarctus	88
infatuation	engouement	infatu	engou	36
infection	infection	infect	infect	100
infestation	infestation	infest	infest	100
infiltration	infiltration	infiltr	infiltr	100
inflammation	inflammation	inflamm	inflamm	100
inflation	inflation	inflat	inflat	100
inflection	inflexion	inflect	inflexion	62
infliction	affliction	inflict	afflict	71
information	informations	inform	inform	100
infraction	infraction	infract	infract	100
ingestion	ingestion	ingest	ingest	100
inhalation	inhalation	inhal	inhal	100
inhibition	inhibition	inhibit	inhibit	100
initialisation	initialisation	initialis	initialis	100
initiation	initiation	initi	initi	100
injection	injection	inject	inject	100
injunction	injonction	injunct	injonct	86
innervation	innervation	innerv	innerv	100
innovation	innovation	innov	innov	100
inoculation	inoculation	inocul	inocul	100
inquisition	inquisition	inquisit	inquisit	100
inscription	une inscription	inscript	une inscript	80
insemination	insemination	insemin	insemin	86
insertion	insertion	insert	insert	100
insinuation	insinuation	insinu	insinu	100
inspection	inspection	inspect	inspect	100
inspiration	inspiration	inspir	inspir	100
installation	installation	instal	install	92
instantiation	instanciation	instanti	instanci	88
instigation	instigation	instig	instig	100
instillation	instillation	instil	instill	92
institution	institution	institut	institu	93
institutionalisation	institutionnalisation	institutionalis	institutionnalis	97
instruction	instruction	instruct	instruct	100
instrumentation	instrumentation	instrument	instrument	100
insubordination	insubordination	insubordin	insubordin	100
insulation	isolation	insul	isol	67
insurrection	insurrection	insurrect	insurrect	100
integration	l'integration	integr	l'integr	86
intensification	intensification	intensif	intensif	100
intention	intention	intent	intent	100
interaction	interaction	interact	interact	100
interception	interception	intercept	intercept	100
intercommunication	intercommunication	intercommun	intercommun	100
interconnection	interconnexion	interconnect	interconnexion	77
interjection	interjection	interject	interject	100
internalisation	internalisation	internalis	internalis	100
internationalisation	internationalisation	internationalis	internationalis	100
interpellation	interpellation	interpel	interpel	100
interpenetration	interpenetration	interpenetr	interpenetr	91
interpolation	interpolation	interpol	interpol	100
interposition	interposition	interposit	interposit	100
interpretation	interpretation	interpret	interpret	100
interrelation	interrelation	interrel	interrel	100
interrogation	interrogatoire	interrog	interrogatoir	76
interruption	interruption	interrupt	interrupt	100
intersection	intersection	intersect	intersect	100
intervention	intervention	intervent	intervent	100
intimation	intimation	intim	intim	100
intimidation	intimidation	intimid	intimid	100
intonation	intonation	inton	inton	100
intoxication	intoxication	intox	intox	100
introduction	introduction	introduct	introduct	100
introspection	introspection	introspect	introspect	100
intuition	intuition	intuit	intuit	100
inundation	inondation	inund	inond	80
