	ENG_c	FR_c	eng_stem	fr_stem	ratio_similarity
149	capitalistic	capitaliste	capitalist	capital	82
150	carbolic	phéniqué	carbol	phéniqu	0
151	carbonic	carbonique	carbon	carbon	100
152	carcinogenic	cancérigène	carcinogen	cancérigen	70
153	cardiac	cardiaque	cardiac	cardiaqu	80
154	cartographic	cartographique	cartograph	cartograph	100
155	cataclysmic	cataclysmique	cataclysm	cataclysm	100
156	catalytic	catalytique	catalyt	catalyt	100
157	catastrophic	catastrophique	catastroph	catastroph	100
158	catatonic	catatonique	cataton	cataton	100
159	cathartic	cathartique	cathart	cathart	100
160	catholic	catholique	cathol	cathol	100
161	cationic	cationique	cation	cation	100
162	caustic	caustique	caustic	caustiqu	80
163	celeriac	céleri	celeriac	céler	62
164	celtic	celtique	celtic	celtiqu	77
165	centric	central	centric	central	71
166	ceramic	céramique	ceram	céram	80
167	chaotic	chaotique	chaotic	chaotiqu	80
168	charabanc	charabanc	charabanc	charabanc	100
169	characteristic	caractéristique	characterist	caractérist	87
170	charismatic	charismatique	charismat	charismat	100
171	chauvinistic	chauvin	chauvinist	chauvin	82
172	chemic	chimie	chemic	chim	60
173	chemotherapeutic	chimiothérapie	chemotherapeut	chimiothérap	69
174	cherubic	de chérubin	cherub	de chérubin	59
175	chic	élégant	chic	éleg	0
176	chiropractic	chiropratique	chiropract	chiroprat	95
177	chivalric	chevaleresque	chivalr	chevaleresqu	63
178	choreographic	chorégraphie	choreograph	chorégraph	86
179	chromatic	chromatique	chromat	chromat	100
180	chromatographic	chromatographique	chromatograph	chromatograph	100
181	chronic	chronique	chronic	chroniqu	80
182	chronometric	chronométrique	chronometr	chronometr	100
183	cinematic	cinématique	cinemat	cinémat	86
184	cirrhotic	cirrhotique	cirrhot	cirrhot	100
185	citric	citrique	citric	citriqu	77
186	civic	civique	civic	civiqu	73
187	classic	classique	classic	classiqu	80
188	claustrophobic	claustrophobe	claustrophob	claustrophob	100
189	cleric	clerc	cleric	clerc	91
190	climactic	climactique	climact	climact	100
191	climatic	climatique	climat	climat	100
192	clinic	clinique	clinic	cliniqu	77
193	cognac	Cognac	cognac	cognac	100
194	colonic	colique	colon	coliqu	55
195	comic	bande dessinée	comic	bande dessin	12
196	concentric	concentrique	concentr	concentr	100
197	conic	conique	conic	coniqu	73
198	conspecific	conspécifique	conspecif	conspécif	89
199	cosmetic	cosmétique	cosmet	cosmet	100
200	cosmic	cosmique	cosmic	cosmiqu	77
201	critic	critique	critic	critiqu	77
202	cryogenic	cryogénique	cryogen	cryogen	100
203	cryptanalytic	cryptanalytique	cryptanalyt	cryptanalyt	100
204	cryptic	cryptique	cryptic	cryptiqu	80
205	cryptographic	cryptographique	cryptograph	cryptograph	100
206	crystallographic	cristallographique	crystallograph	cristallograph	93
207	cubic	cubique	cubic	cubiqu	73
208	cubistic	cubiste	cubist	cubist	100
209	culdesac	culdesac	culdesac	culdesac	100
210	cybernetic	cybernétique	cybernet	cybernet	100
211	cyclic	cyclique	cyclic	cycliqu	77
212	cynic	cynique	cynic	cyniqu	73
213	cystic	cystique	cystic	cystiqu	77
214	cytogenetic	cytogénétique	cytogenet	cytogénet	89
215	cytoplasmic	cytoplasmique	cytoplasm	cytoplasm	100
216	cytotoxic	cytotoxique	cytotox	cytotox	100
217	dactylic	dactylique	dactyl	dactyl	100
218	daemonic	démoniaque	daemon	démoniaqu	53
219	demagogic	démagogique	demagog	démagog	86
220	democratic	démocratique	democrat	démocrat	88
221	demographic	démographique	demograph	démograph	89
222	demonic	démoniaque	demon	démoniaqu	57
223	demotic	populaire	demot	populair	15
224	dendritic	dendritique	dendrit	dendrit	100
225	dermic	dermique	dermic	dermiqu	77
226	despotic	despotique	despot	despot	100
227	deterministic	déterministe	determinist	détermin	74
228	diabetic	diabétique	diabet	diabet	100
229	diabolic	diabolique	diabol	diabol	100
230	diachronic	diachronique	diachron	diachron	100
231	diagnostic	diagnostique	diagnost	diagnost	100
232	diagrammatic	schématique	diagrammat	schémat	35
233	dialectic	dialectique	dialect	dialect	100
234	diametric	diamétral	diametr	diamétral	75
235	diaphragmatic	diaphragmatique	diaphragmat	diaphragmat	100
236	diastolic	diastolique	diastol	diastol	100
237	diatomic	diatomique	diatom	diatom	100
238	diatonic	diatonique	diaton	diaton	100
239	didactic	didactique	didact	didact	100
240	dielectric	diélectrique	dielectr	diélectr	88
241	dieselelectric	dieselélectrique	dieselelectr	dieselélectr	92
242	dietetic	diététique	dietet	diétet	83
243	dimorphic	dimorphe	dimorph	dimorph	100
244	diplomatic	diplomatique	diplomat	diplomat	100
245	dipsomaniac	dipsomane	dipsomaniac	dipsoman	84
246	disc	disque	disc	disqu	67
247	disyllabic	dissyllabique	disyllab	dissyllab	94
248	diuretic	diurétique	diuret	diuret	100
249	doc	doc	doc	doc	100
250	dogmatic	dogmatique	dogmat	dogmat	100
251	domestic	national	domest	national	14
252	dramatic	spectaculaire	dramat	spectaculair	11
253	drastic	radical	drastic	radical	57
254	dualistic	dualiste	dualist	dualist	100
255	dyadic	dyadique	dyadic	dyadiqu	77
256	dynamic	dynamique	dynam	dynam	100
257	dynastic	dynastique	dynast	dynast	100
258	dyslexic	dyslexique	dyslex	dyslex	100
259	dyspeptic	dyspeptique	dyspept	dyspept	100
260	eccentric	excentrique	eccentr	excentr	86
261	ecclesiastic	ecclésiastique	ecclesiast	ecclésiast	90
262	echoic	écho	echoic	écho	60
263	eclectic	éclectique	eclect	éclect	83
264	ecliptic	écliptique	eclipt	éclipt	83
265	econometric	économétrique	econometr	économetr	89
266	economic	économique	econom	économ	83
267	ecstatic	en extase	ecstat	en extas	43
268	ectopic	ectopique	ectop	ectop	100
269	egocentric	égocentrique	egocentr	égocentr	88
270	egoistic	égoïste	egoist	égoïst	67
271	egomaniac	égoïste	egomaniac	égoïst	27
272	egotistic	égoïste	egotist	égoïst	62
273	eidetic	eidétique	eidet	eidet	100
274	elastic	élastique	elast	élast	80
275	electric	électrique	electr	électr	83
276	electrocardiographic	électrocardiographique	electrocardiograph	électrocardiograph	94
277	electrodynamic	électrodynamique	electrodynam	électrodynam	92
278	electrolytic	électrolytique	electrolyt	électrolyt	90
279	electromagnetic	électromagnétique	electromagnet	électromagnet	92
280	electronic	électronique	electron	électron	88
281	electrostatic	électrostatique	electrostat	électrostat	91
282	elegiac	élégiaque	elegiac	élégiaqu	53
283	elliptic	elliptique	ellipt	ellipt	100
284	emblematic	emblématique	emblemat	emblémat	88
285	embryonic	embryonnaire	embryon	embryonnair	78
286	emetic	émétique	emet	émet	75
287	empathetic	empathique	empathet	empath	86
288	empathic	empathique	empath	empath	100
289	emphatic	catégorique	emphat	catégor	31
290	empiric	empirique	empir	empir	100
291	encyclopaedic	encyclopédique	encyclopaed	encycloped	95
292	encyclopedic	encyclopédique	encycloped	encycloped	100
293	endemic	endémique	endem	endem	100
294	endoplasmic	endoplasmique	endoplasm	endoplasm	100
295	endoscopic	endoscopique	endoscop	endoscop	100
296	endothermic	endothermique	endotherm	endotherm	100
297	energetic	énergique	energet	énerg	67
298	enharmonic	enharmonique	enharmon	enharmon	100
299	enigmatic	énigmatique	enigmat	énigmat	86
300	enthusiastic	enthousiaste	enthusiast	enthousiast	95
301	entropic	entropique	entrop	entrop	100
302	enzymatic	enzymatique	enzymat	enzymat	100
303	epic	épique	epic	épiqu	44
304	epidemic	épidémie	epidem	épidem	83
305	epigenetic	épigénétique	epigenet	épigénet	75
306	epigrammatic	épigrammatique	epigrammat	épigrammat	90
307	epileptic	épileptique	epilept	épilept	86
308	episodic	épisodique	episod	épisod	83
309	epistemic	épistémique	epistem	épistem	86
310	epithetic	épithétique	epithet	épithet	86
311	ergodic	ergodique	ergod	ergod	100
312	ergonomic	ergonomique	ergonom	ergonom	100
313	erotic	érotique	erot	érot	75
314	erratic	erratique	errat	errat	100
315	esoteric	ésotérique	esoter	ésoter	83
316	esthetic	esthétique	esthet	esthet	100
317	ethic	éthique	ethic	éthiqu	55
318	ethnic	ethnique	ethnic	ethniqu	77
319	ethnocentric	ethnocentrique	ethnocentr	ethnocentr	100
320	ethnographic	ethnographique	ethnograph	ethnograph	100
321	eugenic	eugénique	eugen	eugen	100
322	eukaryotic	eucaryote	eukaryot	eucaryot	88
323	eulogistic	élogieux	eulogist	élogi	62
324	euphemistic	euphémique	euphemist	euphem	80
325	euphoric	euphorique	euphor	euphor	100
326	eutectic	eutectique	eutect	eutect	100
327	evangelistic	évangélique	evangelist	évangel	71
328	existentialistic	existentialiste	existentialist	existential	88
329	exothermic	exothermique	exotherm	exotherm	100
330	exotic	exotique	exot	exot	100
331	expressionistic	expressionniste	expressionist	expression	87
332	extragalactic	extragalactique	extragalact	extragalact	100
333	extralinguistic	extralinguistique	extralinguist	extralinguist	100
334	extrinsic	extrinsèque	extrins	extrinsequ	82
335	fabric	en tissu	fabric	en tissu	14
336	fanatic	fanatique	fanat	fanat	100
337	fantastic	fantastique	fantast	fantast	100
338	fatalistic	fataliste	fatalist	fatal	77
339	ferric	ferrique	ferric	ferriqu	77
340	ferromagnetic	ferromagnétique	ferromagnet	ferromagnet	100
341	fetishistic	fétichiste	fetishist	fétich	53
342	filmic	filmique	filmic	filmiqu	77
343	forensic	légal	forens	légal	0
344	formalistic	formaliste	formalist	formal	80
345	formic	formique	formic	formiqu	77
346	formulaic	formule	formula	formul	92
347	franc	franc	franc	franc	100
348	frantic	frénétique	frantic	frénet	62
349	frenetic	frénétique	frenet	frénet	83
350	frolic	gambader	frolic	gambad	0
351	futuristic	futuriste	futurist	futur	77
352	galactic	galactique	galact	galact	100
353	gallic	gaulois	gallic	gaulois	62
354	galvanic	galvanique	galvan	galvan	100
355	galvanometric	galvanométrique	galvanometr	galvanometr	100
356	ganglionic	ganglionnaire	ganglion	ganglionnair	80
357	garlic	Ail	garlic	ail	44
358	gastric	gastrique	gastric	gastriqu	80
359	gastronomic	gastronomique	gastronom	gastronom	100
360	generic	générique	gener	géner	80
361	genetic	génétique	genet	génet	80
362	genomic	génomique	genom	génom	80
363	geocentric	géocentrique	geocentr	géocentr	88
364	geodesic	géodésique	geodes	géodes	83
365	geographic	géographique	geograph	géograph	88
366	geologic	géologique	geolog	géolog	83
367	geomagnetic	géomagnétique	geomagnet	géomagnet	89
368	geometric	géométrique	geometr	géometr	86
369	geoscientific	géoscientifique	geoscientif	géoscientif	91
370	geriatric	gériatrique	geriatr	gériatr	86
371	germanic	germanique	german	german	100
372	gigantic	gigantesque	gigant	gigantesqu	75
373	gnomic	gnomique	gnomic	gnomiqu	77
374	gnostic	gnostique	gnostic	gnostiqu	80
375	gothic	gothique	gothic	gothiqu	77
376	granitic	granitique	granit	granit	100
377	graphic	graphique	graphic	graphiqu	80
378	gymnastic	gymnastique	gymnast	gymnast	100
379	gyromagnetic	gyromagnétique	gyromagnet	gyromagnet	100
380	gyroscopic	gyroscopique	gyroscop	gyroscop	100
381	haemolytic	hémolytique	haemolyt	hémolyt	80
382	haemophiliac	hémophile	haemophiliac	hémophil	70
383	haemorrhagic	hémorragique	haemorrhag	hémorrag	78
384	hamitic	hamitique	hamit	hamit	100
385	harmonic	harmonique	harmon	harmon	100
386	havoc	ravage	havoc	ravag	40
387	hectic	trépidant	hectic	trépid	33
388	hedonistic	hédonistique	hedonist	hédonist	88
389	hegemonic	hégémonique	hegemon	hégémon	71
390	heliocentric	héliocentrique	heliocentr	héliocentr	90
391	hellenic	hellénique	hellen	hellen	100
392	hemispheric	hémisphérique	hemispher	hémispher	89
393	hepatic	hépatique	hepat	hépat	80
394	heraldic	héraldique	herald	hérald	83
395	heretic	hérétique	heret	héret	80
396	hermaphroditic	hermaphrodite	hermaphrodit	hermaphrodit	100
397	hermeneutic	herméneutique	hermeneut	herméneut	89
398	hermetic	hermétique	hermet	hermet	100
399	heroic	héroïque	heroic	héroïqu	46
400	heuristic	heuristique	heurist	heurist	100
401	hic	hoquet	hic	hoquet	22
402	hierarchic	hiérarchique	hierarch	hiérarch	88
403	hieratic	hiératique	hierat	hiérat	83
404	hieroglyphic	hiéroglyphique	hieroglyph	hiéroglyph	90
405	hispanic	hispanique	hispan	hispan	100
406	historic	historique	histor	histor	100
407	histrionic	théâtral	histrion	théâtral	38
408	holistic	holistique	holist	holist	100
409	holographic	holographique	holograph	holograph	100
410	homoeopathic	homéopathique	homoeopath	homéopath	84
411	homophobic	homophobe	homophob	homophob	100
412	honorific	honorifique	honorif	honorif	100
413	horrific	horrible	horrif	horribl	77
414	hubristic	hubristique	hubrist	hubrist	100
415	humanistic	humaniste	humanist	human	77
416	hydraulic	hydraulique	hydraul	hydraul	100
417	hydrochloric	chlorhydrique	hydrochlor	chlorhydr	53
418	hydrodynamic	hydrodynamique	hydrodynam	hydrodynam	100
419	hydroelectric	hydro-électrique	hydroelectr	hydro-électr	87
420	hydrofluoric	hydrofluorique	hydrofluor	hydrofluor	100
421	hydrographic	hydrographique	hydrograph	hydrograph	100
422	hydromagnetic	hydromagnétique	hydromagnet	hydromagnet	100
423	hydrophobic	hydrophobe	hydrophob	hydrophob	100
424	hydrostatic	hydrostatique	hydrostat	hydrostat	100
425	hygienic	hygiénique	hygien	hygien	100
426	hygroscopic	hygroscopique	hygroscop	hygroscop	100
427	hyperbolic	hyperbolique	hyperbol	hyperbol	100
428	hypersonic	hypersonique	hyperson	hyperson	100
429	hypertonic	hypertonique	hyperton	hyperton	100
430	hypnotic	hypnotique	hypnot	hypnot	100
431	hypochondriac	hypocondriaque	hypochondriac	hypocondriaqu	85
432	hypodermic	hypodermique	hypoderm	hypoderm	100
433	hypoglycaemic	hypoglycémique	hypoglycaem	hypoglycem	95
434	hysteric	hystérique	hyster	hyster	100
435	iambic	iambique	iambic	iambiqu	77
436	iatrogenic	iatrogène	iatrogen	iatrogen	100
437	iconic	iconique	icon	icon	100
438	iconoclastic	iconoclaste	iconoclast	iconoclast	100
439	iconographic	iconographique	iconograph	iconograph	100
440	idealistic	idéaliste	idealist	idéal	62
441	ideographic	idéographique	ideograph	idéograph	89
442	idiomatic	idiomatique	idiomat	idiomat	100
443	idiopathic	idiopathique	idiopath	idiopath	100
444	idiosyncratic	particulier	idiosyncrat	particuli	20
445	idiotic	idiot	idiot	idiot	100
446	idyllic	idyllique	idyl	idyll	89
447	illogic	illogique	illog	illog	100
448	imbecilic	imbécile	imbecil	imbécil	86
449	imperialistic	impérialiste	imperialist	impérial	74
450	impolitic	impolitique	impolit	impolit	100
451	impressionistic	impressionniste	impressionist	impression	87
452	individualistic	individualiste	individualist	individual	87
453	inelastic	inélastique	inelast	inélast	86
454	inorganic	inorganique	inorgan	inorgan	100
455	insomniac	insomniaque	insomniac	insomniaqu	84
456	interatomic	interatomique	interatom	interatom	100
457	interferometric	interférométrique	interferometr	interférometr	92
458	intergalactic	intergalactique	intergalact	intergalact	100
459	intrinsic	intrinsèque	intrins	intrinsequ	82
460	ionic	ionique	ionic	ioniqu	73
461	ionospheric	ionosphérique	ionospher	ionospher	100
462	ironic	ironique	iron	iron	100
463	islamic	islamique	islam	islam	100
464	isomeric	isomérique	isomer	isomer	100
465	isometric	isométrique	isometr	isometr	100
466	isomorphic	isomorphe	isomorph	isomorph	100
467	isostatic	isostatique	isostat	isostat	100
468	isotonic	isotonique	isoton	isoton	100
469	isotopic	isotope	isotop	isotop	100
470	isotropic	isotrope	isotrop	isotrop	100
471	italic	italique	ital	ital	100
472	jingoistic	jingoistique	jingoist	jingoist	100
473	journalistic	journalistique	journalist	journalist	100
474	judaic	judaïque	judaic	judaïqu	62
475	jurassic	jurassique	jurass	jurass	100
476	juridic	juridique	jurid	jurid	100
477	juristic	juridique	jurist	jurid	73
478	kaleidoscopic	kaléidoscopique	kaleidoscop	kaléidoscop	91
479	kinematic	cinématique	kinemat	cinémat	71
480	kinetic	cinétique	kinet	cinet	80
481	kleptomaniac	kleptomane	kleptomaniac	kleptoman	86
482	laconic	laconique	lacon	lacon	100
483	lactic	lactique	lactic	lactiqu	77
484	legalistic	légaliste	legalist	légal	62
485	lethargic	léthargique	letharg	létharg	86
486	lexicographic	lexicographique	lexicograph	lexicograph	100
487	lilac	lilas	lilac	lil	75
488	linguistic	linguistique	linguist	linguist	100
489	literalistic	littéraliste	literalist	littéral	67
490	lithographic	lithographique	lithograph	lithograph	100
491	logarithmic	logarithmique	logarithm	logarithm	100
492	logic	logique	logic	logiqu	73
493	logistic	la logistique	logist	la logist	80
494	lunatic	fou	lunat	fou	25
495	lymphatic	lymphatique	lymphat	lymphat	100
496	lymphocytic	lymphocytaire	lymphocyt	lymphocytair	86
497	lyric	lyrique	lyric	lyriqu	73
498	mac	Mac	mac	mac	100
499	macrobiotic	macrobiotique	macrobiot	macrobiot	100
500	macroeconomic	macroéconomique	macroeconom	macroéconom	91
501	macroscopic	macroscopique	macroscop	macroscop	100
502	magic	la magie	magic	la mag	55
503	magmatic	magmatique	magmat	magmat	100
504	magnetic	magnétique	magnet	magnet	100
505	majestic	majestueux	majest	majestu	92
506	maniac	maniaque	maniac	maniaqu	77
507	manic	maniaque	manic	maniaqu	67
508	masochistic	masochiste	masochist	masoch	80
509	masonic	maçonnique	mason	maçon	80
510	materialistic	matérialiste	materialist	matérial	74
511	mechanic	mécanicien	mechan	mécanicien	50
512	mechanistic	mécaniste	mechanist	mécan	57
513	medic	médical	medic	médical	67
514	megalithic	mégalithique	megalith	mégalith	88
515	megalomaniac	mégalomane	megalomaniac	mégaloman	76
516	megaparsec	mégaparsec	megaparsec	mégaparsec	90
517	meiotic	méiotique	meiotic	méiot	67
518	melancholic	mélancolique	melanchol	mélancol	82
519	melodic	mélodique	melod	mélod	80
520	melodramatic	mélodramatique	melodramat	mélodramat	90
521	mentalistic	mentaliste	mentalist	mental	80
522	mercuric	mercurique	mercur	mercur	100
523	meritocratic	méritocratique	meritocrat	méritocrat	90
524	meromorphic	méromorphe	meromorph	méromorph	89
525	mesmeric	magnétique	mesmer	magnet	33
526	mesolithic	mésolithique	mesolith	mésolith	88
527	mesozoic	mésozoïque	mesozo	mésozoïqu	67
528	metabolic	métabolique	metabol	métabol	86
529	metalinguistic	métalinguistique	metalinguist	métalinguist	92
530	metallic	métallique	metal	métall	73
531	metamorphic	métamorphique	metamorph	métamorph	89
532	metaphoric	métaphorique	metaphor	métaphor	88
533	metastatic	métastatique	metastat	métastat	88
534	meteoric	météorique	meteor	météor	67
535	meteoritic	météoritique	meteorit	météorit	75
536	metonymic	métonymique	metonym	métonym	86
537	metric	métrique	metric	métriqu	62
538	metronomic	métronomique	metronom	métronom	88
539	microbic	microbienne	microb	microbien	80
540	microcosmic	microcosmique	microcosm	microcosm	100
541	microelectronic	microélectronique	microelectron	microélectron	92
542	microscopic	microscopique	microscop	microscop	100
543	militaristic	militariste	militarist	militar	82
544	mimetic	mimétique	mimet	mimet	100
545	mimic	imiter	mimic	imit	67
546	minimalistic	minimaliste	minimalist	minimal	82
547	misanthropic	misanthropique	misanthrop	misanthrop	100
548	misogynistic	misogyne	misogynist	misogyn	82
549	mnemonic	mnémonique	mnemon	mnémon	83
550	modernistic	moderniste	modernist	modern	80
551	mollusc	mollusque	mollusc	mollusqu	80
552	monadic	monadique	monad	monad	100
553	monarchic	monarchique	monarch	monarch	100
554	monastic	monastique	monast	monast	100
555	monochromatic	monochromatique	monochromat	monochromat	100
556	monographic	monographique	monograph	monograph	100
557	monolithic	monolithique	monolith	monolith	100
558	monomeric	monomère	monomer	monomer	100
559	monophonic	monophonique	monophon	monophon	100
560	monopolistic	monopolistique	monopolist	monopolist	100
561	monosyllabic	monosyllabique	monosyllab	monosyllab	100
562	monotheistic	monothéiste	monotheist	monothé	71
563	monotonic	monotone	monoton	monoton	100
564	moralistic	moraliste	moralist	moral	77
565	moronic	débile	moron	débil	0
566	morphogenetic	morphogénétique	morphogenet	morphogénet	91
567	mosaic	mosaïque	mosaic	mosaïqu	62
568	music	musique	music	musiqu	73
569	myalgic	myalgique	myalgic	myalgiqu	80
570	myopic	myope	myopic	myop	80
571	mystic	mystique	mystic	mystiqu	77
572	mythic	mythique	mythic	mythiqu	77
573	narcissistic	narcissique	narcissist	narciss	82
574	narcoleptic	narcoleptique	narcolept	narcolept	100
575	narcotic	narcotique	narcot	narcot	100
576	nationalistic	nationaliste	nationalist	national	84
577	naturalistic	naturaliste	naturalist	natural	82
578	necromantic	nécromantique	necromant	nécromant	89
579	necrophiliac	nécrophile	necrophiliac	nécrophil	76
580	necrotic	nécrotique	necrot	nécrot	83
581	neolithic	néolithique	neolith	néolith	86
582	neurotic	névrosé	neurot	névros	50
583	nihilistic	nihiliste	nihilist	nihil	77
584	nitric	nitrique	nitric	nitriqu	77
585	nomadic	nomade	nomad	nomad	100
586	nordic	nordique	nordic	nordiqu	77
587	nostalgic	nostalgique	nostalg	nostalg	100
588	novelistic	romanesque	novelist	romanesqu	35
