	ENG_ish	FR_ish	eng_stem	fr_stem	ratio_similarity
178	ticklish	chatouilleux	ticklish	chatouill	35
179	tigerish	tigré	tigerish	tigr	67
180	trollish	trollish	trollish	trollish	100
181	turkish	turc	turkish	turc	55
182	unselfish	généreux	unselfish	géner	29
183	vanish	disparaître	vanish	disparaîtr	25
184	vanquish	vaincre	vanquish	vaincr	43
185	varnish	vernis	varnish	vern	55
186	waggish	facétieux	waggish	facéti	31
187	warmish	chaleureux	warmish	chaleur	29
188	waspish	grincheux	waspish	grincheux	25
189	weakish	faible	weakish	faibl	33
190	whitish	blanchâtre	whitish	blanchâtr	25
191	wish	souhaiter	wish	souhait	18
192	wolfish	loup	wolfish	loup	18
193	womanish	efféminé	womanish	effémin	27
194	yellowish	jaunâtre	yellowish	jaunâtr	0
195	yiddish	yiddish	yiddish	yiddish	100
196	youngish	jeune	youngish	jeun	33
