	ENG_a	FR_a	eng_stem	fr_stem	ratio_similarity
84	balaclava	cagoule	balaclava	cagoul	27
85	balalaika	balalaika	balalaika	balalaik	94
86	ballerina	ballerine	ballerina	ballerin	94
87	balsa	balsa	balsa	bals	89
88	banana	banane	banana	banan	91
89	bandanna	foulard	bandanna	foulard	27
90	barracuda	barracuda	barracuda	barracud	94
91	basilica	Basilique	basilica	basil	77
92	bavaria	Bavière	bavaria	bavi	73
93	bazooka	bazooka	bazooka	bazook	92
94	belladonna	belladone	belladonna	belladon	89
95	bermuda	Bermudes	bermuda	bermud	92
96	beta	bêta	beta	bêt	57
97	bilharzia	bilharziose	bilharzia	bilharzios	84
98	biota	biote	biota	biot	89
99	blacksea	mer Noire	blacksea	mer noir	12
100	boa	boa	boa	bo	80
101	bola	bola	bola	bol	86
102	bolivia	Bolivie	bolivia	boliv	83
103	bologna	Bologne	bologna	bologn	92
104	bonanza	aubaine	bonanza	aubain	31
105	bosnia	bosnie	bosnia	bosn	80
106	botswana	botswana	botswana	botswan	93
107	bougainvillea	bougainvilliers	bougainvillea	bougainvilli	88
108	bra	soutien-gorge	bra	soutien-gorg	13
109	bradycardia	bradycardie	bradycardia	bradycard	90
110	brasilia	Brasilia	brasilia	brasili	93
111	brouhaha	brouhaha	brouhaha	brouhah	93
112	bulgaria	Bulgarie	bulgaria	bulgar	86
113	bulimia	boulimie	bulimia	boulim	77
114	burma	Birmanie	burma	birman	73
115	cadenza	cadence	cadenza	cadenc	77
116	cafeteria	cafétéria	cafeteria	cafétéri	71
117	calcutta	calcutta	calcutta	calcutt	93
118	caldera	caldeira	caldera	caldeir	86
119	california	Californie	california	californ	89
120	cambodia	Cambodge	cambodia	cambodg	80
121	camera	caméra	camera	camer	91
122	canada	Canada	canada	canad	91
123	canberra	Canberra	canberra	canberr	93
124	candelabra	candélabre	candelabra	candélabr	84
125	cannula	canule	cannula	canul	83
126	cantata	cantate	cantata	cantat	92
127	capita	tête	capita	têt	22
128	capybara	Capybara	capybara	capybar	93
129	carcinoma	carcinome	carcinoma	carcinom	94
130	casanova	Casanova	casanova	casanov	93
131	cascara	cascara	cascara	cascar	92
132	cassava	manioc	cassava	manioc	15
133	cedilla	cédille	cedilla	cédill	77
134	chacha	chacha	chacha	chach	91
135	charisma	charisme	charisma	charism	93
136	chihuahua	chihuahua	chihuahua	chihuahu	94
137	chimaera	chimère	chimaera	chimer	86
138	chimera	chimère	chimera	chimer	92
139	china	Chine	china	chin	89
140	chlamydia	chlamydia	chlamydia	chlamydi	94
141	cholera	choléra	cholera	choler	92
142	chorea	chorée	chorea	chor	80
143	chroma	chrominance	chroma	chromin	77
144	cicada	cigale	cicada	cigal	55
145	cilia	cils	cilia	cil	75
146	cinema	cinéma	cinema	cinem	91
147	circa	environ	circa	environ	33
148	claustrophobia	claustrophobie	claustrophobia	claustrophob	92
149	cloaca	cloaque	cloaca	cloaqu	67
150	cobra	cobra	cobra	cobr	89
151	coca	coca	coca	coc	86
152	cochlea	limaçon	cochlea	limaçon	14
153	cocoa	cacao	cocoa	cacao	40
154	coda	coda	coda	cod	86
155	cola	Cola	cola	col	86
156	colloquia	colloques	colloquia	colloqu	88
157	coma	coma	coma	com	86
158	comma	virgule	comma	virgul	0
159	compendia	compendia	compendia	compendi	94
160	concertina	concertina	concertina	concertin	95
161	conga	conga	conga	cong	89
162	consortia	consortiums	consortia	consortium	84
163	continua	continua	continua	continu	93
164	contra	contra	contra	contr	91
165	copra	copra	copra	copr	89
166	cordillera	cordillère	cordillera	cordiller	95
167	cornea	cornée	cornea	corn	80
168	cornucopia	corne d'abondance	cornucopia	corne d'abond	43
169	corona	couronne	corona	couron	83
170	corpora	corpus	corpora	corpus	62
171	corrigenda	rectificatifs	corrigenda	rectif	25
172	corsica	la Corse	corsica	la cors	57
173	crematoria	crématoires	crematoria	crématoir	74
174	crimea	Crimée	crimea	crim	80
175	criteria	Critères	criteria	criter	86
176	croatia	Croatie	croatia	croat	83
177	cuba	Cuba	cuba	cub	86
178	cupola	coupole	cupola	coupol	83
179	curia	curie	curia	cur	75
180	curricula	curricula	curricula	curricul	94
181	dacha	datcha	dacha	datch	80
182	dagama	Dagama	dagama	dagam	91
183	dagga	Dagga	dagga	dagg	89
184	dahlia	dahlia	dahlia	dahli	91
185	data	Les données	data	les don	18
186	deadsea	mer Morte	deadsea	mer mort	13
187	deepsea	mer profonde	deepsea	mer profond	11
188	delta	delta	delta	delt	89
189	dementia	démence	dementia	démenc	57
190	desiderata	desiderata	desiderata	desiderat	95
191	desirabilia	désirabilité	desirabilia	désir	50
192	diana	Diane	diana	dian	89
193	diarrhea	la diarrhée	diarrhea	la diarrh	71
194	diarrhoea	la diarrhée	diarrhoea	la diarrh	67
195	diaspora	diaspora	diaspora	diaspor	93
196	dilemma	dilemme	dilemma	dilemm	92
197	diphtheria	diphtérie	diphtheria	diphter	82
198	diploma	diplôme	diploma	diplôm	77
199	dipsomania	dipsomanie	dipsomania	dipsoman	89
200	diva	diva	diva	div	86
201	dodecahedra	dodécaèdres	dodecahedra	dodécaedr	80
202	dogma	dogme	dogma	dogm	89
203	donga	Donga	donga	dong	89
204	drachma	drachme	drachma	drachm	92
205	dracula	Dracula	dracula	dracul	92
206	drama	drame	drama	dram	89
207	dyslexia	dyslexie	dyslexia	dyslex	86
208	dyspepsia	dyspepsie	dyspepsia	dyspeps	88
209	echidna	échidné	echidna	échidn	77
210	eczema	eczéma	eczema	eczem	91
211	edema	œdème	edema	œdem	67
212	effluvia	effluve	effluvia	effluv	86
213	egomania	manie	egomania	man	55
214	emphysema	emphysème	emphysema	emphysem	94
215	emporia	Emporia	emporia	empori	92
216	encyclopaedia	encyclopédie	encyclopaedia	encycloped	87
217	encyclopedia	encyclopédie	encyclopedia	encycloped	91
218	enema	lavement	enema	lav	25
219	enigma	énigme	enigma	énigm	73
220	ephemera	éphémère	ephemera	éphémer	67
221	epiphenomena	épiphénomènes	epiphenomena	épiphénomen	78
222	equilibria	les équilibres	equilibria	les équilibr	73
223	era	ère	era	ère	33
224	ergophobia	ergophobie	ergophobia	ergophob	89
225	erica	Eric	erica	eric	89
226	eritrea	Érythrée	eritrea	érythr	46
227	erotica	érotique	erotica	érot	55
228	errata	errata	errata	errat	91
229	esoterica	ésotérique	esoterica	ésoter	67
230	estonia	Estonie	estonia	eston	83
231	eta	eta	eta	eta	100
232	etcetera	etc	etcetera	etc	55
233	ethiopia	Ethiopie	ethiopia	ethiop	86
234	etna	etna	etna	etna	100
235	euphoria	euphorie	euphoria	euphor	86
236	eurasia	eurasie	eurasia	euras	83
237	eureka	eureka	eureka	eurek	91
238	euthanasia	euthanasie	euthanasia	euthanas	89
239	exotica	exotique	exotica	exot	73
240	extra	supplémentaire	extra	supplémentair	33
241	extravaganza	extravagance	extravaganza	extravag	80
242	extrema	extrema	extrema	extrem	92
243	facia	facia	facia	faci	89
244	fantasia	fantaisie	fantasia	fantais	80
245	fascia	fascia	fascia	fasci	91
246	fatwa	fatwa	fatwa	fatw	89
247	fauna	faune	fauna	faun	89
248	fedora	feutre	fedora	feutr	55
249	felicia	Felicia	felicia	felici	92
250	fibula	fibule	fibula	fibul	91
251	fiesta	fiesta	fiesta	fiest	91
252	fistula	fistule	fistula	fistul	92
253	flagella	flagelles	flagella	flagel	86
254	flea	Puce	flea	puc	0
255	flora	flore	flora	flor	89
256	florida	Floride	florida	florid	92
257	flotilla	flottille	flotilla	flottill	88
258	formosa	formosa	formosa	formos	92
259	formula	formule	formula	formul	92
260	forsythia	forsythie	forsythia	forsyth	88
261	fossa	fosse	fossa	foss	89
262	freesia	freesia	freesia	freesi	92
263	freya	Freya	freya	frei	67
264	fuchsia	fuchsia	fuchsia	fuchsi	92
265	gaga	gaga	gaga	gag	86
266	gala	gala	gala	gal	86
267	galena	galène	galena	galen	91
268	gambia	Gambie	gambia	gamb	80
269	gamma	gamma	gamma	gamm	89
270	ganglia	ganglions	ganglia	ganglion	80
271	geisha	geisha	geisha	geish	91
272	genera	genres	genera	genr	80
273	geneva	Genève	geneva	genev	91
274	genitalia	organes génitaux	genitalia	organes génital	58
275	genoa	Gênes	genoa	gên	50
276	georgia	Géorgie	georgia	géorg	67
277	ghana	Ghana	ghana	ghan	89
278	glaucoma	glaucome	glaucoma	glaucom	93
279	glia	glia	glia	gli	86
280	golgotha	Golgotha	golgotha	golgoth	93
281	gondola	gondole	gondola	gondol	92
282	gonorrhoea	blennorragie	gonorrhoea	blennorrag	50
283	gorilla	gorille	gorilla	gorill	92
284	gouda	gouda	gouda	goud	89
285	grandma	grand-mère	grandma	grand-mer	75
286	grandpa	papy	grandpa	papy	36
287	guava	goyave	guava	goyav	60
288	guerilla	guérilla	guerilla	guérill	80
289	guerrilla	guérilla	guerrilla	guérill	75
290	guinea	Guinée	guinea	guin	80
291	gymkhana	gymkhana	gymkhana	gymkhan	93
292	gymnasia	gymnase	gymnasia	gymnas	86
293	ha	Ha	ha	ha	100
294	hacienda	hacienda	hacienda	haciend	93
295	haematoma	hématome	haematoma	hématom	75
296	haematuria	hématurie	haematuria	hématur	71
297	haemophilia	hémophilie	haemophilia	hémophil	74
298	haha	haha	haha	hah	86
299	hakea	hakea	hakea	hak	75
300	harmonica	harmonica	harmonica	harmonic	94
301	havana	la havane	havana	la havan	71
302	henna	henné	henna	hen	75
303	hernia	hernie	hernia	hern	80
304	homophobia	homophobie	homophobia	homophob	89
305	hosanna	Hosanna	hosanna	hosann	92
306	hosta	hosta	hosta	host	89
307	hyaena	hyène	hyaena	hyen	80
308	hydra	hydre	hydra	hydr	89
309	hydrangea	hortensia	hydrangea	hortensi	35
310	hydrophobia	hydrophobie	hydrophobia	hydrophob	90
311	hyena	hyène	hyena	hyen	89
312	hyperbola	hyperbole	hyperbola	hyperbol	94
313	hypercholesterolaemia	hypercholestérolémie	hypercholesterolaemia	hypercholestérolem	87
314	hypochondria	hypocondrie	hypochondria	hypocondr	86
315	hypoglycaemia	hypoglycémie	hypoglycaemia	hypoglycem	87
316	hypothermia	hypothermie	hypothermia	hypotherm	90
317	hypoxia	hypoxie	hypoxia	hypox	83
318	hysteria	hystérie	hysteria	hyster	86
319	iberia	Ibérie	iberia	iber	80
320	icosahedra	icosaèdres	icosahedra	icosaedr	89
321	idea	idée	idea	idé	57
322	iguana	iguane	iguana	iguan	91
323	impala	impala	impala	impal	91
324	impedimenta	impedimenta	impedimenta	impediment	95
325	inca	inca	inca	inca	100
326	indaba	indaba	indaba	indab	91
327	india	Inde	india	inde	67
328	indiana	Indiana	indiana	indian	92
329	induna	induna	induna	indun	91
330	inertia	inertie	inertia	inert	83
331	infanta	infante	infanta	infant	92
332	influenza	grippe	influenza	gripp	14
333	infra	infra	infra	infra	100
334	insignia	insigne	insignia	insign	86
335	insomnia	insomnie	insomnia	insomn	86
336	intelligentsia	intelligentsia	intelligentsia	intelligentsi	96
337	intifada	intifada	intifada	intifad	93
338	iota	iota	iota	iot	86
339	jakarta	Jakarta	jakarta	jakart	92
340	jamaica	Jamaïque	jamaica	jamaïqu	57
341	japonica	japonica	japonica	japonic	93
342	java	Java	java	jav	86
343	joshua	Joshua	joshua	joshu	91
344	junta	junte	junta	junt	89
345	kampala	Kampala	kampala	kampal	92
346	karma	karma	karma	karm	89
347	kenya	Kenya	kenya	keni	67
348	kina	kina	kina	kin	86
349	kinshasa	Kinshasa	kinshasa	kinshas	93
350	kleptomania	kleptomanie	kleptomania	kleptoman	90
351	koala	koala	koala	koal	89
352	kookaburra	kookaburra	kookaburra	kookaburr	95
353	korea	Corée	korea	cor	50
354	kwacha	kwacha	kwacha	kwach	91
355	labia	lèvres	labia	levr	22
356	lacuna	lacune	lacuna	lacun	91
357	lama	lama	lama	lam	86
358	lambda	lambda	lambda	lambd	91
359	lamina	lame	lamina	lam	67
360	larva	larve	larva	larv	89
361	latvia	Lettonie	latvia	letton	33
362	lava	lave	lava	lav	86
363	lea	lea	lea	le	80
364	lemma	lemme	lemma	lemm	89
365	leukaemia	leucémie	leukaemia	leucem	67
366	leukemia	leucémie	leukemia	leucem	71
367	liberia	Libéria	liberia	libéri	77
368	libya	Libye	libya	liby	89
369	lima	Lima	lima	lim	86
370	lingua	lingua	lingua	lingu	91
371	lira	lire	lira	lir	86
372	listeria	listeria	listeria	listeri	93
373	llama	lama	llama	lam	75
374	lobelia	lobélie	lobelia	lobel	83
375	luanda	Luanda	luanda	luand	91
376	luna	Luna	luna	lun	86
377	lusaka	Lusaka	lusaka	lusak	91
378	lymphoma	lymphome	lymphoma	lymphom	93
379	lyra	lyre	lyra	lyr	86
380	madeira	Madère	madeira	mader	83
381	mafia	mafia	mafia	mafi	89
382	magenta	magenta	magenta	magent	92
383	magma	magma	magma	magm	89
384	magnesia	magnésie	magnesia	magnes	86
385	magnolia	magnolia	magnolia	magnoli	93
386	mahatma	mahatma	mahatma	mahatm	92
387	majolica	majolique	majolica	majol	77
388	malaria	paludisme	malaria	palud	33
389	malaysia	Malaisie	malaysia	malais	71
390	malta	Malte	malta	malt	89
391	malva	Malva	malva	malv	89
392	mama	maman	mama	maman	89
393	mamba	mamba	mamba	mamb	89
394	mammalia	mammalia	mammalia	mammali	93
395	mandela	Mandela	mandela	mandel	92
396	mania	la manie	mania	la man	55
397	manila	Manille	manila	manill	83
398	manna	manne	manna	mann	89
399	mantissa	mantisse	mantissa	mant	67
400	mantra	mantra	mantra	mantr	91
401	mara	mara	mara	mar	86
402	marginalia	notes marginales	marginalia	notes marginal	67
403	maria	maria	maria	mari	89
404	marijuana	marijuana	marijuana	marijuan	94
405	marina	Marina	marina	marin	91
406	marsala	Marsala	marsala	marsal	92
407	mascara	mascara	mascara	mascar	92
408	maxima	maxima	maxima	maxim	91
409	maya	Maya	maya	mai	57
410	mazurka	mazurka	mazurka	mazurk	92
411	mecca	Mecque	mecca	mecqu	60
412	media	médias	media	médi	67
413	medulla	moelle	medulla	moel	55
414	medusa	méduse	medusa	médus	73
415	mega	méga	mega	meg	86
416	megalomania	la folie des grandeurs	megalomania	la folie des grandeur	25
417	melancholia	mélancolie	melancholia	mélancol	74
418	melanoma	mélanome	melanoma	mélanom	80
419	melodrama	mélodrame	melodrama	mélodram	82
420	memorabilia	souvenirs	memorabilia	souvenir	21
421	memoranda	mémorandums	memoranda	mémorandum	74
422	miasma	miasme	miasma	miasm	91
423	mica	mica	mica	mic	86
424	militia	milice	militia	milic	67
425	millennia	millénaires	millennia	millénair	67
426	mimosa	mimosa	mimosa	mimos	91
427	minima	minima	minima	minim	91
428	miscellanea	miscellanea	miscellanea	miscellan	90
429	mitochondria	mitochondries	mitochondria	mitochondr	91
430	monalisa	monalisa	monalisa	monalis	93
431	monomania	monomanie	monomania	monoman	88
432	morphia	morphine	morphia	morphin	86
433	moussaka	Moussaka	moussaka	moussak	93
434	mucosa	muqueuse	mucosa	muqueux	31
435	multimedia	multimédia	multimedia	multimédi	84
436	myna	myna	myna	myn	86
437	myopia	myopie	myopia	myop	80
438	namibia	Namibie	namibia	namib	83
439	naphtha	naphte	naphtha	napht	83
440	nausea	la nausée	nausea	la naus	62
441	nebula	nébuleuse	nebula	nébul	73
442	necrophilia	nécrophilie	necrophilia	nécrophil	80
443	neuralgia	névralgie	neuralgia	névralg	62
444	niagara	Niagara	niagara	niagar	92
445	nigeria	Nigeria	nigeria	nigeri	92
446	nirvana	nirvana	nirvana	nirvan	92
447	nostalgia	nostalgie	nostalgia	nostalg	88
448	nyala	Nyala	nyala	nyal	89
449	nymphomania	nymphomanie	nymphomania	nymphoman	90
450	oedema	œdème	oedema	œdem	60
451	oklahoma	Oklahoma	oklahoma	oklahom	93
452	olympia	Olympie	olympia	olymp	83
453	omega	oméga	omega	omeg	89
454	opera	opéra	opera	oper	89
455	operetta	opérette	operetta	opéret	71
456	optima	optima	optima	optim	91
457	orca	orque	orca	orque	44
458	orchestra	orchestre	orchestra	orchestr	94
459	organza	organza	organza	organz	92
460	ova	ovules	ova	ovul	57
461	pa	Pennsylvanie	pa	pennsylvan	33
462	paedophilia	pédophilie	paedophilia	pédophil	74
463	paella	Paëlla	paella	paëll	73
464	pagoda	pagode	pagoda	pagod	91
465	pajama	pyjama	pajama	pyjam	73
466	panacea	panacée	panacea	panac	83
467	panama	Panama	panama	panam	91
468	panda	Panda	panda	pand	89
469	pandora	pandora	pandora	pandor	92
470	panga	panga	panga	pang	89
471	panorama	panorama	panorama	panoram	93
472	papa	papa	papa	pap	86
473	papaya	papaye	papaya	papay	91
474	papilla	papille	papilla	papill	92
475	paprika	paprika	paprika	paprik	92
476	papua	papouasie	papua	papouas	83
477	parabola	parabole	parabola	parabol	93
478	paranoia	paranoïa	paranoia	paranoï	80
479	paraphernalia	attirail	paraphernalia	attirail	38
480	parka	parka	parka	park	89
481	pasta	Pâtes	pasta	pât	50
482	patella	rotule	patella	rotul	33
483	patina	patine	patina	patin	91
484	pea	pois	pea	pois	29
485	peninsula	péninsule	peninsula	péninsul	82
486	penumbra	pénombre	penumbra	pénombr	67
487	perestroika	perestroïka	perestroika	perestroïk	86
488	pergola	pergola	pergola	pergol	92
489	persia	Perse	persia	pers	80
490	persona	personnage	persona	personnag	88
491	peseta	peseta	peseta	peset	91
492	petunia	pétunia	petunia	pétuni	77
493	phenomena	phénomènes	phenomena	phénomen	82
494	phobia	phobie	phobia	phob	80
495	phyla	phyla	phyla	phyl	89
496	pianola	pianola	pianola	pianol	92
497	piazza	piazza	piazza	piazz	91
498	pica	pica	pica	pic	86
499	pieta	Pieta	pieta	piet	89
500	piranha	piranha	piranha	piranh	92
501	pisa	pise	pisa	pis	86
502	pizza	Pizza	pizza	pizz	89
503	pizzeria	pizzeria	pizzeria	pizzeri	93
504	placenta	placenta	placenta	placent	93
505	plasma	plasma	plasma	plasm	91
506	plaza	place	plaza	plac	67
507	plea	plaidoyer	plea	plaidoi	55
508	plethora	pléthore	plethora	pléthor	80
509	pleura	plèvre	pleura	plevr	73
510	pneumonia	pneumonie	pneumonia	pneumon	88
511	podia	podia	podia	podi	89
512	polka	polka	polka	polk	89
513	polyhedra	polyèdres	polyhedra	polyedr	88
514	pretoria	pretoria	pretoria	pretori	93
515	proforma	proforma	proforma	proform	93
516	propaganda	la propagande	propaganda	la propagand	82
517	protea	protea	protea	prot	80
518	protozoa	protozoaires	protozoa	protozoair	89
519	prussia	Prusse	prussia	pruss	83
520	psychedelia	psychédélique	psychedelia	psychédel	80
521	puma	puma	puma	pum	86
522	pupa	pupe	pupa	pup	86
523	pyjama	pyjama	pyjama	pyjam	91
524	pyracantha	pyracantha	pyracantha	pyracanth	95
525	qua	en tant que	qua	en tant qu	31
526	quagga	quagga	quagga	quagg	91
527	quota	quota	quota	quot	89
528	raffia	raphia	raffia	raphi	55
529	redsea	mer Rouge	redsea	mer roug	14
530	referenda	référendums	referenda	référendum	63
531	regalia	insignes royaux	regalia	insignes royal	29
532	regatta	régate	regatta	régat	67
533	regina	regina	regina	regin	91
534	replica	réplique	replica	répliqu	57
535	resea	resea	resea	res	75
536	retina	rétine	retina	rétin	73
537	retsina	retsina	retsina	retsin	92
538	rhea	nandou	rhea	nandou	20
539	rhodesia	la rhodésie	rhodesia	la rhodes	71
540	ria	ria	ria	ri	80
541	ricksha	ricksha	ricksha	ricksh	92
542	riviera	riviera	riviera	rivi	73
543	rota	rota	rota	rot	86
544	rotunda	rotonde	rotunda	rotond	77
545	ruanda	Ruanda	ruanda	ruand	91
546	rubella	rubéole	rubella	rubéol	62
547	rumania	la Roumanie	rumania	la rouman	62
548	rumba	rumba	rumba	rumb	89
549	russia	Russie	russia	russ	80
550	rwanda	Rwanda	rwanda	rwand	91
551	sabra	sabra	sabra	sabr	89
552	saga	saga	saga	sag	86
553	sahara	Sahara	sahara	sahar	91
554	saliva	salive	saliva	saliv	91
555	salmonella	salmonelle	salmonella	salmonel	89
556	salsa	salsa	salsa	sals	89
557	samba	samba	samba	samb	89
558	samoa	samoa	samoa	samo	89
559	sarcoma	sarcome	sarcoma	sarcom	92
560	sardinia	sardaigne	sardinia	sardaign	75
561	saturnalia	saturnales	saturnalia	saturnal	89
562	sauna	sauna	sauna	saun	89
563	savanna	savane	savanna	savan	83
564	scapula	omoplate	scapula	omoplat	43
565	schema	schéma	schema	schem	91
566	schemata	schémas	schemata	schem	77
567	schizophrenia	la schizophrénie	schizophrenia	la schizophren	81
568	schwa	schwa	schwa	schwa	100
569	sciatica	sciatique	sciatica	sciatiqu	75
570	scuba	scaphandre autonome	scuba	scaphandre autonom	26
571	sea	mer	sea	mer	33
572	senora	senora	senora	senor	91
573	sepia	sépia	sepia	sépi	67
574	septicaemia	septicémie	septicaemia	septicem	84
575	sequoia	séquoia	sequoia	séquoi	77
576	serenata	serenata	serenata	serenat	93
577	setswana	setswana	setswana	setswan	93
578	siberia	Sibérie	siberia	siber	83
579	sienna	terre de sienne	sienna	terre de sien	42
580	sierra	sierra	sierra	sierr	91
581	siesta	sieste	siesta	siest	91
582	sigma	sigma	sigma	sigm	89
583	signora	signora	signora	signor	92
584	silica	silice	silica	silic	91
585	skua	labbe	skua	labb	25
586	slovenia	Slovénie	slovenia	sloven	86
587	smegma	smegma	smegma	smegm	91
588	soda	un soda	soda	un sod	60
589	sofa	canapé	sofa	canap	22
590	solaria	solaria	solaria	solari	92
591	solfa	solfa	solfa	solf	89
592	soma	soma	soma	som	86
593	somalia	Somalie	somalia	somal	83
594	sonata	sonate	sonata	sonat	91
595	sonora	sonore	sonora	sonor	91
596	soya	soya	soya	soi	57
597	spa	spa	spa	spa	100
598	sparta	Sparte	sparta	spart	91
599	spatula	spatule	spatula	spatul	92
600	spectra	spectres	spectra	spectr	92
601	spermatozoa	spermatozoïdes	spermatozoa	spermatozoïd	87
602	srilanka	Sri Lanka	srilanka	sri lank	88
603	stadia	stades	stadia	stad	80
604	stamina	endurance	stamina	endur	17
605	stanza	strophe	stanza	stroph	33
606	stigma	stigmate	stigma	stigmat	92
607	stigmata	stigmates	stigmata	stigmat	93
608	stoa	stoa	stoa	sto	86
609	stoma	stomate	stoma	stomat	91
610	stomata	stomates	stomata	stomat	92
611	strata	couches	strata	couch	0
612	subpoena	assignation	subpoena	assign	29
613	substrata	substrats	substrata	substrat	94
614	suburbia	banlieue	suburbia	banlieu	13
615	sultana	sultane	sultana	sultan	92
616	sumatra	sumatra	sumatra	sumatr	92
617	summa	summa	summa	summ	89
618	supernova	supernova	supernova	supernov	94
619	swastika	svastika	swastika	svastik	80
620	sweetpea	pois de senteur	sweetpea	pois de senteur	43
621	symposia	symposiums	symposia	symposium	82
622	syria	Syrie	syria	syr	75
623	tachycardia	tachycardie	tachycardia	tachycard	90
624	taffeta	taffetas	taffeta	taffet	92
625	tanzania	Tanzanie	tanzania	tanzan	86
626	tapioca	Tapioca	tapioca	tapioc	92
627	taramasalata	taramasalata	taramasalata	taramasalat	96
628	tarantula	tarentule	tarantula	tarentul	82
629	tasmania	Tasmanie	tasmania	tasman	86
630	taverna	taverne	taverna	tavern	92
631	tea	thé	tea	thé	33
632	technophobia	technophobie	technophobia	technophob	91
633	tempera	détrempe	tempera	détremp	57
634	tequila	Tequila	tequila	tequil	92
635	terracotta	terre cuite	terracotta	terre cuit	60
636	tetra	tétra	tetra	tetr	89
637	tetrahedra	tétraèdres	tetrahedra	tétraedr	78
638	theta	thêta	theta	thêt	67
639	tiara	tiare	tiara	tiar	89
640	tibia	tibia	tibia	tibi	89
641	tikka	tikka	tikka	tikk	89
642	toccata	toccata	toccata	toccat	92
643	toga	toge	toga	tog	86
644	tombola	tombola	tombola	tombol	92
645	tonga	Tonga	tonga	tong	89
646	toxaemia	toxémie	toxaemia	toxem	77
647	trachea	trachée	trachea	trach	83
648	trauma	traumatisme	trauma	traumat	92
649	traumata	traumatisme	traumata	traumat	93
650	trivia	anecdotes	trivia	anecdot	15
651	troika	troïka	troika	troïk	73
652	tswana	tswana	tswana	tswan	91
653	tuatara	tuatara	tuatara	tuatar	92
654	tuba	tuba	tuba	tub	86
655	tugela	Tugela	tugela	tugel	91
656	tuna	Thon	tuna	thon	50
657	tundra	toundra	tundra	toundr	83
658	tunisia	Tunisie	tunisia	tunis	83
659	uganda	Ouganda	uganda	ougand	83
