	ENG_tion	FR_tion	eng_stem	fr_stem	ratio_similarity
67	amputation	amputation	amput	amput	100
68	animation	animation	anim	anim	100
69	annexation	annexion	annex	annexion	77
70	annihilation	annihilation	annihil	annihil	100
71	annotation	annotation	annot	annot	100
72	annunciation	Annonciation	annunci	annonci	86
73	anticipation	anticipation	anticip	anticip	100
74	apparition	apparition	apparit	apparit	100
75	appellation	appellation	appel	appel	100
76	application	application	applic	appliqu	77
78	apposition	apposition	apposit	apposit	100
79	appreciation	appréciation	appreci	appréci	86
80	approbation	approbation	approb	approb	100
81	appropriation	appropriation	appropri	appropri	100
82	approximation	approximation	approxim	approxim	100
83	arbitration	arbitrage	arbitr	arbitrag	86
84	argumentation	argumentation	argument	argument	100
85	articulation	articulation	articul	articul	100
87	asphyxiation	asphyxie	asphyxi	asphyx	92
88	aspiration	aspiration	aspir	aspir	100
89	assassination	assassinat	assassin	assassinat	89
92	assimilation	assimilation	assimil	assimil	100
93	association	association	associ	associ	100
95	atomisation	atomisation	atomis	atomis	100
96	attention	attention	attent	attent	100
97	attenuation	atténuation	attenu	atténu	83
98	attestation	attestation	attest	attest	100
99	attraction	attraction	attract	attract	100
100	attribution	attribution	attribut	attribu	93
103	audition	audition	audit	audit	100
104	augmentation	augmentation	augment	augment	100
105	authentication	authentification	authent	authentif	88
106	authorisation	autorisation	authoris	autoris	93
108	automation	automatisation	autom	automatis	71
109	autosuggestion	autosuggestion	autosuggest	autosuggest	100
110	aviation	aviation	aviat	aviat	100
111	bastardisation	bâtardiser	bastardis	bâtardis	82
112	bastion	bastion	bastion	bastion	100
113	beatification	béatification	beatif	béatif	83
114	benediction	bénédiction	benedict	bénédict	75
116	bifurcation	bifurcation	bifurc	bifurc	100
117	bowdlerisation	bowdlerisation	bowdleris	bowdleris	100
118	brutalisation	brutalisation	brutalis	brutalis	100
119	bureaucratisation	bureaucratisation	bureaucratis	bureaucratis	100
121	calcification	calcification	calcif	calcif	100
122	calculation	calcul	calcul	calcul	100
124	canalisation	canalisation	canalis	canalis	100
126	canonisation	canonisation	canonis	canonis	100
127	capitalisation	capitalisation	capitalis	capitalis	100
128	capitation	capitation	capit	capit	100
129	capitulation	capitulation	capitul	capitul	100
131	captivation	captivation	captiv	captiv	100
132	caricaturisation	caricaturisation	caricaturis	caricaturis	100
134	castration	castration	castrat	castrat	100
135	categorisation	catégorisation	categoris	catégoris	89
136	catheterisation	cathétérisme	catheteris	cathéter	78
137	cation	cation	cation	cation	100
138	causation	causalité	causat	causal	83
140	cavitation	cavitation	cavit	cavit	100
142	centralisation	centralisation	centralis	centralis	100
143	centrifugation	centrifugation	centrifug	centrifug	100
144	certification	certification	certif	certif	100
145	cessation	cessation	cessat	cessat	100
146	characterisation	caractérisation	characteris	caractéris	86
147	chlorination	chloration	chlorin	chlorat	71
148	circulation	circulation	circul	circul	100
150	circumnavigation	circumnavigation	circumnavig	circumnavig	100
151	circumspection	circonspection	circumspect	circonspect	82
153	citation	citation	citat	citat	100
154	civilisation	civilisation	civilis	civilis	100
155	clarification	clarification	clarif	clarif	100
156	classification	classification	classif	classif	100
157	coaction	coaction	coaction	coaction	100
158	coagulation	coagulation	coagul	coagul	100
159	coalition	coalition	coalit	coalit	100
160	codification	codification	codif	codif	100
162	cognition	cognition	cognit	cognit	100
163	cohabitation	cohabitation	cohabit	cohabit	100
164	collaboration	collaboration	collabor	collabor	100
165	collation	collation	collat	collat	100
166	collection	collection	collect	collect	100
167	collectivisation	collectivisation	collectivis	collectivis	100
168	collimation	collimation	collim	collim	100
169	collocation	collocation	colloc	colloc	100
170	colonisation	la colonisation	colonis	la colonis	82
171	colouration	coloration	colour	color	91
172	colourisation	coloration	colouris	color	77
173	combination	combinaison	combin	combinaison	71
174	combustion	la combustion	combust	la combust	82
175	commemoration	commémoration	commemor	commémor	88
176	commendation	recommandation	commend	recommand	75
177	commercialisation	commercialisation	commercialis	commercialis	100
178	commiseration	commisération	commiser	commiser	100
180	communication	la communication	commun	la commun	80
181	commutation	commutation	commut	commut	100
182	compaction	compactage	compact	compactag	88
183	compartmentalisation	compartimentalisation	compartmentalis	compartimentalis	97
184	compensation	compensation	compens	compens	100
186	compilation	compilation	compil	compil	100
188	complication	complication	complic	compliqu	80
189	composition	composition	composit	composit	100
194	concentration	concentration	concentr	concentr	100
195	conception	conception	concept	concept	100
196	conceptualisation	conceptualisation	conceptualis	conceptualis	100
197	conciliation	conciliation	concili	concili	100
199	condemnation	condamnation	condemn	condamn	86
200	condensation	condensation	condens	condens	100
202	conduction	conduction	conduct	conduct	100
203	confection	confection	confect	confect	100
204	confederation	confédération	confeder	conféder	88
205	configuration	configuration	configur	configur	100
206	confirmation	confirmation	confirm	confirm	100
207	confiscation	confiscation	confisc	confisc	100
210	conformation	conformation	conform	conform	100
212	congestion	congestion	congest	congest	100
213	conglomeration	agglomération	conglomer	agglomer	71
215	congregation	congrégation	congreg	congreg	100
216	conjugation	conjugaison	conjug	conjugaison	71
217	conjunction	conjonction	conjunct	conjonct	88
219	connotation	connotation	connot	connot	100
221	consecration	consécration	consecr	consecr	100
223	consideration	considération	consider	consider	100
224	consolation	consolation	consol	consol	100
225	consolidation	consolidation	consolid	consolid	100
226	constellation	constellation	constel	constel	100
227	consternation	consternation	constern	constern	100
228	constipation	constipation	constip	constip	100
229	constitution	Constitution	constitut	constitu	94
230	constriction	constriction	constrict	constrict	100
231	construction	construction	construct	construct	100
232	consultation	consultation	consult	consult	100
235	contamination	contamination	contamin	contamin	100
236	contemplation	contemplation	contempl	contempl	100
237	contention	contention	content	content	100
238	contextualisation	contextualisation	contextualis	contextualis	100
239	continuation	continuation	continu	continu	100
240	contortion	contorsion	contort	contors	86
241	contraception	la contraception	contracept	la contracept	87
242	contraction	contraction	contract	contract	100
243	contradiction	contradiction	contradict	contradict	100
244	contradistinction	contradiction	contradistinct	contradict	83
245	contraindication	contre-indication	contraind	contre-ind	84
248	contribution	contribution	contribut	contribu	94
249	contrition	contrition	contrit	contrit	100
251	convection	convection	convect	convect	100
252	convention	convention	convent	convent	100
253	conversation	conversation	convers	convers	100
254	conviction	conviction	convict	convict	100
255	convocation	convocation	convoc	convoc	100
256	convolution	convolution	convolut	convolu	93
257	cooperation	la coopération	cooper	la cooper	80
258	coordination	coordination	coordin	coordin	100
259	copulation	copulation	copul	copul	100
260	coronation	couronnement	coron	couron	91
262	correction	correction	correct	correct	100
263	correlation	corrélation	correl	correl	100
264	corroboration	corroboration	corrobor	corrobor	100
265	corruption	la corruption	corrupt	la corrupt	82
266	counterrevolution	contre-révolution	counterrevolut	contre-révolu	74
267	creation	création	creation	création	88
269	crenellation	crénelage	crenel	crénelag	71
270	criminalisation	criminalisation	criminalis	criminalis	100
274	crystallisation	cristallisation	crystallis	cristallis	90
275	culmination	culmination	culmin	culmin	100
276	cultivation	cultivation	cultiv	cultiv	100
278	damnation	damnation	damnat	damnat	100
279	deactivation	désactivation	deactiv	désactiv	80
280	decapitation	décapitation	decapit	décapit	86
282	decentralisation	décentralisation	decentralis	décentralis	91
284	decimalisation	décimalisation	decimalis	décimalis	89
285	decimation	décimation	decim	décim	80
286	declamation	déclamation	declam	déclam	83
287	declaration	déclaration	declar	déclar	83
288	declassification	déclassification	declassif	déclassif	89
290	decolonisation	décolonisation	decolonis	décolonis	89
291	decomposition	décomposition	decomposit	décomposit	90
292	deconstruction	déconstruction	deconstruct	déconstruct	91
293	decontamination	décontamination	decontamin	décontamin	90
294	deconvolution	déconvolution	deconvolut	déconvolu	84
295	decoration	décoration	decor	décor	80
296	decriminalisation	décriminalisation	decriminalis	décriminalis	92
297	decryption	décryptage	decrypt	décryptag	75
299	deduction	déduction	deduct	déduct	83
300	defamation	diffamation	defam	diffam	73
301	defection	défection	defect	défect	83
302	defenestration	défenestration	defenestr	défenestr	89
303	definition	définition	definit	définit	86
304	deflation	déflation	deflat	déflat	83
306	defoliation	défoliation	defoli	défoli	83
307	deforestation	la déforestation	deforest	la déforest	74
308	deformation	déformation	deform	déform	83
309	defragmentation	défragmentation	defragment	défragment	90
311	degradation	dégradation	degrad	dégrad	83
315	delectation	délectation	delect	délect	83
316	delegation	délégation	deleg	déleg	80
318	deliberation	délibération	deliber	déliber	86
320	demagnetisation	démagnétisation	demagnetis	démagnétis	80
321	demarcation	démarcation	demarc	démarc	83
322	demilitarisation	démilitarisation	demilitaris	démilitaris	91
323	demobilisation	démobilisation	demobilis	démobilis	89
324	democratisation	démocratisation	democratis	démocratis	90
325	demolition	démolition	demolit	démolit	86
327	demoralisation	démoralisation	demoralis	démoralis	89
329	demystification	démystification	demystif	démystif	88
330	denationalisation	dénationalisation	denationalis	dénationalis	92
331	denigration	dénigrement	denigr	dénigr	83
332	denomination	dénomination	denomin	dénomin	86
333	denotation	dénotation	denot	dénot	80
334	dentition	dentition	dentit	dentit	100
335	denudation	dénudation	denud	dénud	80
336	denunciation	dénonciation	denunci	dénonci	71
337	depersonalisation	dépersonnalisation	depersonalis	dépersonnalis	88
340	depolarisation	dépolarisation	depolaris	dépolaris	89
341	depoliticisation	dépolitisation	depoliticis	dépolitis	80
343	deportation	déportation	deport	déport	83
344	deposition	déposition	deposit	déposit	86
346	depreciation	dépréciation	depreci	dépréci	71
347	depredation	déprédation	depred	dépred	83
349	deputation	députation	deput	déput	80
352	derivation	dérivation	deriv	dériv	80
353	derogation	dérogation	derog	dérog	80
354	desalination	dessalement	desalin	dessal	77
355	description	la description	descript	la descript	84
357	desegregation	déségrégation	desegreg	déségreg	75
358	desertification	désertification	desertif	désertif	88
359	desertion	désertion	desert	désert	83
360	desiccation	dessiccation	desicc	dessicc	92
362	desolation	désolation	desol	désol	80
363	desorption	désorption	desorpt	désorpt	86
365	dessication	dessiccation	dessic	dessicc	92
366	destabilisation	déstabilisation	destabilis	déstabilis	90
367	destination	destination	destin	destin	100
369	destruction	destruction	destruct	destruct	100
370	detection	détection	detect	détect	83
372	deterioration	détérioration	deterior	détérior	75
373	determination	détermination	determin	détermin	88
375	detonation	détonation	deton	déton	80
377	detraction	détraction	detract	détract	86
378	devaluation	dévaluation	devalu	dévalu	83
379	devastation	dévastation	devast	dévast	83
380	deviation	déviation	deviat	déviat	83
381	devolution	dévolution	devolut	dévolu	77
383	dictation	Dictation	dictat	dictat	100
384	diction	diction	diction	diction	100
385	differentiation	différenciation	differenti	différenci	80
386	diffraction	diffraction	diffract	diffract	100
387	digestion	digestion	digest	digest	100
390	dilatation	dilatation	dilat	dilat	100
391	dilation	dilatation	dilat	dilat	100
392	dilution	dilution	dilut	dilut	100
393	diminution	diminution	diminut	diminu	92
394	direction	direction	direct	direct	100
395	disaffection	désaffection	disaffect	désaffect	89
396	disaffiliation	désaffiliation	disaffili	désaffili	89
397	disaggregation	désagrégation	disaggreg	désagreg	82
399	disapprobation	désapprobation	disapprob	désapprob	89
400	disassociation	dissociation	disassoci	dissoci	88
401	discolouration	décoloration	discolour	décolor	75
403	disconsolation	disconsolation	disconsol	disconsol	100
405	discretion	discrétion	discret	discret	100
406	discrimination	la discrimination	discrimin	la discrimin	86
409	disinfection	désinfection	disinfect	désinfect	89
410	disinformation	désinformation	disinform	désinform	89
411	disintegration	désintégration	disintegr	désintegr	89
412	disjunction	disjonction	disjunct	disjonct	88
413	dislocation	dislocation	disloc	disloc	100
414	disorganisation	désorganisation	disorganis	désorganis	90
415	disorientation	désorientation	disorient	désorient	89
416	dispensation	dispense	dispens	dispens	100
417	disposition	disposition	disposit	disposit	100
418	disputation	dispute	disput	disput	100
419	disqualification	disqualification	disqualif	disqualif	100
422	dissatisfaction	insatisfaction	dissatisfact	insatisfact	87
423	dissection	dissection	dissect	dissect	100
424	dissemination	dissémination	dissemin	dissémin	88
426	dissimulation	dissimulation	dissimul	dissimul	100
427	dissipation	dissipation	dissip	dissip	100
428	dissociation	dissociation	dissoci	dissoci	100
429	dissolution	dissolution	dissolut	dissolu	93
430	distillation	distillation	distil	distill	92
431	distinction	distinction	distinct	distinct	100
432	distortion	Distorsion	distort	distors	86
433	distraction	distraction	distract	distract	100
434	distribution	Distribution	distribut	distribu	94
435	diversification	diversification	diversif	diversif	100
436	divination	divination	divin	divin	100
437	documentation	Documentation	document	document	100
438	domestication	domestication	domest	domest	100
439	domination	domination	domin	domin	100
440	donation	don	donat	don	75
441	dramatisation	dramatisation	dramatis	dramatis	100
443	duration	durée	durat	dur	75
444	dysfunction	dysfonctionnement	dysfunct	dysfonction	74
445	economisation	économisation	economis	économis	88
446	edification	édification	edif	édif	75
447	edition	édition	edit	édit	75
448	education	éducation	educ	éduc	75
451	ejection	éjection	eject	éject	80
452	elaboration	élaboration	elabor	élabor	83
454	election	élection	elect	élect	80
455	electrification	électrification	electrif	électrif	88
456	electrocution	électrocution	electrocut	électrocu	84
457	elevation	élévation	elev	élev	75
458	elicitation	élicitation	elicit	élicit	83
459	elimination	élimination	elimin	élimin	83
460	elocution	élocution	elocut	élocu	73
461	elongation	élongation	elong	élong	80
462	elucidation	élucidation	elucid	élucid	83
463	elution	élution	elut	élut	75
464	emaciation	émaciation	emaci	émaci	80
465	emanation	émanation	eman	éman	75
466	emancipation	émancipation	emancip	émancip	86
467	emasculation	émasculation	emascul	émascul	86
468	embarkation	embarquement	embark	embarqu	77
469	embrocation	embrocation	embroc	embroc	100
471	emigration	émigration	emigr	émigr	80
472	emotion	émotion	emot	émot	75
473	emulation	émulation	emul	émul	75
474	encapsulation	encapsulation	encapsul	encapsul	100
475	encrustation	incrustation	encrust	incrust	86
477	enumeration	énumération	enumer	énumer	83
480	equation	équation	equat	équat	80
481	equilibration	équilibration	equilibr	équilibr	88
482	equipartition	équipartition	equipartit	équipartit	90
484	eradication	éradication	erad	érad	75
485	erection	érection	erect	érect	80
486	erudition	érudition	erudit	érudit	83
487	eruption	éruption	erupt	érupt	80
488	escalation	escalade	escal	escalad	83
489	estimation	estimation	estim	estim	100
490	evacuation	évacuation	evacu	évacu	80
491	evaluation	évaluation	evalu	évalu	80
492	evangelisation	évangélisation	evangelis	évangélis	78
493	evaporation	évaporation	evapor	évapor	83
495	evocation	évocation	evoc	évoc	75
496	evolution	évolution	evolut	évolu	73
497	exacerbation	exacerbation	exacerb	exacerb	100
498	exaction	exaction	exact	exact	100
499	exaggeration	exagération	exagger	exager	92
500	exaltation	exaltation	exalt	exalt	100
501	examination	examen	examin	examen	83
502	exasperation	exaspération	exasper	exasper	100
504	exception	exception	except	except	100
505	excitation	excitation	excit	excit	100
506	exclamation	exclamation	exclam	exclam	100
507	excommunication	excommunication	excommun	excommun	100
508	excruciation	excruciation	excruci	excruci	100
509	execution	exécution	execut	exécu	73
510	exemplification	exemplification	exemplif	exemplif	100
511	exemption	exemption	exempt	exempt	100
513	exfoliation	exfoliation	exfoli	exfoli	100
514	exhalation	exhalation	exhal	exhal	100
518	exhortation	exhortation	exhort	exhort	100
519	exhumation	exhumation	exhum	exhum	100
520	exoneration	exonération	exoner	exoner	100
522	expectoration	expectoration	expector	expector	100
523	expedition	expédition	expedit	expédit	86
524	experimentation	expérimentation	experiment	expériment	90
525	expiation	expiation	expiat	expiat	100
526	expiration	expiration	expir	expir	100
528	explication	explication	explic	expliqu	77
529	exploitation	exploitation	exploit	exploit	100
530	exploration	exploration	explor	explor	100
531	exponentiation	exponentiation	exponenti	exponenti	100
532	exposition	exposition	exposit	exposit	100
533	expostulation	expostulation	expostul	expostul	100
534	expropriation	expropriation	expropri	expropri	100
536	extermination	extermination	extermin	extermin	100
537	extinction	extinction	extinct	extinct	100
538	extirpation	extirpation	extirp	extirp	100
539	extortion	extorsion	extort	extors	83
540	extraction	extraction	extract	extract	100
541	extradition	extradition	extradit	extradit	100
542	extrapolation	extrapolation	extrapol	extrapol	100
544	exultation	exultation	exult	exult	100
545	fabrication	fabrication	fabric	fabriqu	77
546	facilitation	facilitation	facilit	facilit	100
547	faction	faction	faction	faction	100
548	factorisation	factorisation	factoris	factoris	100
549	falsification	falsification	falsif	falsif	100
550	familiarisation	familiarisation	familiaris	familiaris	100
551	fascination	fascination	fascin	fascin	100
552	federation	fédération	feder	féder	80
553	felicitation	félicitations	felicit	félicit	86
554	fermentation	fermentation	ferment	ferment	100
555	fertilisation	fertilisation	fertilis	fertilis	100
556	fibrillation	fibrillation	fibril	fibrill	92
557	fiction	fiction	fiction	fiction	100
558	figuration	figuration	figur	figur	100
559	filtration	filtration	filtrat	filtrat	100
560	finalisation	finalisation	finalis	finalis	100
561	fixation	fixation	fixat	fixat	100
562	flagellation	flagellation	flagel	flagel	100
563	flirtation	flirtation	flirtat	flirtat	100
564	flotation	flottation	flotat	flottat	92
565	fluctuation	fluctuation	fluctuat	fluctuat	100
566	fluoridation	fluoration	fluorid	fluorat	71
567	formalisation	formalisation	formalis	formalis	100
568	formation	formation	format	format	100
569	formulation	formulation	formul	formul	100
570	fornication	fornication	fornic	forniqu	77
571	fortification	fortification	fortif	fortif	100
572	foundation	fondation	foundat	fondat	92
573	fraction	fraction	fraction	fraction	100
574	fractionation	fractionnement	fraction	fraction	100
575	fragmentation	fragmentation	fragment	fragment	100
576	friction	friction	friction	friction	100
578	frustration	frustration	frustrat	frustrat	100
579	fulmination	fulmination	fulmin	fulmin	100
580	fumigation	fumigation	fumig	fumig	100
581	function	fonction	function	fonction	88
582	generalisation	généralisation	generalis	généralis	78
583	generation	génération	gener	géner	80
584	gentrification	gentrification	gentrif	gentrif	100
585	germination	germination	germin	germin	100
586	gestation	gestation	gestat	gestat	100
587	gesticulation	gesticulation	gesticul	gesticul	100
588	glaciation	glaciation	glaciat	glaciat	100
589	globalisation	globalisation	globalis	globalis	100
590	glorification	glorification	glorif	glorif	100
591	gradation	gradation	gradat	gradat	100
593	granulation	granulation	granul	granul	100
594	gratification	gratification	gratif	gratif	100
595	gravitation	gravitation	gravit	gravit	100
596	gyration	giration	gyrat	girat	80
597	habitation	habitation	habit	habit	100
599	hallucination	hallucination	hallucin	hallucin	100
600	harmonisation	harmonisation	harmonis	harmonis	100
601	hesitation	hésitation	hesit	hésit	80
602	hibernation	hibernation	hibern	hibern	100
603	homogenisation	homogénéisation	homogenis	homogénéis	84
604	hospitalisation	hospitalisation	hospitalis	hospitalis	100
605	humiliation	humiliation	humili	humili	100
606	hybridisation	hybridation	hybridis	hybrid	86
607	hydration	l'hydratation	hydrat	l'hydrat	86
608	hydrogenation	hydrogénation	hydrogen	hydrogen	100
609	hyperinflation	hyperinflation	hyperinfl	hyperinfl	100
610	hyperventilation	hyperventilation	hyperventil	hyperventil	100
612	idealisation	idéalisation	idealis	idéalis	86
613	identification	identification	identif	identif	100
614	idolisation	idolisation	idolis	idolis	100
617	illustration	illustration	illustr	illustr	100
618	imagination	imagination	imagin	imagin	100
619	imitation	imitation	imit	imit	100
620	immigration	immigration	immigr	immigr	100
621	immobilisation	immobilisation	immobilis	immobilis	100
622	immolation	immolation	immol	immol	100
623	immunisation	immunisation	immunis	immunis	100
624	impaction	impaction	impact	impact	100
625	imperfection	imperfection	imperfect	imperfect	100
627	implantation	implantation	implant	implant	100
629	implication	implication	implic	impliqu	77
630	importation	importation	import	import	100
631	imposition	imposition	imposit	imposit	100
632	imprecation	imprécation	imprec	imprec	100
633	impregnation	imprégnation	impregn	impregn	100
634	improvisation	improvisation	improvis	improvis	100
635	imputation	imputation	imput	imput	100
636	inaction	inaction	inact	inact	100
637	inactivation	inactivation	inactiv	inactiv	100
638	inattention	inattention	inattent	inattent	100
639	inauguration	inauguration	inaugur	inaugur	100
640	incantation	incantation	incant	incant	100
641	incapacitation	incapacité	incapacit	incapac	88
642	incarceration	incarcération	incarcer	incarcer	100
643	incarnation	incarnation	incarn	incarn	100
645	incineration	incinération	inciner	inciner	100
646	inclination	inclination	inclin	inclin	100
647	incorporation	incorporation	incorpor	incorpor	100
648	incrementation	incrémentation	increment	incrément	89
649	incrimination	incrimination	incrimin	incrimin	100
650	incubation	incubation	incub	incub	100
651	inculcation	inculcation	inculc	inculc	100
653	indexation	indexation	index	index	100
654	indication	indication	indic	indiqu	73
655	indigestion	indigestion	indigest	indigest	100
656	indignation	indignation	indign	indign	100
657	indirection	indirection	indirect	indirect	100
658	indiscretion	indiscrétion	indiscret	indiscret	100
659	indisposition	indisposition	indisposit	indisposit	100
660	individuation	individualisation	individu	individualis	80
661	indoctrination	endoctrinement	indoctrin	endoctrin	89
662	induction	induction	induct	induct	100
663	industrialisation	industrialisation	industrialis	industrialis	100
665	infarction	infarctus	infarct	infarctus	88
667	infection	infection	infect	infect	100
668	infestation	infestation	infest	infest	100
669	infiltration	infiltration	infiltr	infiltr	100
670	inflammation	inflammation	inflamm	inflamm	100
671	inflation	inflation	inflat	inflat	100
673	infliction	affliction	inflict	afflict	71
674	information	informations	inform	inform	100
675	infraction	infraction	infract	infract	100
676	ingestion	ingestion	ingest	ingest	100
677	inhalation	inhalation	inhal	inhal	100
678	inhibition	inhibition	inhibit	inhibit	100
679	initialisation	initialisation	initialis	initialis	100
680	initiation	initiation	initi	initi	100
681	injection	injection	inject	inject	100
682	injunction	injonction	injunct	injonct	86
683	innervation	innervation	innerv	innerv	100
684	innovation	innovation	innov	innov	100
685	inoculation	inoculation	inocul	inocul	100
686	inquisition	inquisition	inquisit	inquisit	100
687	inscription	une inscription	inscript	une inscript	80
688	insemination	insémination	insemin	insémin	86
689	insertion	insertion	insert	insert	100
690	insinuation	insinuation	insinu	insinu	100
691	inspection	inspection	inspect	inspect	100
692	inspiration	inspiration	inspir	inspir	100
693	installation	installation	instal	install	92
694	instantiation	instanciation	instanti	instanci	88
695	instigation	instigation	instig	instig	100
696	instillation	instillation	instil	instill	92
697	institution	institution	institut	institu	93
698	institutionalisation	institutionnalisation	institutionalis	institutionnalis	97
699	instruction	instruction	instruct	instruct	100
700	instrumentation	instrumentation	instrument	instrument	100
701	insubordination	insubordination	insubordin	insubordin	100
703	insurrection	insurrection	insurrect	insurrect	100
704	integration	l'intégration	integr	l'integr	86
705	intensification	intensification	intensif	intensif	100
706	intention	intention	intent	intent	100
707	interaction	interaction	interact	interact	100
708	interception	interception	intercept	intercept	100
709	intercommunication	intercommunication	intercommun	intercommun	100
710	interconnection	interconnexion	interconnect	interconnexion	77
711	interjection	interjection	interject	interject	100
712	internalisation	internalisation	internalis	internalis	100
713	internationalisation	internationalisation	internationalis	internationalis	100
714	interpellation	interpellation	interpel	interpel	100
715	interpenetration	interpénétration	interpenetr	interpénetr	91
716	interpolation	interpolation	interpol	interpol	100
717	interposition	interposition	interposit	interposit	100
718	interpretation	interprétation	interpret	interpret	100
719	interrelation	interrelation	interrel	interrel	100
720	interrogation	interrogatoire	interrog	interrogatoir	76
721	interruption	interruption	interrupt	interrupt	100
722	intersection	intersection	intersect	intersect	100
723	intervention	intervention	intervent	intervent	100
724	intimation	intimation	intim	intim	100
725	intimidation	intimidation	intimid	intimid	100
726	intonation	intonation	inton	inton	100
727	intoxication	intoxication	intox	intox	100
728	introduction	introduction	introduct	introduct	100
729	introspection	introspection	introspect	introspect	100
730	intuition	intuition	intuit	intuit	100
731	inundation	inondation	inund	inond	80
733	invention	invention	invent	invent	100
735	invitation	invitation	invit	invit	100
736	invocation	invocation	invoc	invoc	100
737	involution	involution	involut	involu	92
738	ionisation	ionisation	ionis	ionis	100
739	irradiation	irradiation	irradi	irradi	100
740	irresolution	irrésolution	irresolut	irrésolu	82
741	irrigation	irrigation	irrig	irrig	100
742	irritation	irritation	irrit	irrit	100
743	irruption	irruption	irrupt	irrupt	100
744	isolation	isolement	isol	isol	100
746	iteration	itération	iter	iter	100
747	jubilation	jubilation	jubil	jubil	100
748	junction	jonction	junction	jonction	88
749	jurisdiction	juridiction	jurisdict	juridict	94
750	justification	justification	justif	justif	100
751	juxtaposition	juxtaposition	juxtaposit	juxtaposit	100
752	laceration	lacération	lacer	lacer	100
753	lactation	lactation	lactat	lactat	100
754	lamentation	lamentation	lament	lament	100
755	lamination	laminage	lamin	laminag	83
756	lateralisation	latéralisation	lateralis	latéralis	89
757	legalisation	légalisation	legalis	légalis	86
758	legation	légation	legat	légat	80
759	legislation	législation	legisl	législ	83
760	legitimation	légitimation	legitim	légitim	86
761	legitimisation	légitimation	legitimis	légitim	75
762	levitation	lévitation	levit	lévit	80
763	libation	libation	libat	libat	100
764	liberalisation	libéralisation	liberalis	libéralis	89
765	liberation	libération	liber	liber	100
766	limitation	limitation	limit	limit	100
767	liquefaction	liquéfaction	liquefact	liquéfact	89
768	liquidation	liquidation	liquid	liquid	100
769	litigation	litige	litig	litig	100
770	localisation	localisation	localis	localis	100
772	locomotion	locomotion	locomot	locomot	100
773	lotion	lotion	lotion	lotion	100
774	lubrication	lubrification	lubric	lubrif	83
775	machination	machination	machin	machin	100
778	maladministration	mauvaise administration	maladministr	mauvaise administr	73
779	malefaction	malfaction	malefact	malfact	93
780	malformation	malformation	malform	malform	100
782	malnutrition	malnutrition	malnutrit	malnutrit	100
783	manifestation	manifestation	manifest	manifest	100
784	manipulation	manipulation	manipul	manipul	100
785	marginalisation	marginalisation	marginalis	marginalis	100
786	mastication	mastication	mastic	mastiqu	77
787	materialisation	matérialisation	materialis	matérialis	90
788	matriculation	immatriculation	matricul	immatricul	89
789	maturation	maturation	matur	matur	100
790	maximisation	maximisation	maximis	maximis	100
791	mechanisation	mécanisation	mechanis	mécanis	80
794	meditation	méditation	medit	médit	80
