	ENG_t	FR_t	eng_stem	fr_stem	ratio_similarity
124	amethyst	améthyste	amethyst	améthyst	88
125	amidst	au milieu de	amidst	au milieu d	47
126	amongst	parmi	amongst	parm	36
127	amorist	amoriste	amorist	amor	73
128	amount	quantité	amount	quantit	46
129	amulet	amulette	amulet	amulet	100
130	amusement	amusement	amus	amus	100
131	anaesthetist	anesthésiste	anaesthetist	anesthes	80
132	analyst	analyste	analyst	analyst	100
133	anarchist	anarchiste	anarchist	anarch	80
134	anatomist	anatomiste	anatomist	anatom	80
135	ancient	ancien	ancient	ancien	92
136	angriest	le plus en colère	angriest	le plus en coler	17
137	angst	angoisse	angst	angoiss	67
138	animist	animiste	animist	anim	73
139	anklet	Bracelet de cheville	anklet	bracelet de chevill	32
140	announcement	annonce	announc	annonc	92
141	annulment	annulation	annul	annul	100
142	anoint	oindre	anoint	oindr	55
143	ant	fourmi	ant	fourm	0
144	antagonist	antagoniste	antagonist	antagon	82
145	antecedent	antécédent	anteced	antécédent	47
146	anthropologist	anthropologiste	anthropologist	anthropolog	88
147	antiaircraft	antiaérien	antiaircraft	antiaérien	55
148	antidepressant	antidépresseur	antidepress	antidépresseur	80
149	antitrust	antitrust	antitrust	antitrust	100
150	aorist	aoriste	aorist	aorist	100
151	apart	une part	apart	une part	62
152	apartment	appartement	apart	appart	91
153	aphorist	aphoriste	aphorist	aphor	77
154	apiarist	apiculteur	apiarist	apiculteur	44
155	apologist	apologiste	apologist	apolog	80
156	apparent	apparent	appar	apparent	77
157	appeasement	apaisement	appeas	apais	73
158	appellant	appelant	appel	appel	100
159	applecart	panier de pommes	applecart	panier de pomm	17
160	applet	applet	applet	applet	100
161	applicant	demandeur	applic	demandeur	13
162	appoint	nommer	appoint	nomm	18
163	appointment	rendez-vous	appoint	rendez-vous	11
164	apportionment	répartition	apportion	répartit	47
165	apricot	abricot	apricot	abricot	86
166	apt	apte	apt	apte	86
167	aptest	le plus apte	aptest	le plus apt	35
168	aquanaut	aquanaute	aquanaut	aquanaut	100
169	aqueduct	aqueduc	aqueduct	aqueduc	93
170	ararat	Ararat	ararat	ararat	100
171	archaeologist	archéologue	archaeologist	archéologu	70
172	architect	architecte	architect	architect	100
173	archivist	archiviste	archivist	archiv	80
174	ardent	ardent	ardent	ardent	100
175	arent	arent	arent	arent	100
176	argent	argent	argent	argent	100
177	argot	argot	argot	argot	100
178	argument	argument	argument	argument	100
179	aright	un droit	aright	un droit	43
180	aristocrat	aristocrate	aristocrat	aristocrat	100
181	armament	armement	armament	armement	88
182	armlet	brassard	armlet	brassard	29
183	armpit	aisselle	armpit	aissel	33
184	armrest	accoudoir	armrest	accoudoir	25
185	aromatherapist	aromathérapeute	aromatherapist	aromathérapeut	79
186	arrangement	arrangement	arrang	arrang	100
187	arrant	fieffé	arrant	fieff	0
188	arrest	arrêter	arrest	arrêt	73
189	arrogant	arrogant	arrog	arrog	100
190	arrowroot	marante	arrowroot	mar	33
191	arsonist	pyromane	arsonist	pyroman	27
192	art	art	art	art	100
193	artefact	artefact	artefact	artefact	100
194	artist	artiste	artist	artist	100
195	ascendant	ascendant	ascend	ascend	100
196	ascent	ascension	ascent	ascens	83
197	ascertainment	constatation	ascertain	constat	38
198	aslant	en biais	aslant	en bi	18
199	aspect	aspect	aspect	aspect	100
200	asphalt	asphalte	asphalt	asphalt	100
201	aspirant	aspirant	aspir	aspir	100
202	assailant	agresseur	assail	agresseur	40
203	assault	agression	assault	agress	46
204	assent	assentiment	assent	assent	100
205	assert	affirmer	assert	affirm	33
206	assessment	évaluation	assess	évalu	18
207	asset	actif	asset	actif	40
208	assignment	mission	assign	mission	62
209	assist	aider	assist	aid	44
210	assistant	assistant	assist	assist	100
211	assort	assortir	assort	assort	100
212	assortment	assortiment	assort	assort	100
213	astonishment	étonnement	astonish	éton	50
214	astringent	astringent	astring	astringent	82
215	astronaut	astronaute	astronaut	astronaut	100
216	astrophysicist	astrophysicien	astrophysicist	astrophysicien	86
217	at	à	at	à	0
218	atheist	athée	atheist	athé	55
219	atonement	expiation	aton	expiat	40
220	attachment	attachement	attach	attach	100
221	attainment	réalisation	attain	réalis	33
222	attempt	tenter	attempt	tent	55
223	attendant	préposé	attend	prépos	0
224	attest	attester	attest	attest	100
225	attract	attirer	attract	attir	67
226	audit	Audit	audit	audit	100
227	augment	augmenter	augment	augment	100
228	august	août	august	août	40
229	aunt	tante	aunt	tant	75
230	autocrat	autocrate	autocrat	autocrat	100
231	automat	automate	automat	automat	100
232	autopilot	pilote automatique	autopilot	pilote automat	43
233	avert	éviter	avert	évit	44
234	await	attendre	await	attendr	33
235	awkwardest	le plus maladroit	awkwardest	le plus maladroit	30
236	babysit	garder les enfants	babysit	garder les enf	19
237	baccarat	baccarat	baccarat	baccarat	100
238	backchat	impertinence	backchat	impertinent	11
239	backlight	rétroéclairage	backlight	rétroéclairag	27
240	backlit	rétroéclairé	backlit	rétroéclair	22
241	backrest	dossier	backrest	dossi	15
242	backseat	banquette arrière	backseat	banquette arri	36
243	backstreet	ruelle	backstreet	ruel	29
244	bacteriologist	bactériologiste	bacteriologist	bactériolog	80
245	bafflement	perplexité	bafflement	perplex	24
246	baggiest	le plus baggy	baggiest	le plus baggy	38
247	bailout	renflouement	bailout	renflou	43
248	bait	appât	bait	appât	44
249	baldest	le plus chauve	baldest	le plus chauv	10
250	ballast	ballast	ballast	ballast	100
251	ballet	ballet	ballet	ballet	100
252	balloonist	aéronaute	balloonist	aéronaut	44
253	ballot	scrutin	ballot	scrutin	15
254	ballpoint	à bille	ballpoint	à bill	40
255	balmiest	balmiest	balmiest	balmiest	100
256	bandiest	bandiest	bandiest	bandiest	100
257	bandit	bandit	bandit	band	80
258	banishment	bannissement	banish	bann	60
259	bankrupt	faillite	bankrupt	faillit	27
260	banquet	banquet	banquet	banquet	100
261	bantamweight	poids coq	bantamweight	poids coq	10
262	baptist	baptiste	baptist	baptist	100
263	barefoot	pieds nus	barefoot	pieds nus	12
264	barest	le plus nu	barest	le plus nu	25
265	baronet	baronnet	baronet	baronnet	93
266	bart	bart	bart	bart	100
267	basalt	basalte	basalt	basalt	100
268	basement	sous-sol	basement	sous-sol	12
269	basest	le plus bas	basest	le plus b	13
270	basket	panier	basket	pani	20
271	bassist	bassiste	bassist	bassist	100
272	bat	chauve souris	bat	chauve sour	14
273	bathurst	Bathurst	bathurst	bathurst	100
274	battlement	rempart	battlement	rempart	35
275	bawdiest	le plus débile	bawdiest	le plus débil	19
276	bayonet	baïonnette	bayonet	baïonnet	80
277	beadiest	le plus perlé	beadiest	le plus perl	20
278	beast	la bête	beast	la bêt	36
279	beastliest	le plus bestial	beastliest	le plus bestial	32
280	beat	battre	beat	battr	67
281	bedevilment	malaise	bedevil	malais	15
282	bedpost	poteau de lit	bedpost	poteau de l	33
283	bedsit	studio	bedsit	studio	33
284	beechnut	beechnut	beechnut	beechnut	100
285	beefiest	le plus costaud	beefiest	le plus costaud	26
286	beermat	tapis de bière	beermat	tapis de bi	11
287	beet	betterave	beet	betterav	50
288	beetroot	betterave	beetroot	betterav	50
289	befit	convenir	befit	conven	18
290	begat	engendrer	begat	engendr	33
291	beget	engendrer	beget	engendr	50
292	begot	engendré	begot	engendr	33
293	beguilement	pillage	beguil	pillag	33
294	behaviourist	comportementaliste	behaviourist	comportemental	15
295	behest	ordre	behest	ordre	18
296	beirut	Beyrouth	beirut	beyrouth	71
297	belfast	Belfast	belfast	belfast	100
298	belligerent	belligérant	belliger	belliger	100
299	belt	courroie	belt	courroi	0
300	bemusement	perplexité	bemus	perplex	17
301	beneficent	bienfaisant	benefic	bienfais	67
302	benefit	avantage	benefit	avantag	29
303	benevolent	bienveillant	benevol	bienveil	67
304	bent	courbé	bent	courb	22
305	bequest	legs	bequest	leg	20
306	bereavement	deuil	bereav	deuil	18
307	bereft	privé	bereft	priv	20
308	beret	béret	beret	béret	80
309	beset	assailli	beset	assaill	17
310	besot	abrutir	besot	abrut	40
311	best	meilleur	best	meilleur	17
312	bet	pari	bet	pari	0
313	betterment	amélioration	better	amélior	15
314	betwixt	entre	betwixt	entre	33
315	bewilderment	perplexité	bewilder	perplex	27
316	bidet	bidet	bidet	bidet	100
317	bigamist	bigame	bigamist	bigam	77
318	biggest	le plus grand	biggest	le plus grand	10
319	bigot	bigot	bigot	bigot	100
320	billet	billet	billet	billet	100
321	biochemist	biochimiste	biochemist	biochim	71
322	biologist	biologiste	biologist	biolog	80
323	biotechnologist	biotechnologiste	biotechnologist	biotechnolog	89
324	birefringent	biréfringent	birefring	biréfringent	76
325	birthright	droit de naissance	birthright	droit de naiss	25
326	biscuit	biscuit	biscuit	biscuit	100
327	bisect	couper en deux	bisect	couper en d	12
328	bit	bit	bit	bit	100
329	bitterest	le plus amer	bitterest	le plus am	21
330	bittersweet	doux-amer	bittersweet	doux-am	0
331	blackcurrant	cassis	blackcurr	cass	15
332	blackest	le plus noir	blackest	le plus noir	30
333	blacklist	liste noire	blacklist	liste noir	42
334	blackout	coupure électrique	blackout	coupure électr	36
335	blandest	le plus fade	blandest	le plus fad	32
336	blanket	couverture	blanket	couvertur	25
337	blast	détruire	blast	détruir	17
338	blat	blat	blat	blat	100
339	blatant	flagrant	blatant	flagr	33
340	bleakest	le plus sombre	bleakest	le plus sombr	29
341	bleat	bêler	bleat	bêl	50
342	blight	flétrissement	blight	fletr	36
343	blindest	le plus aveugle	blindest	le plus aveugl	27
344	bloat	gonfler	bloat	gonfl	20
345	blondest	le plus blond	blondest	le plus blond	48
346	bloodiest	le plus sanglant	bloodiest	le plus sangl	27
347	bloodlust	soif de sang	bloodlust	soif de sang	29
348	bloodshot	injecté de sang	bloodshot	injecté de sang	17
349	bloodsport	sport de sang	bloodsport	sport de sang	43
350	bloodthirstiest	le plus sanguinaire	bloodthirstiest	le plus sanguinair	18
351	blot	tache	blot	tach	25
352	blueprint	plan	blueprint	plan	31
353	bluest	le plus bleu	bluest	le plus bleu	33
354	blunt	cru	blunt	cru	25
355	bluntest	le plus brutal	bluntest	le plus brutal	27
356	blurt	lâcher	blurt	lâch	22
357	boast	se vanter	boast	se vant	33
358	boat	bateau	boat	bateau	60
359	bobcat	lynx	bobcat	lynx	0
360	boggiest	le plus épouvantable	boggiest	le plus épouvant	17
361	boldest	le plus audacieux	boldest	le plus audaci	19
362	bolt	verrouiller	bolt	verrouill	31
363	bombardment	bombardement	bombard	bombard	100
364	bombast	grandiloquence	bombast	grandiloquent	20
365	boniest	le plus bon	boniest	le plus bon	33
366	bonnet	bonnet	bonnet	bonnet	100
367	bonniest	le plus beau	bonniest	le plus beau	20
368	booklet	brochure	booklet	brochur	29
369	boost	renforcer	boost	renforc	17
370	boot	démarrage	boot	démarrag	0
371	bossiest	le plus autoritaire	bossiest	le plus autoritair	23
372	botanist	botaniste	botanist	botan	77
373	bottommost	le plus bas	bottommost	le plus b	11
374	bouffant	bouffant	bouffant	bouff	77
375	bought	acheté	bought	achet	36
376	bounciest	rebondir	bounciest	rebond	40
377	bouquet	bouquet	bouquet	bouquet	100
378	bout	combat	bout	combat	40
379	bowsprit	beaupré	bowsprit	beaupr	43
380	boycott	boycotter	boycott	boycott	100
381	boyscout	scout	boyscout	scout	77
382	bracelet	bracelet	bracelet	bracelet	100
383	bracket	support	bracket	support	29
384	braggart	fanfaron	braggart	fanfaron	38
385	brat	gosse	brat	goss	0
386	bravest	le plus courageux	bravest	le plus courag	19
387	brawniest	le plus musclé	brawniest	le plus muscl	18
388	breadfruit	fruit à pain	breadfruit	fruit à pain	45
389	breakfast	petit-déjeuner	breakfast	petit-déjeun	19
390	breakout	éclater	breakout	éclat	31
391	breakpoint	point d'arrêt	breakpoint	point d'arrêt	43
392	breast	Sein	breast	sein	20
393	breeziest	le plus venteux	breeziest	le plus vent	29
394	brickbat	morceau de brique	brickbat	morceau de br	19
395	briefest	le plus bref	briefest	le plus bref	40
396	bright	brillant	bright	brill	55
397	brightest	le plus brillant	brightest	le plus brill	27
398	brilliant	brillant	brilliant	brill	71
399	briskest	le plus vif	briskest	le plus v	12
400	brit	brit	brit	brit	100
401	broadcast	diffuser	broadcast	diffus	27
402	broadest	le plus large	broadest	le plus larg	10
403	broadsheet	grand format	broadsheet	grand format	36
404	brought	amené	brought	amen	0
405	browbeat	intimider	browbeat	intimid	13
406	brownest	le plus brun	brownest	le plus brun	30
407	brunet	brunet	brunet	brunet	100
408	brunt	brutal	brunt	brutal	73
409	bubbliest	bubbliest	bubbliest	bubbliest	100
410	bucket	baquet	bucket	baquet	67
411	buckshot	chevrotine	buckshot	chevrotin	47
412	budapest	Budapest	budapest	budapest	100
413	buddhist	bouddhiste	buddhist	bouddhist	94
414	budget	budget	budget	budget	100
415	buffet	buffet	buffet	buffet	100
416	built	construit	built	construit	43
417	bulkiest	le plus volumineux	bulkiest	le plus volumin	26
418	bullet	balle	bullet	ball	60
419	bullfight	corrida	bullfight	corrid	13
420	bumpiest	le plus cahoteux	bumpiest	le plus cahot	29
421	buoyant	flottable	buoyant	flottabl	13
422	bureaucrat	bureaucrate	bureaucrat	bureaucrat	100
423	burliest	le plus costaud	burliest	le plus costaud	26
424	burnt	brûlé	burnt	brûl	44
425	burst	éclater	burst	éclat	20
426	bushiest	le plus bruyant	bushiest	le plus brui	30
427	busiest	le plus occupé	busiest	le plus occup	20
428	bust	bousiller	bust	bousill	55
429	but	mais	but	mais	0
430	butt	bout	butt	bout	75
431	butterfat	matière grasse	butterfat	matière gr	21
432	buyout	rachat	buyout	rachat	17
433	byproduct	sous-produit	byproduct	sous-produit	57
434	cabaret	cabaret	cabaret	cabaret	100
435	cabinet	cabinet	cabinet	cabinet	100
436	cabriolet	cabriolet	cabriolet	cabriolet	100
437	cachet	cachet	cachet	cachet	100
438	cadet	cadet	cadet	cadet	100
439	cagiest	le plus effrayant	cagiest	le plus effrai	19
440	calmest	le plus calme	calmest	le plus calm	42
441	camelot	camelot	camelot	camelot	100
442	campanologist	campanologue	campanologist	campanologu	83
443	camshaft	arbre à cames	camshaft	arbre à cam	32
444	candlelight	bougie	candlelight	boug	13
445	candlelit	a la chandelle	candlelit	a la chandel	57
446	cannot	ne peux pas	cannot	ne peux p	13
447	canoeist	canoéiste	canoeist	canoéist	88
448	cant	cant	cant	cant	100
449	capitalist	capitaliste	capitalist	capital	82
450	carat	carat	carat	carat	100
451	cardiologist	cardiologue	cardiologist	cardiologu	82
452	careerist	carriériste	careerist	carrier	62
453	carpet	tapis	carpet	tapis	36
454	carport	abri d'auto	carport	abri d'auto	33
455	carrot	carotte	carrot	carott	83
456	carrycot	nacelle	carrycot	nacel	15
457	cart	Chariot	cart	chariot	73
458	cartoonist	dessinateur	cartoonist	dessin	12
459	casement	fenêtre	casement	fenêtr	43
460	casket	cercueil	casket	cercueil	29
461	cast	jeter	cast	jet	29
462	castanet	castagnette	castanet	castagnet	94
463	cat	chat	cat	chat	86
464	catalyst	catalyseur	catalyst	catalyseur	78
465	catapult	catapulte	catapult	catapult	100
466	cataract	cataracte	cataract	cataract	100
467	catchiest	le plus accrocheur	catchiest	le plus accrocheur	30
468	catchment	bassin versant	catchment	bassin vers	20
469	catechist	catéchiste	catechist	catech	80
470	catgut	catgut	catgut	catgut	100
471	catsuit	combinaison	catsuit	combinaison	33
472	caught	attrapé	caught	attrap	33
473	caveat	caveat	caveat	caveat	100
474	cavort	faire des cabrioles	cavort	faire des cabriol	26
475	celebrant	célébrant	celebr	célebr	83
476	cellist	violoncelliste	cellist	violoncel	38
477	cement	ciment	cement	ciment	83
478	cent	cent	cent	cent	100
479	centralist	centraliste	centralist	central	82
480	centrist	centriste	centrist	centrist	100
481	ceramist	céramiste	ceramist	céram	62
482	cesspit	cloaque	cesspit	cloaqu	15
483	chairlift	télésiège	chairlift	télésieg	12
484	chalet	chalet	chalet	chalet	100
485	chamberpot	pot de chambre	chamberpot	pot de chambr	52
486	chanciest	chanciest	chanciest	chanciest	100
487	chant	chant	chant	chant	100
488	chariot	char	chariot	char	73
489	chart	graphique	chart	graphiqu	15
490	chastisement	châtiment	chastis	chât	55
491	chat	discuter	chat	discut	40
492	chauvinist	chauvin	chauvinist	chauvin	82
493	cheapest	le moins cher	cheapest	le moins ch	21
494	cheat	Tricher	cheat	trich	40
495	checklist	liste de contrôle	checklist	liste de contrôl	32
496	checkout	vérifier	checkout	vérifi	0
497	checkpoint	point de contrôle	checkpoint	point de contrôl	38
498	cheekiest	le plus effronté	cheekiest	le plus effront	25
499	cheeriest	plus joyeux	cheeriest	plus joi	12
500	chemiluminescent	chimiluminescent	chemiluminesc	chimiluminescent	83
501	chemist	chimiste	chemist	chimist	86
502	cheroot	cheroot	cheroot	cheroot	100
503	chest	coffre	chest	coffr	20
504	chestnut	châtaigne	chestnut	châtaign	50
505	chewiest	le plus moelleux	chewiest	le plus moel	20
506	chilliest	le plus froid	chilliest	le plus froid	9
507	chiropodist	pédicure	chiropodist	pédicur	33
508	chit	chit	chit	chit	100
509	choicest	choix	choicest	choix	62
510	choppiest	le plus saccadé	choppiest	le plus saccad	9
511	christ	Christ	christ	christ	100
512	cigaret	cigare	cigaret	cigar	83
513	circlet	cercle	circlet	cercl	67
514	circuit	circuit	circuit	circuit	100
515	circulant	circulant	circul	circul	100
516	circumspect	circonspect	circumspect	circonspect	82
517	circumvent	circonvenir	circumv	circonven	62
518	cist	ciste	cist	cist	100
519	claimant	demandeur	claimant	demandeur	35
520	clairvoyant	voyant	clairvoy	voi	36
521	claret	bordeaux	claret	bordeau	15
522	clarinet	clarinette	clarinet	clarinet	100
523	clarinettist	clarinettiste	clarinettist	clarinet	80
524	classicist	classiciste	classicist	classic	82
525	classiest	le plus chic	classiest	le plus chic	19
526	cleancut	cleancut	cleancut	cleancut	100
527	cleanest	le plus propre	cleanest	le plus propr	29
528	clearcut	coupe à blanc	clearcut	coupe à blanc	38
529	clearest	le plus clair	clearest	le plus clair	38
530	cleat	taquet	cleat	taquet	36
531	cleft	fendu	cleft	fendu	20
532	clement	clément	clement	clément	86
533	cleverest	le plus intelligent	cleverest	le plus intelligent	36
534	client	client	client	client	100
535	closedcircuit	circuit fermé	closedcircuit	circuit ferm	56
536	closeknit	fermer	closeknit	ferm	15
537	closest	le plus proche	closest	le plus proch	10
538	closet	toilettes	closet	toilet	50
539	clot	caillot	clot	caillot	73
540	cloudburst	trombe	cloudburst	tromb	27
541	cloudiest	le plus nuageux	cloudiest	le plus nuag	29
542	clout	poids	clout	poid	22
543	clumsiest	le plus maladroit	clumsiest	le plus maladroit	38
544	coarsest	le plus grossier	coarsest	le plus grossi	27
545	coast	côte	coast	côt	50
546	coat	manteau	coat	manteau	36
547	cobalt	cobalt	cobalt	cobalt	100
548	cockiest	le plus arrogant	cockiest	le plus arrog	10
549	cockpit	cockpit	cockpit	cockp	83
550	coconut	noix de coco	coconut	noix de coco	42
551	coefficient	coefficient	coeffici	coefficient	84
552	coexist	coexister	coexist	coexist	100
553	coexistent	coexistant	coexist	coexist	100
554	cogent	convaincant	cogent	convainc	43
555	cognisant	compétent	cognis	compétent	40
556	cognizant	compétent	cogniz	compétent	40
557	cohabit	cohabiter	cohabit	cohabit	100
558	coherent	cohérent	coher	cohérent	62
559	cohort	cohorte	cohort	cohort	100
560	coincident	coïncident	coincid	coïncident	71
561	coldest	le plus froid	coldest	le plus froid	20
562	collaborationist	collaborationniste	collaborationist	collaboration	90
563	collect	collecter	collect	collect	100
564	collectivist	collectiviste	collectivist	collectiv	86
565	colonialist	colonialiste	colonialist	colonial	84
566	colonist	colon	colonist	colon	77
567	colourant	colorant	colour	color	91
568	colt	poulain	colt	poulain	36
569	columnist	journaliste	columnist	journal	25
570	combat	combat	combat	combat	100
571	combatant	combattant	combat	combatt	92
572	comet	comète	comet	comet	100
573	comfort	confort	comfort	confort	86
574	commandant	commandant	command	command	100
575	commandment	commandement	command	command	100
576	commencement	commencement	commenc	commenc	100
577	comment	commenter	comment	comment	100
578	commissariat	intendance	commissariat	intend	22
579	commit	s'engager	commit	s'engag	0
580	commitment	engagement	commit	engag	0
581	commonest	le plus commun	commonest	le plus commun	43
582	communicant	communiant	communic	communi	93
583	communist	communiste	communist	commun	80
584	compact	compact	compact	compact	100
585	compartment	compartiment	compart	compart	100
586	compatriot	compatriote	compatriot	compatriot	100
587	competent	compétent	compet	compétent	80
588	complacent	complaisant	complac	complais	80
589	complainant	plaignant	complain	plaign	71
590	complaint	plainte	complaint	plaint	80
591	complaisant	complaisant	complais	complais	100
592	complement	complément	complement	compl	67
593	compliant	conforme	compliant	conform	38
594	complicit	complice	complicit	complic	88
595	compliment	compliment	compliment	compl	67
596	complot	complot	complot	complot	100
597	component	composant	compon	compos	83
598	comport	comporter	comport	comport	100
599	compost	compost	compost	compost	100
600	concealment	dissimulation	conceal	dissimul	13
601	conceit	vanité	conceit	vanit	50
602	concept	concept	concept	concept	100
603	concert	concert	concert	concert	100
604	concoct	concocter	concoct	concoct	100
605	concomitant	concomitant	concomit	concomit	100
606	concordant	concordant	concord	concord	100
607	concordat	concordat	concordat	concordat	100
608	concurrent	concurrent	concurr	concurrent	82
609	condiment	condiment	condiment	cond	62
610	conduct	conduite	conduct	conduit	86
611	conduit	conduit	conduit	conduit	100
612	confectionist	pâtissier	confectionist	pâtissi	30
613	conferment	octroi	confer	octroi	33
614	confidant	confident	confid	confident	80
615	confident	confiant	confid	confi	91
616	confinement	confinement	confin	confin	100
617	conflict	conflit	conflict	confl	77
618	confluent	confluent	confluent	confluent	100
619	conformist	conformiste	conformist	conform	82
620	confront	affronter	confront	affront	67
621	congest	encombrer	congest	encombr	29
622	congruent	conforme	congruent	conform	50
623	conjoint	conjoint	conjoint	conjoint	100
624	conjunct	conjoint	conjunct	conjoint	75
625	connect	relier	connect	reli	18
626	conquest	conquête	conquest	conquêt	80
627	conscript	conscrit	conscript	conscr	80
628	consent	consentement	consent	consent	100
629	consequent	conséquent	consequ	conséquent	71
630	conservationist	conservationniste	conservationist	conservation	89
631	consignment	consignation	consign	consign	100
632	consist	consister	consist	consist	100
633	consistent	cohérent	consist	cohérent	53
634	consonant	consonne	conson	conson	100
635	consort	épouse	consort	épous	33
636	constant	constant	constant	const	77
637	constituent	constituant	constitu	constitu	100
638	constraint	contrainte	constraint	contraint	95
639	constrict	Serrer	constrict	serr	31
640	construct	construction	construct	construct	100
641	constructivist	constructiviste	constructivist	constructiv	88
642	consult	consulter	consult	consult	100
643	consultant	consultant	consult	consult	100
644	consumerist	consumériste	consumerist	consumer	84
645	contact	contact	contact	contact	100
