	ENG_able	FR_able	eng_stem	fr_stem	ratio_similarity
177	exceptionable	exceptionnel	exception	exceptionnel	86
178	exchangeable	échangeable	exchang	échange	71
179	excitable	excitable	excit	excit	100
180	excusable	excusable	excus	excus	100
181	executable	exécutable	execut	exécut	83
182	exercisable	exerçable	exercis	exerc	83
183	expandable	extensible	expand	extensibl	40
184	expendable	consommable	expend	consomm	15
185	explainable	explicable	explain	explic	77
186	explicable	explicable	explic	explic	100
187	exploitable	exploitable	exploit	exploit	100
188	explorable	explorable	explor	explor	100
189	exportable	exportable	export	export	100
190	extendable	extensible	extend	extensibl	67
191	extractable	extractible	extract	extractibl	82
192	extraditable	extradable	extradit	extrad	86
193	fable	fable	fabl	fabl	100
194	factorisable	factorisable	factoris	factoris	100
195	falsifiable	falsifiable	falsifi	falsifi	100
196	fanciable	fantaisiste	fanciabl	fantais	53
197	fashionable	à la mode	fashion	à la mod	27
198	favourable	favorable	favour	favor	91
199	findable	trouvable	findabl	trouvabl	40
200	fixable	réparable	fixabl	répar	18
201	flammable	inflammable	flammabl	inflamm	67
202	flippable	flippable	flippabl	flippabl	100
203	followable	suivable	follow	suivabl	15
204	foreseeable	prévisible	forese	prévisibl	27
205	forgettable	oubliable	forgett	oubliabl	13
206	forgivable	pardonnable	forgiv	pardon	17
207	formidable	redoutable	formid	redout	17
208	friable	friable	friabl	friabl	100
209	gable	gâble	gabl	gâbl	75
210	generalisable	généralisable	generalis	généralis	78
211	getable	accessible	getabl	accessibl	40
212	gettable	obtenable	gettabl	obten	17
213	guessable	devinable	guessabl	devin	15
214	habitable	habitable	habit	habit	100
215	hackable	piratable	hackabl	pirat	17
216	hearable	audible	hearabl	audibl	46
217	heritable	héritable	herit	hérit	80
218	hittable	frappable	hittabl	frappabl	40
219	holdable	tenable	holdabl	tenabl	46
220	honourable	honorable	honour	honor	91
221	hospitable	hospitalier	hospit	hospitali	80
222	hummable	hummable	hummabl	hummabl	100
223	identifiable	identifiable	identifi	identifi	100
224	ignorable	ignorable	ignor	ignor	100
225	illimitable	illimité	illimit	illim	83
226	imaginable	imaginable	imagin	imagin	100
227	immeasurable	incommensurable	immeasur	incommensur	74
228	immovable	immeuble	immov	immeubl	50
229	immoveable	immobile	immov	immobil	67
230	immutable	immuable	immut	immuabl	67
231	impalpable	impalpable	impalp	impalp	100
232	impassable	infranchissable	impass	infranchiss	47
233	impeccable	impeccable	impecc	impecc	100
234	impenetrable	impénétrable	impenetr	impénetr	88
235	imperishable	impérissable	imperish	impériss	75
236	impermeable	imperméable	imperm	impermé	92
237	imperturbable	imperturbable	imperturb	imperturb	100
238	implacable	implacable	implac	implac	100
239	implementable	réalisable	implement	réalis	13
240	imponderable	impondérable	imponder	imponder	100
241	importable	importable	import	import	100
242	imposable	impossible	impos	impossibl	71
243	impracticable	impraticable	impractic	impratic	94
244	impregnable	imprenable	impregn	impren	92
245	impressionable	impressionnable	impression	impression	100
246	improbable	improbable	improb	improb	100
247	improvable	améliorable	improv	amélior	31
248	impugnable	contestable	impugn	contest	15
249	inadvisable	déconseillé	inadvis	déconseil	12
250	inalienable	inaliénable	inalien	inalien	100
251	inapplicable	inapplicable	inapplic	inapplic	100
252	incalculable	incalculable	incalcul	incalcul	100
253	incapable	incapable	incap	incap	100
254	incommensurable	incommensurable	incommensur	incommensur	100
255	incommunicable	incommunicable	incommunic	incommunic	100
256	incomparable	incomparable	incompar	incompar	100
257	inconceivable	inconcevable	inconceiv	inconcev	94
258	inconsiderable	négligeable	inconsider	néglige	24
259	inconsolable	inconsolable	inconsol	inconsol	100
260	incontestable	incontestable	incontest	incontest	100
261	incorporable	incorporable	incorpor	incorpor	100
262	incurable	incurable	incur	incur	100
263	indecipherable	indéchiffrable	indecipher	indéchiffr	60
264	indeclinable	indéclinable	indeclin	indéclin	88
265	indefatigable	infatigable	indefatig	infatig	88
266	indefinable	indéfinissable	indefin	indéfiniss	71
267	indescribable	indescriptible	indescrib	indescriptibl	82
268	indeterminable	indéterminable	indetermin	indétermin	90
269	indictable	mise en accusation	indict	mise en accus	32
270	indispensable	indispensable	indispens	indispens	100
271	indisputable	incontestable	indisput	incontest	47
272	indistinguishable	indiscernable	indistinguish	indiscern	55
273	indomitable	indomptable	indomit	indompt	86
274	indubitable	indubitable	indubit	indubit	100
275	ineffable	ineffable	ineff	ineff	100
276	ineluctable	inéluctable	ineluct	inéluct	86
277	inequitable	inéquitable	inequit	inéquit	86
278	ineradicable	indéracinable	ineradic	indéracin	59
279	inescapable	inéluctable	inescap	inéluct	43
280	inestimable	inestimable	inestim	inestim	100
281	inevitable	inévitable	inevit	inévit	83
282	inexcusable	inexcusable	inexcus	inexcus	100
283	inexorable	inexorable	inexor	inexor	100
284	inexplicable	inexplicable	inexplic	inexplic	100
285	inextinguishable	inextinguible	inextinguish	inextinguibl	83
286	inextricable	inextricable	inextric	inextric	100
287	inflammable	inflammable	inflamm	inflamm	100
288	inflatable	gonflable	inflat	gonflabl	57
289	inhabitable	habitable	inhabit	habit	83
290	inheritable	héritable	inherit	hérit	67
291	inhospitable	inhospitalier	inhospit	inhospitali	84
292	inimitable	inimitable	inimit	inimit	100
293	injectable	injectable	inject	inject	100
294	innumerable	innombrable	innumer	innombr	71
295	inoperable	inopérable	inoper	inoper	100
296	insatiable	insatiable	insati	insati	100
297	inscrutable	impénétrable	inscrut	impénetr	40
298	inseparable	inséparable	insepar	insépar	86
299	installable	installable	instal	install	92
300	insufferable	insupportable	insuffer	insupport	59
301	insuperable	insurmontable	insuper	insurmont	62
302	insupportable	insupportable	insupport	insupport	100
303	insurmountable	insurmontable	insurmount	insurmont	95
304	integrable	intégrable	integr	integr	100
305	interchangeable	interchangeable	interchang	interchange	95
306	interminable	interminable	intermin	intermin	100
307	interoperable	interopérable	interoper	interoper	100
308	interpolatable	interpolable	interpolat	interpol	89
309	interpretable	interprétable	interpret	interpret	100
310	intolerable	intolérable	intoler	intoler	100
311	intractable	intraitable	intract	intrait	86
312	invaluable	inestimable	invalu	inestim	31
313	invariable	invariable	invari	invari	100
314	inviolable	inviolable	inviol	inviol	100
315	invokable	invocable	invok	invoc	80
316	invulnerable	invulnérable	invulner	invulner	100
317	irreconcilable	irréconciliable	irreconcil	irréconcili	86
318	irrecoverable	irrécupérable	irrecover	irrécuper	67
319	irredeemable	irréparable	irredeem	irrépar	40
320	irrefutable	irréfutable	irrefut	irréfut	86
321	irremediable	irrémédiable	irremedi	irrémédi	75
322	irremovable	inamovible	irremov	inamovibl	50
323	irreparable	irréparable	irrepar	irrépar	86
324	irreplaceable	irremplaçable	irreplac	irremplac	94
325	irreproachable	irréprochable	irreproach	irréproch	84
326	irresolvable	insoluble	irresolv	insolubl	50
327	irretrievable	irrémédiable	irretriev	irrémédi	47
328	irrevocable	irrévocable	irrevoc	irrévoc	86
329	irritable	irritable	irrit	irrit	100
330	issuable	pouvant être émis	issuabl	pouvant être em	18
331	justifiable	justifiable	justifi	justifi	100
332	knowable	connaissable	knowabl	connaiss	27
333	knowledgeable	bien informé	knowledg	bien inform	21
334	lamentable	lamentable	lament	lament	100
335	laudable	louable	laudabl	louabl	77
336	laughable	ridicule	laughabl	ridicul	13
337	learnable	apprenable	learnabl	appren	29
338	liable	responsable	liabl	respons	0
339	likable	sympathique	likabl	sympath	15
340	likeable	sympathique	likeabl	sympath	14
341	linkable	reliable	linkabl	reliabl	71
342	livable	habitable	livabl	habit	36
343	liveable	habitable	liveabl	habit	33
344	loadable	chargeable	loadabl	chargeabl	50
345	loanable	prêtable	loanabl	prêtabl	43
346	locatable	localisable	locat	localis	67
347	lockable	verrouillable	lockabl	verrouill	25
348	losable	perdable	losabl	perdabl	46
349	lovable	aimable	lovabl	aimabl	50
350	loveable	adorable	loveabl	ador	18
351	mailable	disponible	mailabl	disponibl	38
352	maintainable	maintenable	maintain	mainten	80
353	malleable	malléable	malleabl	malléabl	88
354	manageable	maniable	manag	maniabl	67
355	manipulable	manipulable	manipul	manipul	100
356	manoeuvrable	maniable	manoeuvr	maniabl	40
357	mappable	mappable	mappabl	mappabl	100
358	marketable	commercialisable	market	commercialis	22
359	marriageable	nubile	marriag	nubil	17
360	matchable	appariable	matchabl	appari	29
361	measurable	mesurable	measur	mesur	91
362	mechanisable	mécanisable	mechanis	mécanis	80
363	memorable	mémorable	memor	mémor	80
364	mentionable	mentionnable	mention	mention	100
365	merchantable	marchand	merchant	marchand	75
366	metastable	métastable	metast	métast	83
367	microwaveable	micro-ondable	microwav	micro-ond	59
368	miserable	misérable	miser	miser	100
369	mixable	mélangeable	mixabl	mélange	31
370	mobilisable	mobilisable	mobilis	mobilis	100
371	modifiable	modifiable	modifi	modifi	100
372	monostable	monostable	monost	monost	100
373	monosyllable	monosyllabe	monosyl	monosyllab	82
374	mortgageable	hypothéquable	mortgag	hypothequ	25
375	mountable	montable	mountabl	montabl	93
376	movable	mobile	movabl	mobil	73
377	moveable	mobile	moveabl	mobil	67
378	mutable	mutable	mutabl	mutabl	100
379	nameable	nommable	nameabl	nommabl	71
380	navigable	navigable	navig	navig	100
381	negotiable	négociable	negoti	négoci	67
382	nestable	emboîtable	nestabl	emboît	31
383	normalisable	normalisable	normalis	normalis	100
384	notable	notable	notabl	notabl	100
385	noticeable	perceptible	notic	perceptibl	27
386	notifiable	notifiable	notifi	notifi	100
387	objectionable	répréhensible	objection	répréhensibl	10
388	observable	observable	observ	observ	100
389	obtainable	disponible	obtain	disponibl	27
390	operable	opérable	oper	oper	100
391	organisable	organisable	organis	organis	100
392	orientable	orientable	orient	orient	100
393	packable	compressible	packabl	compressibl	33
394	palatable	acceptable	palat	accept	36
395	palpable	palpable	palpabl	palpabl	100
396	parable	parabole	parabl	parabol	92
397	pardonable	pardonnable	pardon	pardon	100
398	passable	passable	passabl	passabl	100
399	patchable	patchable	patchabl	patchabl	100
400	patentable	brevetable	patent	brevet	17
401	payable	payable	payabl	payabl	100
402	peaceable	paisible	peaceabl	paisibl	53
403	penetrable	pénétrable	penetr	pénetr	83
404	pensionable	ouvrant droit à pension	pension	ouvrant droit à pens	30
405	perceivable	perceptible	perceiv	perceptibl	71
406	performable	performable	perform	perform	100
407	perishable	périssable	perish	périss	67
408	permeable	perméable	permeabl	perméabl	88
409	personable	charmant	person	charm	18
410	pitiable	pitoyable	pitiabl	pitoi	67
411	playable	jouable	playabl	jouabl	46
412	pleasurable	agréable	pleasur	agréabl	14
413	pliable	souple	pliabl	soupl	36
414	polysyllable	polysyllabe	polysyl	polysyllab	82
415	portable	portable	portabl	portabl	100
416	positionable	positionnable	position	position	100
417	potable	potable	potabl	potabl	100
418	pourable	versable	pourabl	versabl	57
419	practicable	praticable	practic	pratic	92
420	predictable	prévisible	predict	prévisibl	38
421	preferable	préférable	prefer	préfer	83
422	presentable	présentable	present	présent	86
423	presumable	présumable	presum	présum	83
424	preventable	évitable	prevent	évit	36
425	printable	imprimable	printabl	imprim	43
426	probable	probable	probabl	probabl	100
427	processable	traitable	process	traitabl	13
428	procurable	approvisionnable	procur	approvision	35
429	profitable	rentable	profit	rentabl	31
430	programmable	programmable	programm	programm	100
431	promotable	promotable	promot	promot	100
432	pronounceable	prononçable	pronounc	prononc	93
433	prosecutable	passible de poursuites	prosecut	passible de poursuit	36
434	provable	prouvable	provabl	prouvabl	93
435	providable	prouvable	provid	prouvabl	57
436	publishable	publiable	publish	publiabl	67
437	punchable	poinçonnable	punchabl	poinçon	27
438	punishable	punissable	punish	puniss	83
439	purchasable	achetable	purchas	achet	33
440	pushable	poussable	pushabl	poussabl	80
441	quantifiable	quantifiable	quantifi	quantifi	100
442	questionable	discutable	question	discut	29
443	quotable	cotable	quotabl	cotabl	77
444	reachable	accessible	reachabl	accessibl	47
445	readable	lisible	readabl	lisibl	31
446	realisable	réalisable	realis	réalis	83
447	reasonable	raisonnable	reason	raison	83
448	rebuttable	réfutable	rebutt	réfut	55
449	receivable	recevable	receiv	recev	91
450	rechargeable	rechargeable	recharg	recharge	93
451	reclaimable	récupérable	reclaim	récuper	29
452	recognisable	reconnaissable	recognis	reconnaiss	78
453	recommendable	recommandable	recommend	recommand	89
454	recomputable	recalculable	recomput	recalcul	50
455	reconcilable	conciliable	reconcil	concili	80
456	reconfigurable	reconfigurable	reconfigur	reconfigur	100
457	recordable	enregistrable	record	enregistr	40
458	recoverable	restaurable	recover	restaur	43
459	rectifiable	rectifiable	rectifi	rectifi	100
460	recyclable	recyclable	recycl	recycl	100
461	redeemable	rachetable	redeem	rachet	33
462	redistributable	redistribuable	redistribut	redistribu	95
463	redoubtable	redoutable	redoubt	redout	92
464	referable	référençable	refer	référenc	31
465	refillable	rechargeable	refil	recharge	31
466	reformable	reformable	reform	reform	100
467	refreshable	rafraîchissant	refresh	rafraîch	53
468	refundable	remboursable	refund	rembours	43
469	refutable	réfutable	refut	réfut	80
470	registrable	enregistrable	registr	enregistr	88
471	regrettable	regrettable	regrett	regret	92
472	releasable	libérable	releas	liber	18
473	reliable	fiable	reliabl	fiabl	67
474	relocatable	relocalisable	relocat	relocalis	75
475	remarkable	remarquable	remark	remarqu	77
476	remediable	remédiable	remedi	remédi	83
477	removable	amovible	remov	amovibl	50
478	renewable	renouvelable	renew	renouvel	62
479	repairable	réparable	repair	répar	73
480	repayable	remboursable	repay	rembours	31
481	repeatable	répétable	repeat	répet	73
482	replaceable	remplaçable	replac	remplac	92
483	replicable	reproductible	replic	reproductibl	44
484	reportable	à signaler	report	à signal	0
485	representable	représentable	represent	représent	89
486	reprogrammable	reprogrammable	reprogramm	reprogramm	100
487	reputable	honorable	reput	honor	20
488	resettable	réinitialisable	resett	réinitialis	24
489	resolvable	résoluble	resolv	résolubl	57
490	respectable	respectable	respect	respect	100
491	restartable	redémarrable	restart	redémarr	53
492	retractable	rétractable	retract	rétract	86
493	retrievable	récupérable	retriev	récuper	43
494	returnable	consigné	return	consign	15
495	reusable	réutilisable	reusabl	réutilis	40
496	revealable	révélable	reveal	rével	73
497	reviewable	révisable	review	révis	55
498	revisable	révisable	revis	révis	80
499	revocable	révocable	revoc	révoc	80
500	rewindable	rembobinable	rewind	rembobin	57
501	rewritable	réinscriptible	rewrit	réinscriptibl	42
502	rotatable	rotatif	rotat	rotat	100
503	runnable	exécutable	runnabl	exécut	15
504	sable	zibeline	sabl	zibelin	36
505	saleable	vendable	saleabl	vendabl	57
506	salvageable	récupérable	salvag	récuper	0
507	satisfiable	satisfiable	satisfi	satisfi	100
508	scalable	évolutif	scalabl	évolut	15
509	scrollable	défilable	scrollabl	défil	14
510	seasonable	de saison	season	de saison	67
511	seeable	visible	seeabl	visibl	50
512	selectable	sélectionnable	select	sélection	67
513	sellable	vendable	sellabl	vendabl	57
514	separable	séparable	separ	sépar	80
515	serviceable	utilisable	servic	utilis	17
516	severable	séparable	sever	sépar	40
517	shakable	secouable	shakabl	secou	17
518	shakeable	secouable	shakeabl	secou	31
519	sharable	partageable	sharabl	partage	43
520	shareable	partageable	shareabl	partage	40
521	shippable	expédiable	shippabl	expédi	14
522	shrinkable	rétractable	shrinkabl	rétract	25
523	singable	chantable	singabl	chantabl	53
524	sinkable	coulable	sinkabl	coulabl	43
525	sizeable	considérable	sizeabl	consider	40
526	smellable	odorant	smellabl	odor	0
527	sociable	sociable	sociabl	sociabl	100
528	solvable	soluble	solvabl	solubl	77
529	sortable	triable	sortabl	triabl	62
530	speakable	parlable	speakabl	parlabl	67
531	specifiable	spécifiable	specifi	spécifi	86
532	spellable	épelable	spellabl	épel	50
533	splittable	fractionnable	splittabl	fraction	12
534	stable	stable	stabl	stabl	100
535	steerable	orientable	steerabl	orient	14
536	stoppable	arrêtable	stoppabl	arrêt	15
537	stretchable	extensible	stretchabl	extensibl	32
538	submittable	soumis	submitt	soum	55
539	substitutable	substituable	substitut	substitu	94
540	suckable	sucable	suckabl	sucabl	92
541	suitable	qui convient	suitabl	qui convient	32
542	summable	sommable	summabl	sommabl	86
543	supportable	supportable	support	support	100
544	surmountable	surmontable	surmount	surmont	93
545	survivable	survivant	surviv	surviv	100
546	sustainable	durable	sustain	durabl	31
547	swappable	échangeable	swappabl	échange	13
548	sweepable	balayable	sweepabl	balai	31
549	switchable	commutable	switchabl	commut	13
550	syllable	syllabe	syllabl	syllab	92
551	table	table	tabl	tabl	100
552	tailorable	personnalisable	tailor	personnalis	24
553	takeable	prenable	takeabl	prenabl	57
554	taxable	imposable	taxabl	impos	0
555	teachable	enseignable	teachabl	enseign	13
556	tenable	défendable	tenabl	défend	33
557	testable	testable	testabl	testabl	100
558	thinkable	pensable	thinkabl	pensabl	53
559	timetable	calendrier	timet	calendri	15
560	tolerable	tolérable	toler	toler	100
561	traceable	traçable	traceabl	traçabl	80
562	tractable	docile	tractabl	docil	31
563	tradeable	échangeable	tradeabl	échange	27
564	transferable	transférable	transfer	transfer	100
565	translatable	traduisible	translat	traduisibl	56
566	transmittable	transmissible	transmitt	transmissibl	67
567	transportable	transportable	transport	transport	100
568	trappable	piégeable	trappabl	piégeabl	50
569	treasonable	trahison	treason	trahison	80
570	treatable	traitable	treatabl	traitabl	88
571	tunable	accordable	tunabl	accord	17
572	turntable	plaque tournante	turntabl	plaque tourn	40
573	unable	incapable	unabl	incap	40
574	unacceptable	inacceptable	unaccept	inaccept	88
575	unaccountable	inexplicable	unaccount	inexplic	24
576	unachievable	irréalisable	unachiev	irréalis	25
577	unaddressable	non adressable	unaddress	non adress	74
578	unaffordable	inabordable	unafford	inabord	67
579	unalterable	inaltérable	unalter	inalter	86
580	unanswerable	sans réponse	unanswer	sans répons	42
581	unapproachable	inabordable	unapproach	inabord	35
582	unarguable	incontestable	unargu	incontest	13
583	unassailable	inattaquable	unassail	inattaqu	38
584	unattainable	inaccessible	unattain	inaccessibl	32
585	unattributable	non attribuable	unattribut	non attribu	76
586	unavailable	indisponible	unavail	indisponibl	33
587	unavoidable	inévitable	unavoid	inévit	46
588	unbearable	insupportable	unbear	insupport	27
589	unbeatable	imbattable	unbeat	imbatt	50
590	unbelievable	incroyable	unbeliev	incroi	29
591	unbreakable	incassable	unbreak	incass	31
592	unbridgeable	infranchissable	unbridg	infranchiss	33
593	unchallengeable	incontestable	unchalleng	incontest	32
594	unchangeable	non modifiable	unchang	non modifi	24
595	uncharitable	peu charitable	uncharit	peu charit	78
596	uncheckable	non vérifiable	uncheck	non vérifi	12
597	unclassifiable	inclassable	unclassifi	inclass	71
598	unclimbable	impossible à grimper	unclimb	impossible à grimp	24
599	uncomfortable	inconfortable	uncomfort	inconfort	78
600	uncompilable	incompilable	uncompil	incompil	88
601	uncompromisable	irréprochable	uncompromis	irréproch	30
602	unconquerable	invincible	unconquer	invincibl	22
603	unconscionable	déraisonnable	unconscion	déraison	22
604	uncontainable	incontrôlable	uncontain	incontrôl	56
605	uncontrollable	incontrôlable	uncontrol	incontrôl	78
606	uncorrectable	incorrigible	uncorrect	incorrigibl	50
607	uncountable	indénombrable	uncount	indénombr	25
608	uncrackable	incassable	uncrack	incass	46
609	uncrossable	infranchissable	uncross	infranchiss	44
610	uncrushable	incassable	uncrush	incass	46
611	undecidable	indécidable	undecid	indécid	71
612	undefinable	indéfinissable	undefin	indéfiniss	59
613	undeliverable	non livrable	undeliver	non livr	59
614	undeniable	indéniable	undeni	indéni	67
615	understandable	compréhensible	understand	compréhensibl	17
616	undesirable	indésirable	undesir	indésir	71
617	undetectable	indétectable	undetect	indétect	75
618	undiagnosable	impossible à diagnostiquer	undiagnos	impossible à diagnostiqu	42
619	undrinkable	imbuvable	undrink	imbuv	17
620	undroppable	imparable	undropp	impar	17
621	uneatable	immangeable	uneat	immange	33
622	unelectable	non sélectionnable	unelect	non sélection	50
623	unemployable	inemployable	unemploy	inemploi	75
624	unendurable	insupportable	unendur	insupport	25
625	unenforceable	inapplicable	unenforc	inapplic	25
626	unenviable	peu enviable	unenvi	peu envi	71
627	unexceptionable	irréprochable	unexception	irréproch	10
628	unexplainable	inexplicable	unexplain	inexplic	71
629	unfalsifiable	infalsifiable	unfalsifi	infalsifi	89
630	unfashionable	démodé	unfashion	démod	14
631	unfathomable	insondable	unfathom	insond	29
632	unfavourable	défavorable	unfavour	défavor	67
633	unfetchable	inaccessible	unfetch	inaccessibl	22
634	unfordable	indisponible	unford	indisponibl	24
635	unforeseeable	imprévisible	unforese	imprévisibl	21
636	unforgettable	inoubliable	unforgett	inoubli	12
637	unforgivable	impardonnable	unforgiv	impardon	12
638	unfulfillable	irrécupérable	unfulfil	irrécuper	12
