	ENG_ate	FR_ate	eng_stem	fr_stem	ratio_similarity
52	assimilate	assimiler	assimil	assimil	100
53	associate	associer	associ	associ	100
54	ate	a mangé	ate	a mang	22
55	attenuate	atténuer	attenu	atténu	83
56	authenticate	authentifier	authent	authentifi	82
57	automate	automatiser	autom	automatis	71
58	aviate	aviate	aviat	aviat	100
59	backdate	antidate	backdat	antidat	57
60	barbiturate	barbiturique	barbitur	barbitur	100
61	bate	bate	bate	bat	86
62	berate	admonester	berat	admonest	31
63	bicarbonate	bicarbonate	bicarbon	bicarbonat	89
64	birthrate	taux de natalité	birthrat	taux de natal	29
65	borate	borate	borat	borat	100
66	breastplate	pectoral	breastplat	pectoral	33
67	calculate	calculer	calcul	calcul	100
68	calibrate	étalonner	calibr	étalon	33
69	calumniate	calomnier	calumni	calomni	86
70	candidate	candidat	candid	candidat	86
71	capitate	capituler	capit	capitul	83
72	capitulate	capituler	capitul	capitul	100
73	captivate	captiver	captiv	captiv	100
74	carbohydrate	glucides	carbohydr	glucid	27
75	carbonate	carbonate	carbon	carbonat	86
76	castigate	fustiger	castig	fustig	67
77	castrate	castrer	castrat	castr	83
78	celebrate	célébrer	celebr	célebr	83
79	celibate	célibataire	celib	célibatair	53
80	certificate	certificat	certif	certificat	75
81	checkmate	échec et mat	checkmat	échec et mat	70
82	chlorate	chlorate	chlorat	chlorat	100
83	chocolate	Chocolat	chocol	chocolat	86
84	circulate	circuler	circul	circul	100
85	circumnavigate	faire le tour	circumnavig	faire le tour	25
86	citrate	citrate	citrat	citrat	100
87	classmate	camarade de classe	classmat	camarade de cl	18
88	climate	climat	climat	climat	100
89	coagulate	coaguler	coagul	coagul	100
90	cogitate	réfléchir	cogit	réflech	17
91	cognate	apparenté	cognat	apparent	29
92	collaborate	collaborer	collabor	collabor	100
93	collate	collationner	collat	collation	80
94	collegiate	collégial	collegi	collégial	75
95	commemorate	commémorer	commemor	commémor	88
96	commensurate	commensurable	commensur	commensur	100
97	commentate	commenter	comment	comment	100
98	commiserate	compatissant	commiser	compat	43
99	communicate	communiquer	commun	communiqu	80
100	compassionate	compatissant	compassion	compat	62
101	compensate	compenser	compens	compens	100
102	complicate	compliquer	complic	compliqu	80
103	computerliterate	informatisé	computerliter	informatis	35
104	concatenate	enchaîner	concaten	enchaîn	53
105	concentrate	concentrer	concentr	concentr	100
106	conciliate	concilier	concili	concili	100
107	condensate	condensat	condens	condensat	88
108	confabulate	converser	confabul	convers	40
109	confederate	confédéré	confeder	conféder	88
110	confiscate	confisquer	confisc	confisqu	80
111	conglomerate	conglomérat	conglomer	conglomérat	80
112	congratulate	féliciter	congratul	félicit	25
113	congregate	se rassembler	congreg	se rassembl	22
114	conjugate	conjuguer	conjug	conjugu	92
115	consecrate	consacrer	consecr	consacr	86
116	considerate	prévenant	consider	préven	14
117	consolidate	consolider	consolid	consolid	100
118	consulate	Consulat	consul	consulat	86
119	consummate	consommé	consumm	consomm	86
120	contaminate	contaminer	contamin	contamin	100
121	contemplate	contempler	contempl	contempl	100
122	cooperate	coopérer	cooper	cooper	100
123	coordinate	coordonner	coordin	coordon	86
124	copperplate	plaque de cuivre	copperpl	plaque de cuivr	17
125	copulate	copuler	copul	copul	100
126	cordate	cordé	cordat	cord	80
127	corporate	entreprise	corpor	entrepris	40
128	correlate	corrélatif	correl	correl	100
129	corroborate	corroborer	corrobor	corrobor	100
130	crate	Caisse	crate	caiss	40
131	create	créer	creat	cré	50
132	cremate	incinérer	cremat	inciner	31
133	cruciate	croisé	cruciat	crois	50
134	culminate	culminer	culmin	culmin	100
135	cultivate	cultiver	cultiv	cultiv	100
136	curate	sélectionner	curat	sélection	29
137	cutrate	vitesse de coupe	cutrat	vitesse de coup	19
138	date	Date	date	dat	86
139	deactivate	désactiver	deactiv	désactiv	80
140	debate	débat	debat	débat	80
141	debilitate	débiliter	debilit	débilit	86
142	decaffeinate	décaféiner	decaffein	décaféin	71
143	decapitate	décapiter	decapit	décapit	86
144	decelerate	ralentir	deceler	ralent	31
145	decimate	décimer	decim	décim	80
146	decorate	décorer	decor	décor	80
147	dedicate	consacrer	dedic	consacr	17
148	defecate	déféquer	defec	défequ	55
149	defenestrate	défénestrer	defenestr	défénestr	78
150	deflate	dégonfler	deflat	dégonfl	46
151	degenerate	dégénérer	degener	dégéner	71
152	dehydrate	déshydrater	dehydr	déshydrat	67
153	delate	accuser	delat	accus	20
154	delegate	déléguer	deleg	délégu	55
155	deliberate	délibérer	deliber	déliber	86
156	delicate	délicat	delic	délicat	67
157	delineate	tracer	delin	trac	0
158	demarcate	délimiter	demarc	délimit	31
159	demonstrate	démontrer	demonstr	démontr	80
160	denigrate	dénigrer	denigr	dénigr	83
161	deprecate	désapprouver	deprec	désapprouv	38
162	depreciate	déprécier	depreci	dépréci	71
163	derate	déclasser	derat	déclass	33
164	deregulate	déréglementer	deregul	déréglement	33
165	derogate	déroger	derog	dérog	80
166	desecrate	profaner	desecr	profan	17
167	designate	désigner	design	désign	83
168	desolate	désolé	desol	désol	80
169	desperate	désespéré	desper	désesper	86
170	deteriorate	détériorer	deterior	détérior	75
171	determinate	déterminé	determin	détermin	88
172	detonate	exploser	deton	explos	36
173	devastate	dévaster	devast	dévast	83
174	deviate	dévier	deviat	dévi	60
175	dictate	dicter	dictat	dict	80
176	differentiate	différencier	differenti	différenci	80
177	dilate	dilater	dilat	dilat	100
178	directorate	direction	director	direct	86
179	disaffiliate	se désaffilier	disaffili	se désaffili	76
180	disaggregate	désagréger	disaggreg	désagreg	82
181	disambiguate	lever l'ambiguïté	disambigu	lever l'ambiguït	48
182	disassociate	dissocier	disassoci	dissoci	88
183	disconsolate	inconsolable	disconsol	inconsol	82
184	discriminate	discriminer	discrimin	discrimin	100
185	disintegrate	désintégrer	disintegr	désintegr	89
186	dislocate	disloquer	disloc	disloqu	77
187	disparate	disparate	dispar	disparat	86
188	dispassionate	impartial	dispassion	impartial	42
189	disproportionate	disproportionné	disproportion	disproportion	100
190	disseminate	disséminer	dissemin	dissémin	88
191	dissipate	se dissiper	dissip	se dissip	80
192	dissociate	dissocier	dissoci	dissoci	100
193	distillate	distillat	distil	distillat	80
194	doctorate	doctorat	doctor	doctorat	86
195	dominate	dominer	domin	domin	100
196	donate	faire un don	donat	faire un don	35
197	duplicate	dupliquer	duplic	dupliqu	77
198	educate	éduquer	educ	éduqu	44
199	effeminate	efféminé	effemin	effémin	86
200	eigenstate	état propre	eigenst	état propr	12
201	elaborate	élaborer	elabor	élabor	83
202	elate	exalter	elat	exalt	67
203	electorate	électorat	elector	électorat	75
204	elevate	élever	elev	élev	75
205	eliminate	éliminer	elimin	élimin	83
206	elongate	allongé	elong	allong	73
207	elucidate	élucider	elucid	élucid	83
208	emaciate	émacié	emaci	émaci	80
209	emanate	émaner	eman	éman	75
210	emancipate	émanciper	emancip	émancip	86
211	emasculate	émasculer	emascul	émascul	86
212	emigrate	émigrer	emigr	émigr	80
213	emirate	émirat	emir	émirat	60
214	emulate	imiter	emul	imit	25
215	encapsulate	encapsuler	encapsul	encapsul	100
216	enervate	amollir	enerv	amoll	0
217	enumerate	énumérer	enumer	énumer	83
218	enunciate	énoncer	enunci	énonc	55
219	episcopate	épiscopat	episcop	épiscopat	75
220	equate	assimiler	equat	assimil	17
221	eradicate	éradiquer	erad	éradiqu	55
222	escalate	intensifier	escal	intensifi	29
223	estate	domaine	estat	domain	18
224	estimate	estimation	estim	estim	100
225	evacuate	évacuer	evacu	évacu	80
226	evaluate	évaluer	evalu	évalu	80
227	evaporate	évaporer	evapor	évapor	83
228	eviscerate	éviscérer	eviscer	éviscer	86
229	exacerbate	exacerber	exacerb	exacerb	100
230	exaggerate	exagérer	exagger	exager	92
231	exasperate	exaspérer	exasper	exasper	100
232	excavate	creuser	excav	creus	20
233	excommunicate	excommunier	excommun	excommuni	94
234	exhilarate	exaltant	exhilar	exalt	50
235	exonerate	disculper	exoner	disculp	0
236	expatriate	expatrié	expatri	expatri	100
237	expectorate	expectorer	expector	expector	100
238	expiate	expier	expiat	expi	80
239	explicate	expliquer	explic	expliqu	77
240	expostulate	récriminer	expostul	récrimin	0
241	expropriate	exproprier	expropri	expropri	100
242	expurgate	expurger	expurg	expurg	100
243	extenuate	atténuer	extenu	atténu	50
244	exterminate	exterminer	extermin	extermin	100
245	extirpate	extirper	extirp	extirp	100
246	extortionate	exorbitant	extortion	exorbit	62
247	extrapolate	extrapoler	extrapol	extrapol	100
248	extricate	dégager	extric	dégag	0
249	exudate	exsudat	exud	exsudat	73
250	fabricate	fabriquer	fabric	fabriqu	77
251	faceplate	plaque frontale	facepl	plaque frontal	20
252	facilitate	faciliter	facilit	facilit	100
253	fascinate	fasciner	fascin	fascin	100
254	fate	sort	fate	sort	25
255	federate	fédérer	feder	féder	80
256	filtrate	filtrer	filtrat	filtr	83
257	fixate	fixer	fixat	fix	75
258	flagellate	flageller	flagel	flagel	100
259	flatmate	coloc	flatmat	coloc	17
260	fluctuate	fluctuer	fluctuat	fluctu	86
261	foliate	foliaire	foliat	foliair	77
262	footplate	plaque de pied	footplat	plaque de pied	27
263	formulate	formuler	formul	formul	100
264	fornicate	forniquer	fornic	forniqu	77
265	fortunate	chanceux	fortun	chanceux	14
266	fractionate	fractionner	fraction	fraction	100
267	frigate	frégate	frigat	frégat	83
268	frustrate	frustrer	frustrat	frustr	86
269	fulminate	fulminer	fulmin	fulmin	100
270	fumigate	fumiger	fumig	fumig	100
271	gate	portail	gate	portail	18
272	generate	produire	gener	produir	17
273	germinate	germer	germin	germ	80
274	gestate	faire un geste	gestat	faire un gest	42
275	gesticulate	gesticuler	gesticul	gesticul	100
276	glutamate	glutamate	glutam	glutamat	86
277	graduate	diplômé	graduat	diplôm	15
278	grate	grille	grate	grill	40
279	gravitate	graviter	gravit	gravit	100
280	gyrate	tournoyer	gyrat	tournoi	17
281	habituate	habituer	habitu	habitu	100
282	hallucinate	halluciner	hallucin	hallucin	100
283	hate	détester	hate	détest	40
284	helpmate	aide	helpmat	aid	20
285	hesitate	hésiter	hesit	hésit	80
286	hibernate	hiberner	hibern	hibern	100
287	hotplate	plat chaud	hotplat	plat chaud	47
288	humiliate	humilier	humili	humili	100
289	hydrate	hydrater	hydrat	hydrat	100
290	hyphenate	trait d'union	hyphen	trait d'union	11
291	iceskate	patin à glace	icesk	patin à glac	24
292	illegitimate	illégitime	illegitim	illégitim	89
293	illiterate	analphabète	illiter	analphabet	24
294	illuminate	éclairer	illumin	éclair	15
295	illustrate	illustrer	illustr	illustr	100
296	imitate	imiter	imit	imit	100
297	immaculate	immaculé	immacul	immacul	100
298	immediate	immédiat	immedi	immédiat	71
299	immigrate	immigrer	immigr	immigr	100
300	immoderate	immodéré	immoder	immoder	100
301	immolate	immoler	immol	immol	100
302	impersonate	imiter	imperson	imit	33
303	implicate	impliquer	implic	impliqu	77
304	importunate	importun	importun	importun	100
305	impregnate	imprégner	impregn	impregn	100
306	inaccurate	inexacte	inaccur	inexact	57
307	inadequate	inadéquat	inadequ	inadéquat	75
308	inanimate	inanimé	inanim	inanim	100
309	inappropriate	inapproprié	inappropri	inappropri	100
310	inarticulate	inarticulé	inarticul	inarticul	100
311	inaugurate	inaugurer	inaugur	inaugur	100
312	incapacitate	neutraliser	incapacit	neutralis	11
313	incarnate	incarner	incarn	incarn	100
314	inchoate	fruste	inchoat	frust	17
315	incinerate	incinérer	inciner	inciner	100
316	inconsiderate	inconsidéré	inconsider	inconsider	100
317	incorporate	intégrer	incorpor	integr	43
318	incriminate	incriminer	incrimin	incrimin	100
319	incubate	incuber	incub	incub	100
320	inculcate	inculquer	inculc	inculqu	77
321	indelicate	indélicat	indel	indélicat	57
322	indeterminate	indéterminé	indetermin	indétermin	90
323	indicate	indiquer	indic	indiqu	73
324	indiscriminate	aveugle	indiscrimin	aveugl	0
325	indoctrinate	endoctriner	indoctrin	endoctrin	89
326	inebriate	enivrer	inebri	enivr	36
327	infatuate	tourner la tête	infatu	tourner la têt	30
328	infiltrate	infiltrer	infiltr	infiltr	100
329	inflate	gonfler	inflat	gonfl	55
330	infuriate	exaspérer	infuri	exasper	15
331	ingrate	ingrat	ingrat	ingrat	100
332	ingratiate	ingratier	ingrati	ingrati	100
333	initiate	lancer	initi	lanc	22
334	inmate	détenu	inmat	détenu	18
335	innate	inné	innat	inné	67
336	innovate	innover	innov	innov	100
337	innumerate	innumer	innumer	innum	83
338	inoculate	inoculer	inocul	inocul	100
339	inordinate	excessif	inordin	excess	0
340	inquorate	se renseigner	inquor	se renseign	24
341	insinuate	insinuer	insinu	insinu	100
342	inspectorate	inspection	inspector	inspect	88
343	instantiate	instancier	instanti	instanci	88
344	instigate	susciter	instig	suscit	33
345	insubordinate	insubordonné	insubordin	insubordon	90
346	insulate	isoler	insul	isol	67
347	integrate	intégrer	integr	integr	100
348	intemperate	intempérant	intemper	intemper	100
349	intercollegiate	intercollégiale	intercollegi	intercollégial	85
350	intercommunicate	communiquer	intercommun	communiqu	60
351	intermediate	intermédiaire	intermedi	intermédiair	76
352	interpolate	interpoler	interpol	interpol	100
353	interrelate	interrelier	interrel	interreli	94
354	interrogate	interroger	interrog	interrog	100
355	intestate	intestat	intest	intestat	86
356	intimate	intime	intim	intim	100
357	intimidate	intimider	intimid	intimid	100
358	intoxicate	enivrer	intox	enivr	20
359	intricate	complexe	intric	complex	15
360	inundate	inonder	inund	inond	80
361	invalidate	invalider	invalid	invalid	100
362	invertebrate	invertébré	invertebr	invertebr	100
363	investigate	enquêter	investig	enquêt	29
364	inveterate	invétéré	inveter	invéter	86
365	invigilate	vigilant	invigil	vigil	83
366	invigorate	revigorer	invigor	revigor	71
367	inviolate	inviolé	inviol	inviol	100
368	irate	furieux	irat	furieux	18
369	irradiate	irradier	irradi	irradi	100
370	irrigate	irriguer	irrig	irrigu	91
371	irritate	irriter	irrit	irrit	100
372	isolate	isoler	isol	isol	100
373	iterate	répéter	iter	répet	22
374	jubilate	jubiler	jubil	jubil	100
375	karate	karaté	karat	karat	100
376	lacerate	lacérer	lacer	lacer	100
377	lactate	lactate	lactat	lactat	100
378	laminate	stratifié	lamin	stratifi	31
379	late	tard	late	tard	25
380	laureate	lauréat	laureat	lauréat	86
381	legate	légat	legat	légat	80
382	legislate	légiférer	legisl	légifer	46
383	legitimate	légitime	legitim	légitim	86
384	levitate	léviter	levit	lévit	80
385	liberate	libérer	liber	liber	100
386	librate	libérer	librat	liber	73
387	licentiate	licencié	licenti	licenci	86
388	liquidate	liquider	liquid	liquid	100
389	literate	alphabétisé	liter	alphabétis	27
390	litigate	plaider	litig	plaid	40
391	locate	Localiser	locat	localis	67
392	lubricate	lubrifier	lubric	lubrifi	77
393	lunate	lunaire	lunat	lunair	73
394	luxuriate	se prélasser	luxuri	se prélass	12
395	magistrate	magistrat	magistr	magistrat	88
396	magnate	magnat	magnat	magnat	100
397	mandate	mandat	mandat	mandat	100
398	manipulate	manipuler	manipul	manipul	100
399	margate	Margate	margat	margat	100
400	marinate	mariner	marin	marin	100
401	mate	copain	mate	copain	20
402	matriculate	matriculer	matricul	matricul	100
403	mediate	médiat	mediat	médiat	83
404	medicate	traiter	medic	trait	20
405	meditate	méditer	medit	médit	80
406	migrate	émigrer	migrat	émigr	73
407	militate	militer	milit	milit	100
408	miscalculate	mal calculer	miscalcul	mal calcul	74
409	misdate	mal dater	misdat	mal dat	62
410	mitigate	atténuer	mitig	atténu	18
411	moderate	modérer	moder	moder	100
412	modulate	moduler	modul	modul	100
413	motivate	motiver	motiv	motiv	100
414	mutate	subir une mutation	mutat	subir une mut	33
415	mutilate	mutiler	mutil	mutil	100
416	nameplate	plaque signalétique	namepl	plaque signalet	29
417	narrate	raconter	narrat	racont	50
418	nauseate	écœurer	nauseat	écœur	17
419	navigate	naviguer	navig	navigu	91
420	necessitate	nécessiter	necessit	nécessit	88
421	negate	nier	negat	ni	29
422	negotiate	négocier	negoti	négoci	67
423	neonate	nouveau-né	neonat	nouveau-n	40
424	nitrate	nitrate	nitrat	nitrat	100
425	nominate	désigner	nomin	désign	18
426	numberplate	Plaque d'immatriculation	numberpl	plaque d'immatricul	15
427	numerate	numéroter	numer	numérot	67
428	obdurate	inflexible	obdur	inflexibl	14
429	obfuscate	brouiller	obfusc	brouill	31
430	oblate	oblat	oblat	oblat	100
431	obligate	obliger	oblig	oblig	100
432	obliterate	effacer	obliter	effac	17
433	obstinate	obstiné	obstin	obstin	100
434	obviate	obvier	obviat	obvi	80
435	officiate	officier	offici	offici	100
436	operate	fonctionner	oper	fonction	17
437	opiate	opiacé	opiat	opiac	80
438	orate	discourir	orat	discour	36
439	orchestrate	orchestrer	orchestr	orchestr	100
440	ordinate	ordonnée	ordin	ordon	80
441	orientate	orienter	orient	orient	100
442	originate	provenir	origin	proven	33
443	ornate	orné	ornat	orné	67
444	oscillate	osciller	oscil	oscill	91
445	ovate	ovale	ovat	oval	75
446	overate	exagéré	over	exager	40
447	overcompensate	surcompenser	overcompens	surcompens	76
448	overestimate	surestimer	overestim	surestim	71
449	overrate	surévaluer	overr	surévalu	15
450	overstate	exagérer	overst	exager	33
451	oxalate	oxalate	oxal	oxalat	80
452	paginate	paginer	pagin	pagin	100
453	palate	palais	palat	pal	75
454	palatinate	palatinat	palatin	palatinat	88
455	palpate	palper	palpat	palp	80
456	palpitate	palpiter	palpit	palpit	100
457	participate	participer	particip	particip	100
458	particulate	particulaire	particul	particulair	84
459	passionate	passionné	passion	passion	100
460	pate	crâne	pate	crân	0
461	penetrate	pénétrer	penetr	pénetr	83
462	penultimate	pénultième	penultim	pénultiem	82
463	perambulate	parcourir	perambul	parcour	40
464	perchlorate	perchlorate	perchlor	perchlorat	89
465	percolate	filtrer	percol	filtr	18
466	perforate	perforer	perfor	perfor	100
467	permanganate	permanganate	permangan	permanganat	90
468	permeate	pénétrer	permeat	pénetr	46
469	perpetrate	perpétrer	perpetr	perpetr	100
470	perpetuate	perpétuer	perpetu	perpétu	86
471	phosphate	phosphate	phosphat	phosphat	100
472	pirate	pirate	pirat	pirat	100
473	placate	apaiser	placat	apais	36
474	plate	assiette	plate	assiet	36
475	playmate	camarade de jeu	playmat	camarade de jeu	27
476	pollinate	féconder	pollin	fécond	33
477	polycarbonate	polycarbonate	polycarbon	polycarbonat	91
478	pomegranate	Grenade	pomegran	grenad	43
479	pontificate	pontificat	pontif	pontificat	75
480	populate	peupler	popul	peupl	60
481	postgraduate	de troisième cycle	postgradu	de troisième cycl	15
482	postulate	postulat	postul	postulat	86
483	potentate	potentat	potent	potentat	86
484	preallocate	préallouer	prealloc	préallou	75
485	precipitate	précipité	precipit	précip	71
486	predate	antidater	predat	antidat	46
487	predicate	prédicat	predic	prédicat	71
488	predominate	prédominer	predomin	prédomin	88
489	prelate	prélat	prelat	prélat	83
490	premeditate	préméditer	premedit	prémédit	75
491	prevaricate	tergiverser	prevar	tergivers	40
492	primate	primate	primat	primat	100
493	private	privé	privat	priv	80
494	probate	homologation	probat	homolog	15
495	procrastinate	remettre à plus tard	procrastin	remettre à plus tard	13
496	procreate	procréer	procreat	procré	71
497	profligate	débauché	proflig	débauch	0
498	prognosticate	pronostiquer	prognost	pronostiqu	78
499	proliferate	proliférer	prolifer	prolifer	100
500	promulgate	promulguer	promulg	promulgu	93
501	propagate	propager	propag	propag	100
502	propionate	propionate	propion	propionat	88
503	propitiate	se concilier	propiti	se concili	35
504	proportionate	proportionné	proportion	proportion	100
505	prostate	prostate	prostat	prostat	100
506	prostrate	prostré	prostrat	prostr	86
507	protectorate	protectorat	protector	protectorat	90
508	proximate	proche	proxim	proch	55
509	pulsate	palpiter	pulsat	palpit	50
510	punctate	ponctuer	punctat	ponctu	62
511	punctuate	ponctuer	punctuat	ponctu	71
512	quadruplicate	quadruple	quadrupl	quadrupl	100
513	quorate	quorate	quorat	quorat	100
514	radiate	rayonner	radiat	rayon	36
515	rate	évaluer	rate	évalu	22
516	reactivate	réactiver	reactiv	réactiv	86
517	reallocate	réaffecter	realloc	réaffect	40
518	rebate	rabais	rebat	rab	50
519	recalculate	recalculer	recalcul	recalcul	100
520	recalibrate	recalibrer	recalibr	recalibr	100
521	recapitulate	récapituler	recapitul	récapitul	89
522	reciprocate	rendre	reciproc	rendr	46
523	recirculate	recirculer	recircul	recircul	100
524	recreate	recréer	recreat	recré	67
525	recriminate	récriminer	recrimin	récrimin	88
526	recuperate	récupérer	recuper	récuper	86
527	reformulate	reformuler	reformul	reformul	100
528	refrigerate	réfrigérer	refriger	réfriger	88
529	regelate	regeler	regel	regel	100
530	regenerate	régénérer	regener	régéner	71
531	regulate	réglementer	regul	réglement	29
532	regurgitate	régurgiter	regurgit	régurgit	88
533	rehabilitate	réhabiliter	rehabilit	réhabilit	89
534	rehydrate	réhydrater	rehydr	réhydrat	71
535	reincarnate	réincarner	reincarn	réincarn	88
536	reinstate	rétablir	reinstat	rétabl	43
537	reinvigorate	revigorer	reinvigor	revigor	88
538	reiterate	réitérer	reiter	réiter	83
539	rejuvenate	rajeunir	rejuven	rajeun	62
540	relate	rapporter	relat	rapport	50
541	relegate	reléguer	releg	relégu	73
542	relocate	déménager	reloc	déménag	0
543	remonstrate	protester	remonstr	protest	53
544	remunerate	rémunérer	remuner	rémuner	86
545	renegotiate	renégocier	renegoti	renégoci	75
546	renovate	rénover	renov	rénov	80
547	repatriate	rapatrier	repatri	rapatri	86
548	replicate	reproduire	replic	reproduir	53
549	repopulate	repeupler	repopul	repeupl	71
550	reprobate	réprouver	reprob	réprouv	62
551	repudiate	répudier	repudi	répudi	83
552	resonate	résonner	reson	réson	80
553	restate	reformuler	restat	reformul	29
554	resuscitate	réanimer	resuscit	réanim	29
555	retaliate	user de représailles	retali	user de représaill	33
556	reverberate	réverbérer	reverber	réverber	88
557	roommate	colocataire	roommat	colocatair	47
558	rotate	tourner	rotat	tourn	20
559	ruminate	ruminer	rumin	rumin	100
560	rusticate	renvoyer temporairement	rustic	renvoyer temporair	25
561	salivate	saliver	saliv	saliv	100
562	satiate	assouvir	satiat	assouv	17
563	saturate	saturer	satur	satur	100
564	scintillate	scintiller	scintil	scintill	93
565	secondrate	seconder	secondr	second	92
566	sedate	calme	sedat	calm	22
567	segregate	séparer	segreg	sépar	36
568	senate	sénat	senat	sénat	80
569	separate	séparé	separ	sépar	80
570	serrate	dentelé	serrat	dentel	33
571	shipmate	compagnon de bord	shipmat	compagnon de bord	17
572	silicate	silicate	silic	silicat	83
573	simulate	simuler	simul	simul	100
574	situate	situer	situat	situ	80
575	skate	patin	skate	patin	40
576	slate	ardoise	slate	ardois	18
577	sophisticate	sophistiqué	sophist	sophistiqu	82
578	spate	série	spate	ser	50
579	speculate	spéculer	specul	spécul	83
580	stablemate	compagnon d'écurie	stablem	compagnon d'écur	9
581	stagnate	stagner	stagnat	stagn	83
582	stalemate	impasse	stalem	impass	17
583	state	Etat	state	etat	67
584	stimulate	stimuler	stimul	stimul	100
585	stipulate	stipuler	stipul	stipul	100
586	subjugate	subjuguer	subjug	subjugu	92
587	sublimate	sublimé	sublim	sublim	100
588	subordinate	subalterne	subordin	subaltern	59
589	substantiate	justifier	substanti	justifi	50
590	substrate	substrat	substrat	substrat	100
591	suffocate	étouffer	suffoc	étouff	50
592	sugillate	suggérer	sugil	sugger	55
593	sulphate	sulfate	sulphat	sulfat	77
594	superannuate	mettre à la retraite	superannu	mettre à la retrait	21
595	superordinate	superordonné	superordin	superordon	90
596	superstate	superstate	superst	superstat	88
597	supplicate	supplier	supplic	suppli	92
598	surrogate	substitut	surrog	substitut	27
599	syndicate	syndicat	syndic	syndicat	86
600	tabulate	tabuler	tabul	tabul	100
601	tartrate	tartrate	tartrat	tartrat	100
602	teammate	coéquipier	teammat	coéquipi	0
603	temperate	tempéré	temper	temper	100
604	template	modèle	templat	model	33
605	terminate	mettre fin	termin	mettre fin	50
606	titillate	titiller	titil	titill	91
607	tolerate	tolérer	toler	toler	100
608	tollgate	péage	tollgat	péag	18
609	translate	Traduire	translat	traduir	40
610	transliterate	translitérer	transliter	transliter	100
611	triangulate	trianguler	triangul	triangul	100
612	triplicate	triplicata	triplic	triplicat	88
613	triumvirate	triumvirat	triumvir	triumvirat	89
614	truncate	tronquer	truncat	tronqu	46
615	ulcerate	ulcérer	ulcer	ulcer	100
616	ultimate	ultime	ultim	ultim	100
617	underestimate	sous-estimer	underestim	sous-estim	60
618	undergraduate	premier cycle	undergradu	premier cycl	18
619	underrate	méconnaître	underr	méconnaîtr	25
620	understate	minimiser	underst	minimis	29
621	undulate	onduler	undul	ondul	80
622	unfortunate	malheureux	unfortun	malheur	27
623	unregenerate	non régénéré	unregener	non régéner	60
624	update	mettre à jour	updat	mettre à jour	11
625	uprate	remonter	uprat	remont	36
626	vacate	quitter	vacat	quitt	20
627	vaccinate	vacciner	vaccin	vaccin	100
628	vacillate	vaciller	vacil	vacill	91
629	validate	valider	valid	valid	100
630	variate	varier	variat	vari	80
631	vegetate	végéter	veget	véget	80
632	venerate	vénérer	vener	véner	80
633	ventilate	ventiler	ventil	ventil	100
634	vertebrate	vertébré	vertebr	vertebr	100
635	vibrate	vibrer	vibrat	vibr	80
636	vindicate	justifier	vindic	justifi	31
637	violate	violer	violat	viol	80
638	vitiate	vicier	vitiat	vici	60
639	vituperate	vitupérer	vituper	vituper	100
640	vulgate	Vulgate	vulgat	vulgat	100
641	workmate	camarade de travail	workmat	camarade de travail	23
